CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,750",458.10,477.90,"1,750","2,040.00",750,0.85,1.75,"2,500",0.25,1.00,39.44,143,12,107,
,-,-,-,-,-,-,750,418.30,443.85,"1,750","2,080.00",250,0.30,8.80,"10,000",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"2,100.00",250,0.95,1.30,250,-0.45,1.10,35.09,12,-,509,
,-,-,-,-,-,-,"1,750",379.00,405.60,750,"2,120.00",250,0.45,9.20,"10,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",339.10,366.60,750,"2,160.00",250,0.60,10.95,"1,000",-,-,-,-,-,-,
,-,-,-,-,-,-,750,297.00,318.60,750,"2,200.00",750,2.65,2.80,500,-1.50,2.70,31.50,189,89,448,
,-,-,-,-,-,-,750,281.30,300.30,750,"2,220.00",250,3.65,4.50,250,-2.35,3.80,31.78,59,34,57,
,-,-,-,-,-,-,750,261.90,291.40,750,"2,240.00","3,500",1.35,14.10,"10,000",-,8.30,-,-,-,16,
,-,-,-,-,-,-,750,243.15,262.80,750,"2,260.00","3,500",1.55,7.00,250,-0.95,6.45,31.65,42,18,33,
,-,-,-,-,-,-,"1,000",225.45,245.95,750,"2,280.00",750,4.00,13.20,"10,000",-0.80,8.20,31.51,55,-,92,
,7,-,-,-,168.50,-,"1,750",207.85,225.75,"2,750","2,300.00",250,5.05,9.60,250,-1.45,9.65,30.77,227,-6,414,
,5,1,1,-,179.55,3.35,"1,250",188.10,212.60,"2,500","2,320.00",250,11.35,18.95,"10,000",-1.70,12.10,30.63,110,-,91,
,4,-,-,-,142.80,-,"1,000",169.80,197.75,750,"2,340.00","10,000",7.35,21.75,"10,000",-1.75,14.70,30.25,151,-10,83,
,7,1,1,24.92,165.05,12.30,750,153.40,181.95,"1,000","2,360.00",250,10.50,25.85,500,-2.20,18.20,30.15,186,-5,184,
,10,4,6,24.59,148.00,5.00,500,137.05,156.20,250,"2,380.00",250,13.90,29.60,500,-2.70,21.45,29.55,162,16,127,
,85,-20,38,24.90,132.65,8.05,"2,250",124.60,140.70,500,"2,400.00",250,24.15,31.70,250,-3.45,25.30,28.99,420,-3,677,
,40,-1,12,20.70,110.00,-1.00,750,102.35,132.70,"2,500","2,420.00","10,000",21.45,39.65,250,-1.45,31.95,29.51,163,-,117,
,52,-13,38,24.98,103.75,6.15,"1,000",97.30,113.60,750,"2,440.00",250,36.15,37.40,250,-3.90,36.70,28.71,621,-35,539,
,126,-17,379,25.28,91.30,6.60,"2,000",83.05,92.85,500,"2,460.00",250,42.25,43.70,250,-4.35,43.10,28.33,778,16,319,
,184,-18,402,24.89,78.35,4.65,250,75.35,82.25,500,"2,480.00",250,44.25,51.95,250,-5.75,50.50,28.03,470,48,265,
,"1,081",8,"1,932",24.93,67.40,4.35,250,66.50,67.75,250,"2,500.00",250,58.20,59.80,250,-6.35,58.20,27.48,679,67,450,
,"1,064",92,"1,752",24.92,57.40,3.95,250,57.40,57.95,250,"2,520.00",750,61.80,77.15,"1,000",-5.95,70.35,28.39,43,13,95,
,274,13,433,24.98,48.60,3.45,250,48.25,49.25,250,"2,540.00",250,76.45,84.95,250,-5.30,80.95,28.27,34,-1,36,
,441,215,824,24.95,40.60,2.85,250,40.25,41.55,250,"2,560.00",250,87.35,100.40,"1,250",-,101.75,-,-,-,21,
,543,30,443,24.92,33.60,2.45,250,33.60,35.05,250,"2,580.00",750,97.90,113.75,250,-13.65,106.25,28.64,15,-3,15,
,"1,258",10,"1,587",25.30,28.40,2.25,250,27.45,28.45,250,"2,600.00","1,750",112.35,124.90,500,-8.35,119.75,28.66,17,-1,102,
,80,-,121,24.91,22.45,0.95,250,22.45,31.25,500,"2,620.00",250,125.30,144.80,500,11.70,152.00,37.11,1,1,6,
,256,37,392,25.51,19.15,1.20,250,16.10,20.95,250,"2,640.00","1,000",140.90,160.30,750,-,184.20,-,-,-,9,
,185,37,186,25.63,15.60,1.00,250,15.50,16.40,250,"2,660.00","1,000",156.65,177.35,750,-11.40,161.20,26.70,8,4,7,
,98,39,126,25.70,12.55,0.25,250,9.50,14.70,250,"2,680.00",750,174.15,194.05,"1,250",-,214.30,-,-,-,2,
,637,63,506,26.02,10.35,0.50,250,9.75,11.90,250,"2,700.00","1,000",192.65,209.55,"1,000",-,252.00,-,-,-,164,
,76,14,47,25.84,7.95,0.35,"10,000",2.10,13.80,"10,000","2,720.00",750,208.15,229.20,750,-,270.00,-,-,-,1,
,68,-9,26,26.61,6.95,0.85,"10,000",1.55,9.00,250,"2,740.00",750,226.60,247.15,750,-,-,-,-,-,-,
,181,3,65,26.04,4.95,-0.65,250,5.30,5.60,250,"2,760.00","1,000",246.60,265.40,750,-,-,-,-,-,-,
