CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,600,963.05,983.15,600,"2,800.00",900,2.10,4.65,150,-,4.80,-,-,-,6,
,-,-,-,-,-,-,600,861.00,885.35,600,"2,900.00",300,4.60,6.00,150,-0.80,5.95,60.68,45,5,216,
,12,-,-,-,734.80,-,600,767.70,787.95,450,"3,000.00","1,200",6.85,7.95,150,-1.95,6.55,55.11,248,-11,"1,217",
,-,-,-,-,-,-,600,715.95,758.95,450,"3,050.00",150,5.50,19.95,"6,000",3.35,9.55,55.80,53,16,38,
,-,-,-,-,-,-,600,667.85,703.90,450,"3,100.00",150,9.55,14.75,150,-0.30,11.55,54.55,245,34,502,
,-,-,-,-,-,-,600,620.50,649.55,450,"3,150.00",150,11.10,14.75,150,-0.70,14.00,53.36,149,78,202,
,90,-1,1,63.65,630.00,14.25,150,580.05,596.35,150,"3,200.00",300,16.70,16.95,150,-0.05,16.60,51.91,941,-45,959,
,13,-,-,-,467.55,-,600,527.50,556.45,600,"3,250.00",150,16.50,25.70,"3,000",-,20.50,51.02,177,-19,127,
,20,-,-,-,548.55,-,300,482.00,505.40,600,"3,300.00",300,23.05,24.95,150,-,24.45,49.70,649,-15,871,
,61,-,2,62.15,505.00,27.00,600,441.55,456.85,150,"3,350.00",150,24.10,30.15,150,0.15,29.70,48.67,326,8,447,
,121,-,7,33.70,407.80,-40.30,150,396.50,412.75,150,"3,400.00",150,31.05,36.00,300,0.50,35.60,47.49,890,-35,"1,111",
,125,-,47,32.71,361.80,-27.25,150,351.70,372.05,750,"3,450.00",150,34.90,42.95,"6,450",1.05,42.90,46.44,760,14,338,
,914,-20,102,32.37,318.20,-37.15,150,315.30,328.95,150,"3,500.00",150,52.00,52.95,150,1.00,52.00,45.58,"1,838",9,"2,018",
,575,-22,42,30.64,273.30,-40.30,"1,050",270.85,294.35,150,"3,550.00",150,58.85,72.20,300,2.50,62.95,44.81,854,172,"1,019",
,"1,097",-4,447,36.64,251.15,-27.10,150,236.30,252.80,150,"3,600.00","1,500",76.00,78.05,300,2.95,76.05,44.15,"1,944",183,"1,785",
