CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,360.00","2,200",0.45,0.50,"1,650",-,0.45,44.51,10,-8,68,
,4,-,-,-,309.00,-,"3,850",342.05,355.25,"1,650","1,400.00",550,0.50,0.60,"3,850",-0.10,0.45,39.98,45,-2,532,
,-,-,-,-,-,-,"3,850",302.30,316.20,"2,200","1,440.00",550,0.45,0.60,550,-0.20,0.45,35.54,4,-2,172,
-,-,-,-,-,-,-,-,-,-,-,"1,460.00","33,000",0.30,0.65,550,-0.15,0.60,34.64,7,-3,126,
,-,-,-,-,-,-,"1,650",261.50,276.45,"1,650","1,480.00","2,200",0.55,0.70,"1,100",-0.35,0.55,32.01,37,-1,289,
,94,-1,2,-,248.00,6.55,550,245.95,251.05,"1,100","1,500.00","3,850",0.65,0.80,"1,100",-0.35,0.75,31.14,318,-58,"1,525",
,3,-,-,-,165.30,-,"2,200",223.70,236.05,"2,200","1,520.00","1,100",0.75,1.10,550,-0.35,0.80,29.15,220,-10,985,
,45,-,-,-,148.25,-,"2,200",205.35,214.90,550,"1,540.00","1,100",1.00,1.30,550,-0.45,1.10,28.26,175,-23,763,
,103,-,-,-,179.40,-,"8,250",187.55,193.10,"2,750","1,560.00",550,1.40,1.65,"2,750",-0.40,1.55,27.49,659,-192,"1,300",
,89,-,-,-,166.45,-,"2,750",168.80,174.40,"5,500","1,580.00","2,200",2.00,2.20,"1,100",-0.50,2.10,26.53,584,-49,"1,039",
,584,-16,41,-,152.00,8.45,"1,100",149.95,153.20,550,"1,600.00","3,300",2.80,2.85,550,-0.70,2.85,25.58,"1,751",24,"3,201",
,332,-1,17,-,132.95,8.40,"5,500",131.10,134.85,550,"1,620.00","1,100",3.75,3.85,550,-0.90,3.75,24.42,"1,246",-59,"1,451",
,616,-39,110,-,113.75,7.60,"1,650",109.80,115.00,"1,100","1,640.00","2,750",4.90,5.10,"3,300",-1.15,5.10,23.45,"2,024",85,"2,531",
,"1,081",-12,121,13.58,96.95,8.05,"1,100",95.05,97.35,"1,650","1,660.00",550,6.70,6.80,"1,650",-1.50,6.70,22.22,"2,637",-122,"2,620",
,"1,974",-46,240,13.85,78.50,6.60,550,77.25,79.60,550,"1,680.00","2,200",9.10,9.30,550,-1.90,9.20,21.29,"3,394",29,"3,418",
,"4,731",-141,"2,148",14.58,61.90,6.15,"1,100",60.90,62.25,550,"1,700.00","1,100",12.40,12.50,"1,100",-2.60,12.45,20.25,"6,905",232,"5,487",
,"2,353",-131,"5,210",14.81,46.85,5.10,550,46.80,47.20,"1,650","1,720.00",550,17.05,17.15,"1,100",-3.70,17.05,19.35,"6,934",174,"2,280",
,"4,860","1,418","12,506",14.84,33.80,4.05,550,33.80,34.00,"7,700","1,740.00",550,23.75,24.05,"1,100",-4.70,23.90,18.91,"6,852",269,"1,899",
,"11,931",20,"9,507",14.74,23.00,3.10,550,23.00,23.10,550,"1,760.00",550,31.40,33.25,"1,100",-5.55,33.10,18.75,"1,897",105,"1,516",
,"1,924",-138,"5,081",15.11,15.45,2.20,"1,650",15.25,15.45,550,"1,780.00","1,100",44.65,46.55,550,-6.95,44.80,18.91,439,48,334,
,"6,199",-79,"6,596",15.61,10.25,1.50,"1,650",10.10,10.25,"5,500","1,800.00",550,59.20,62.30,550,-6.45,60.20,20.33,456,-82,"1,854",
,"1,266",52,"3,237",16.13,6.70,1.00,"1,650",6.55,6.75,"2,750","1,820.00","1,100",74.20,77.10,550,-7.15,76.30,21.40,25,-3,233,
,"1,325",104,"2,221",16.73,4.40,0.70,"1,650",4.35,4.45,"3,300","1,840.00",550,91.70,98.60,550,-6.60,94.50,23.45,14,2,109,
,"1,068",52,"1,277",17.50,3.00,0.50,"16,500",2.90,3.00,"9,900","1,860.00","2,750",110.10,114.45,550,0.50,117.00,28.78,33,29,218,
,"1,007",49,990,18.42,2.15,0.25,"3,850",2.05,2.20,"3,300","1,880.00","2,750",128.50,134.00,"2,750",-,143.60,-,-,-,10,
,"3,065",129,"1,420",19.53,1.65,0.30,"9,900",1.60,1.70,"2,200","1,900.00",550,150.00,153.05,550,-9.20,150.50,28.68,61,4,619,
,636,-20,320,20.19,1.15,0.10,"1,100",1.10,1.20,"1,100","1,920.00",550,164.15,177.05,"1,650",-,217.70,-,-,-,1,
,366,15,177,21.58,1.00,0.20,"1,100",0.90,1.00,"1,100","1,940.00","2,200",184.35,194.70,"3,850",-,258.50,-,-,-,15,
,44,-,7,23.21,0.95,0.10,550,0.85,1.10,"2,200","1,960.00","1,650",203.65,216.10,"3,850",-,-,-,-,-,-,
,58,-1,3,24.10,0.75,-0.10,"1,650",0.75,0.90,"2,750","1,980.00","2,200",223.60,236.55,"3,850",0.40,257.00,-,-,-,5,
,"1,073",-21,180,25.79,0.75,-,"2,200",0.75,0.80,"17,050","2,000.00",550,244.60,252.00,550,-10.45,246.55,35.72,8,-2,316,
,5,2,4,28.50,0.65,-,"6,600",0.35,0.80,"11,000","2,040.00","2,200",282.25,297.10,"4,400",-,351.00,-,-,-,3,
,78,9,48,30.55,0.50,-,550,0.45,0.55,"2,750","2,080.00",-,-,-,-,-,-,-,-,-,-,-
