CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,500.00,"6,600",0.15,0.25,"18,700",-,0.15,42.09,13,8,102,
,2,-,-,-,123.00,-,"7,700",122.35,128.80,"3,300",510.00,"3,300",0.05,0.45,"11,000",-,0.50,-,-,-,2,
,-,-,-,-,-,-,"7,700",112.25,117.55,"7,700",520.00,"27,500",0.10,0.20,"8,800",-,0.10,-,-,-,120,
,-,-,-,-,-,-,"7,700",102.30,107.25,"3,300",530.00,"19,800",0.10,0.15,"17,600",-,0.15,32.99,33,-4,587,
,-,-,-,-,-,-,"3,300",91.70,98.80,"3,300",540.00,"11,000",0.15,0.25,"33,000",-0.10,0.15,30.02,1,-,789,
,2,-,-,-,75.10,-,"1,100",83.00,87.55,"16,500",550.00,"8,800",0.25,0.30,"17,600",-0.15,0.25,29.06,127,18,523,
,7,-,1,34.86,78.50,6.50,"5,500",72.40,77.45,"4,400",560.00,"15,400",0.45,0.50,"41,800",-0.20,0.45,28.51,301,68,596,
,15,-,-,-,51.75,-,"11,000",63.65,67.80,"4,400",570.00,"6,600",0.75,0.85,"3,300",-0.35,0.80,28.06,330,37,390,
,25,-1,2,-,51.55,-8.60,"2,200",54.55,58.35,"1,100",580.00,"6,600",1.30,1.45,"5,500",-0.50,1.40,27.75,403,-6,405,
,50,2,6,-,46.50,3.00,"1,100",46.15,48.65,"1,100",590.00,"1,100",2.20,2.50,"1,100",-0.80,2.20,26.94,487,26,375,
,172,-22,93,16.52,38.10,3.05,"2,200",37.70,40.15,"1,100",600.00,"6,600",3.45,3.55,"3,300",-1.10,3.50,26.43,"1,010",-22,655,
,113,-22,128,17.95,29.60,1.90,"3,300",28.85,32.85,"7,700",610.00,"1,100",5.20,7.00,"2,200",-1.55,5.35,25.84,787,45,368,
,370,-5,649,21.11,23.30,2.70,"1,100",21.40,23.75,"1,100",620.00,"1,100",7.20,8.15,"2,200",-1.90,8.15,25.68,"1,492",-93,523,
,544,-60,"2,325",20.86,16.75,1.95,"1,100",16.50,16.80,"1,100",630.00,"1,100",10.45,11.90,"2,200",-2.45,11.55,24.96,"1,229",69,629,
,"2,057",89,"3,640",21.03,11.65,1.60,"1,100",11.55,11.80,"1,100",640.00,"1,100",16.05,18.20,"1,100",-2.80,16.45,25.11,"1,190",284,536,
,"1,916",-6,"2,457",20.74,7.50,1.00,"1,100",7.45,7.85,"2,200",650.00,"1,100",20.70,23.45,"1,100",-3.70,22.10,24.79,410,38,592,
,"1,918",15,"1,895",21.26,4.90,0.65,"1,100",4.85,5.05,"4,400",660.00,"2,200",27.95,31.60,"1,100",-3.75,29.50,25.93,93,12,86,
,930,-30,"1,518",22.22,3.30,0.40,"1,100",3.20,3.35,"3,300",670.00,"2,200",36.35,38.70,"1,100",-4.10,37.90,27.76,23,3,65,
,766,10,579,23.39,2.30,0.30,"5,500",2.20,2.40,"2,200",680.00,"6,600",44.75,47.80,"1,100",-3.00,48.20,33.02,19,1,43,
,414,20,468,24.06,1.50,0.05,"3,300",1.30,1.70,"2,200",690.00,"4,400",53.90,58.70,"3,300",-,51.60,-,-,-,8,
,"2,400",-133,"1,230",25.38,1.10,0.05,"12,100",1.05,1.15,"4,400",700.00,"2,200",63.45,67.40,"1,100",-7.70,62.50,21.80,14,-1,196,
,910,468,744,23.88,0.45,-0.25,"2,200",0.25,0.50,"6,600",710.00,"3,300",72.55,78.00,"3,300",-,70.50,-,-,-,4,
,783,-14,228,24.75,0.30,-0.10,"2,200",0.30,0.40,"8,800",720.00,"4,400",82.25,86.90,"1,100",-,83.75,-,-,-,28,
,405,-1,100,25.56,0.20,-0.05,"14,300",0.20,0.25,"16,500",730.00,-,-,-,-,-,-,-,-,-,-,-
,577,-1,69,27.75,0.20,-,"35,200",0.15,0.20,"24,200",740.00,"3,300",102.15,107.05,"4,400",-,105.00,-,-,-,11,
