CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"6,250",89.65,94.70,"3,750",380.00,"1,250",0.30,1.00,"2,500",-,0.60,-,-,-,7,
,-,-,-,-,-,-,"3,750",79.95,84.15,"3,750",390.00,"2,500",0.20,1.05,"1,250",-,-,-,-,-,-,
,5,-2,2,-,72.80,1.15,"3,750",74.90,77.60,"5,000",395.00,"2,500",0.15,1.25,"1,250",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,250",70.45,73.70,"3,750",400.00,"6,250",0.40,0.85,"1,250",-0.80,0.40,36.45,182,-28,247,
,-,-,-,-,-,-,"3,750",64.95,70.60,"3,750",405.00,"2,500",0.15,2.40,"50,000",-,-,-,-,-,-,
,2,2,2,40.62,63.95,-42.10,"8,750",60.20,64.25,"3,750",410.00,"2,500",0.90,1.05,"2,500",-0.70,1.05,38.40,126,-8,80,
,-,-,-,-,-,-,"8,750",55.70,59.50,"8,750",415.00,"2,500",0.70,3.00,"50,000",-3.90,1.15,36.52,8,2,9,
,5,-,-,-,48.70,-,"5,000",51.10,54.05,"5,000",420.00,"1,250",1.40,1.50,"3,750",-1.20,1.35,35.19,280,-40,153,
,-,-,-,-,-,-,"5,000",46.45,50.15,"3,750",425.00,"2,500",1.70,1.90,"2,500",-1.05,1.85,35.26,58,12,29,
,-,-,-,-,-,-,"8,750",41.85,45.65,"3,750",430.00,"17,500",2.15,2.30,"2,500",-1.30,2.20,34.05,315,-42,170,
,-,-,-,-,-,-,"8,750",37.60,41.20,"5,000",435.00,"1,250",2.65,3.55,"25,000",-1.45,2.80,33.55,90,-,36,
,-,-,-,-,-,-,"8,750",33.30,36.85,"3,750",440.00,"12,500",3.40,3.55,"1,250",-1.55,3.45,32.75,354,-22,116,
,2,-,-,-,28.85,-,"5,000",28.95,32.75,"3,750",445.00,"1,250",4.20,4.45,"1,250",-1.35,4.30,32.15,136,27,50,
,27,-4,14,25.11,26.00,-10.55,"1,250",26.00,28.25,"1,250",450.00,"1,250",5.30,5.70,"3,750",-1.50,5.45,31.91,805,-7,326,
