CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"6,075",77.70,85.50,"8,100",260.00,-,-,0.80,"8,100",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,100",72.50,76.35,"8,100",270.00,"2,025",0.05,1.75,"14,175",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,100",62.80,65.45,"14,175",280.00,"6,075",0.40,0.50,"6,075",-0.05,0.45,47.20,21,-8,129,
,12,-,-,-,51.50,0.25,"14,175",57.60,61.10,"6,075",285.00,"2,025",0.15,1.85,"60,750",-,0.80,-,-,-,36,
,12,-,-,-,38.00,-,"8,100",53.15,55.45,"10,125",290.00,"2,025",0.70,0.80,"6,075",-0.05,0.75,44.66,46,11,192,
,26,-,1,-,49.50,8.50,"2,025",48.50,50.35,"2,025",295.00,"4,050",0.90,1.00,"6,075",-0.10,0.90,42.72,7,2,68,
,108,-4,20,32.70,45.00,-0.25,"2,025",44.10,45.20,"2,025",300.00,"32,400",1.15,1.25,"14,175",-0.10,1.20,41.80,367,-42,370,
,9,-,-,-,33.20,-0.05,"8,100",39.15,41.40,"8,100",305.00,"4,050",1.55,1.70,"6,075",-0.20,1.50,40.25,38,-4,107,
,91,2,5,47.21,38.10,1.65,"2,025",35.05,36.80,"14,175",310.00,"10,125",2.00,2.25,"6,075",-0.10,2.10,40.05,205,2,242,
,120,-2,4,54.74,35.95,4.20,"2,025",30.70,32.05,"4,050",315.00,"8,100",2.60,2.75,"4,050",-0.15,2.70,38.96,152,41,222,
,171,-12,51,37.02,28.00,0.05,"4,050",26.65,27.55,"2,025",320.00,"10,125",3.40,3.55,"8,100",-0.10,3.50,38.08,418,84,562,
,136,-1,24,32.50,23.10,-0.85,"2,025",23.00,24.15,"2,025",325.00,"2,025",4.40,4.60,"2,025",-0.20,4.45,37.02,234,6,196,
,183,-16,124,32.67,19.50,-0.80,"2,025",19.15,20.05,"4,050",330.00,"2,025",5.55,5.80,"4,050",-0.20,5.80,36.60,394,-1,313,
,94,-34,195,32.86,16.25,-0.70,"2,025",15.75,16.65,"4,050",335.00,"2,025",7.25,7.40,"2,025",-0.15,7.40,36.06,228,-13,118,
,347,-40,532,32.07,13.05,-0.85,"2,025",12.95,13.45,"2,025",340.00,"6,075",8.20,9.60,"4,050",-0.25,9.20,35.19,648,-,362,
,306,8,599,32.19,10.50,-0.80,"2,025",9.90,10.95,"4,050",345.00,"2,025",10.60,12.05,"4,050",-0.15,11.70,35.48,435,3,234,
,818,-95,"1,331",32.08,8.25,-0.70,"4,050",7.50,8.45,"2,025",350.00,"8,100",13.30,14.80,"4,050",-1.15,13.40,32.26,547,-52,529,
,240,-12,334,32.11,6.40,-0.65,"2,025",5.95,6.55,"2,025",355.00,"2,025",17.20,17.95,"4,050",-0.25,17.45,35.27,158,-,152,
,890,7,905,32.55,5.00,-0.55,"6,075",4.95,5.05,"4,050",360.00,"2,025",20.65,21.55,"2,025",-0.80,20.35,33.63,117,-5,255,
,225,10,226,32.70,3.80,-0.50,"6,075",3.80,3.90,"4,050",365.00,"4,050",24.15,25.45,"2,025",0.20,25.00,37.15,19,-7,81,
,770,-64,518,33.07,2.90,-0.40,"8,100",2.85,2.95,"6,075",370.00,"2,025",28.15,29.50,"4,050",0.90,30.10,41.99,48,-3,244,
,257,29,215,33.46,2.20,-0.35,"4,050",2.15,2.25,"4,050",375.00,"10,125",32.20,34.40,"14,175",-,33.70,-,-,-,36,
,792,82,509,34.10,1.70,-0.30,"14,175",1.65,1.75,"14,175",380.00,"2,025",36.90,37.95,"4,050",1.80,38.15,41.96,1,-,126,
,220,4,144,34.64,1.30,-0.30,"12,150",1.25,1.35,"8,100",385.00,"8,100",41.25,42.90,"4,050",-4.20,37.75,-,2,2,23,
,334,40,245,35.65,1.05,-0.20,"58,725",1.00,1.05,"14,175",390.00,"8,100",46.00,48.35,"2,025",-,45.30,-,-,-,91,
,130,9,109,36.13,0.80,-0.15,"6,075",0.60,0.85,"4,050",395.00,"8,100",50.60,52.50,"4,050",-13.05,51.00,39.34,4,-,16,
,917,-2,204,37.64,0.70,-0.15,"14,175",0.65,0.75,"14,175",400.00,"8,100",55.45,57.70,"12,150",-,54.30,-,-,-,380,
,67,-,-,-,0.40,-,"4,050",0.20,1.60,"4,050",405.00,"8,100",59.80,63.60,"10,125",-,57.00,-,-,-,2,
,232,-4,38,39.14,0.45,-0.10,"6,075",0.35,0.45,"2,025",410.00,"8,100",65.15,67.40,"2,025",-,57.00,-,-,-,71,
,5,-,-,-,1.45,-,"28,350",0.15,1.20,"8,100",415.00,"8,100",70.05,73.50,"8,100",-,66.00,-,-,-,2,
,206,4,29,41.75,0.35,-0.05,"6,075",0.30,0.35,"2,025",420.00,"10,125",75.00,77.00,"4,050",4.60,73.90,-,1,-,37,
,99,-1,1,40.28,0.20,-0.05,"32,400",0.10,0.80,"4,050",425.00,"6,075",79.75,83.00,"6,075",-,73.00,-,-,-,1,
,135,9,30,43.55,0.25,-0.05,"2,025",0.25,0.30,"20,250",430.00,"14,175",84.80,87.20,"8,100",-,99.60,-,-,-,9,
,109,-,-,-,0.20,-,"2,025",0.15,0.40,"2,025",440.00,"8,100",94.75,97.20,"10,125",-,82.30,-,-,-,90,
,157,-20,22,47.62,0.15,-0.05,"4,050",0.15,0.20,"8,100",450.00,"14,175",104.60,107.00,"8,100",-,94.80,-,-,-,13,
,65,-,-,-,0.15,-,"2,025",0.10,0.35,"2,025",460.00,"6,075",114.45,117.00,"8,100",-,103.50,-,-,-,13,
