CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,000.00","3,500",0.25,0.35,"4,200",-0.10,0.25,41.65,47,-15,114,
-,-,-,-,-,-,-,-,-,-,-,"1,020.00","9,800",0.25,0.45,"2,100",-0.15,0.30,39.49,20,-15,75,
-,-,-,-,-,-,-,-,-,-,-,"1,040.00","22,400",0.25,0.40,"2,100",-0.05,0.35,37.18,3,-2,57,
,-,-,-,-,-,-,"3,500",213.25,222.30,"2,800","1,060.00","7,700",0.20,0.30,"1,400",-,0.35,-,-,-,415,
,-,-,-,-,-,-,"4,900",193.15,202.45,"4,900","1,080.00","4,200",0.25,0.40,700,0.05,0.40,31.69,4,-3,207,
-,-,-,-,-,-,-,-,-,-,-,"1,090.00",700,0.30,0.35,"3,500",-0.05,0.30,29.04,49,-,417,
,91,-,-,-,172.00,-,"4,200",175.90,180.85,"4,900","1,100.00","2,800",0.55,0.60,"7,700",-0.10,0.55,30.00,154,-30,"1,100",
-,-,-,-,-,-,-,-,-,-,-,"1,110.00","4,200",0.35,5.30,"2,800",-0.15,0.45,27.62,29,-,349,
,-,-,-,-,-,-,"2,100",152.85,162.75,"2,100","1,120.00","2,100",0.55,0.65,700,-0.25,0.55,26.89,94,-45,323,
,-,-,-,-,-,-,"4,900",143.75,152.75,"2,800","1,130.00","2,100",0.50,1.20,"1,400",-0.35,0.70,26.31,71,-18,648,
,-,-,-,-,-,-,"4,900",134.75,143.25,"2,100","1,140.00","1,400",0.85,1.15,"1,400",-0.35,1.05,26.50,357,42,759,
,21,-,-,-,107.45,-,"32,200",125.15,131.40,"2,100","1,150.00",700,1.20,1.45,700,-0.45,1.45,26.38,558,31,"1,344",
,75,-,-,-,80.05,-,"6,300",116.85,121.95,"6,300","1,160.00","2,100",1.70,1.95,"2,800",-0.60,1.75,25.60,355,-16,580,
,29,-,-,-,83.65,-,"2,800",105.75,112.20,700,"1,170.00","2,100",2.15,2.40,700,-0.80,2.15,24.90,239,57,600,
,60,-,-,-,76.05,-,"2,800",97.35,103.10,"2,800","1,180.00","2,100",2.75,2.90,700,-0.75,2.80,24.55,500,50,939,
,51,-,1,-,83.40,-4.15,700,87.90,93.05,"1,400","1,190.00","2,100",3.45,3.55,"1,400",-0.95,3.50,23.97,421,52,546,
,531,-49,214,21.12,81.95,4.55,"1,400",80.55,83.15,700,"1,200.00","2,100",4.35,4.40,"2,100",-1.20,4.30,23.28,"2,206",169,"3,079",
,132,-8,22,21.67,73.60,4.20,700,71.35,74.00,700,"1,210.00","4,900",5.10,5.45,700,-1.35,5.30,22.61,702,59,639,
,432,-32,84,19.99,64.05,2.55,"1,400",63.40,65.45,700,"1,220.00",700,6.55,6.70,"1,400",-1.70,6.55,21.96,996,18,876,
,172,-12,74,19.53,55.60,2.70,700,55.05,59.30,700,"1,230.00","6,300",8.10,9.40,"1,400",-1.90,8.20,21.44,"1,328",135,841,
,514,-77,325,19.19,47.65,2.60,700,45.95,48.80,700,"1,240.00","1,400",9.00,12.00,"3,500",-2.25,10.20,20.90,"1,277",45,"1,092",
,"1,908",-138,"2,072",19.34,40.70,2.75,"2,100",40.20,41.00,"1,400","1,250.00","1,400",12.55,13.65,"1,400",-2.70,12.65,20.39,"2,754",40,"2,849",
,"1,749",157,"2,198",18.71,33.50,2.15,"1,400",32.95,33.65,"1,400","1,260.00",700,15.40,15.60,"4,900",-3.10,15.60,19.87,"2,127",26,"1,180",
,"2,433",379,"4,166",18.47,27.35,1.85,"1,400",26.90,27.75,700,"1,270.00","1,400",18.20,19.35,700,-3.75,19.05,19.30,"2,903",113,"1,049",
,"2,021",196,"4,785",18.01,21.60,1.15,"1,400",21.65,21.80,"1,400","1,280.00","3,500",21.15,24.00,"7,000",-3.95,23.70,19.20,"1,647",45,944,
,"1,453",314,"3,143",17.95,17.05,0.85,"1,400",17.00,17.40,"1,400","1,290.00","2,100",26.65,31.80,"2,100",-4.50,28.95,19.04,340,-3,145,
,"8,912",108,"6,031",17.94,13.25,0.60,"4,900",13.20,13.30,"10,500","1,300.00","1,400",34.25,35.45,700,-5.10,34.55,18.60,787,-7,"1,543",
,850,56,"1,308",18.02,10.20,0.45,"1,400",10.00,10.55,700,"1,310.00",700,40.65,44.15,"1,400",-4.50,41.90,19.15,73,1,101,
,"2,183",-11,"1,297",18.17,7.80,0.30,700,7.70,7.80,700,"1,320.00",700,48.05,49.75,700,-5.65,48.60,18.55,45,-5,81,
,933,80,"1,072",18.33,5.90,0.10,700,5.85,6.10,"1,400","1,330.00",700,55.75,60.80,"1,400",3.25,59.55,21.98,12,4,30,
,838,-77,784,18.68,4.55,-,"3,500",4.50,4.70,"3,500","1,340.00","1,400",64.75,67.80,700,0.60,66.15,20.36,33,15,96,
,"1,665",99,754,18.95,3.45,-,"7,000",3.35,3.50,"7,700","1,350.00","5,600",72.55,77.10,"1,400",1.90,81.25,28.50,20,6,237,
,820,-212,477,19.22,2.60,-0.10,"3,500",2.60,2.80,"2,100","1,360.00","6,300",81.80,87.80,"2,800",-,89.65,-,-,-,31,
,462,26,237,19.60,2.00,-0.10,"1,400",1.95,2.10,"1,400","1,370.00","2,800",89.55,97.15,"2,800",-,101.00,-,-,-,34,
,511,-2,99,19.87,1.50,-0.10,"1,400",1.50,1.60,"1,400","1,380.00","2,800",98.35,107.05,"3,500",-,-,-,-,-,-,
,229,2,42,20.57,1.25,-,700,1.15,1.40,"1,400","1,390.00","4,900",107.60,118.05,"2,100",-,-,-,-,-,-,
,"1,881",81,530,20.87,0.95,-0.10,"1,400",0.95,1.10,"1,400","1,400.00","1,400",120.65,125.40,700,-4.00,122.00,24.27,19,1,145,
,312,-2,33,20.26,0.55,-0.15,"42,000",0.30,0.80,"2,100","1,410.00",-,-,-,-,-,-,-,-,-,-,-
,715,-7,58,22.06,0.65,-,"2,800",0.55,0.65,"1,400","1,420.00","2,100",137.10,145.55,"4,900",-,-,-,-,-,-,
,226,-7,10,23.00,0.60,-0.05,700,0.55,0.70,700,"1,430.00",-,-,-,-,-,-,-,-,-,-,-
,167,-,-,-,0.55,-,700,0.45,0.60,"2,800","1,440.00","2,100",157.00,166.80,"2,100",-,-,-,-,-,-,
,128,-,3,25.46,0.45,-0.10,"14,000",0.40,0.60,"2,800","1,460.00","2,100",177.20,186.70,"2,100",-,-,-,-,-,-,
,323,-19,72,29.37,0.40,-0.15,"17,500",0.40,0.45,"1,400","1,500.00","2,800",217.05,224.85,"1,400",-,257.05,-,-,-,19,
