CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,520.00",500,1.50,8.30,"1,750",-,1.50,-,-,-,88,
,-,-,-,-,-,-,"1,000",268.45,290.75,750,"1,560.00","7,500",1.50,5.50,"12,500",-0.25,1.85,36.63,74,-18,34,
-,-,-,-,-,-,-,-,-,-,-,"1,580.00",250,0.25,9.55,"1,000",0.05,2.05,34.84,167,-,13,
,-,-,-,-,-,-,750,231.30,250.90,"1,750","1,600.00",250,2.65,8.80,"12,500",0.10,2.70,34.15,3,-1,85,
-,-,-,-,-,-,-,-,-,-,-,"1,620.00",250,3.55,4.10,250,1.05,3.65,33.69,250,48,88,
,4,-,-,-,194.30,-,"1,750",191.60,213.75,750,"1,640.00",250,2.00,11.50,"12,500",-,16.50,-,-,-,3,
,-,-,-,-,-,-,"1,750",173.00,196.25,750,"1,660.00",250,0.75,13.95,"1,750",0.50,5.05,30.70,3,-1,147,
,-,-,-,-,-,-,750,153.70,178.60,750,"1,680.00",250,1.65,16.20,"1,250",1.55,6.50,29.86,6,2,52,
,3,-,-,-,187.25,-,750,136.00,158.10,750,"1,700.00",250,7.65,10.95,"5,000",2.00,8.90,29.62,79,-1,82,
,7,-,3,27.47,124.85,-33.75,"1,250",119.00,138.30,750,"1,720.00","7,500",8.85,13.80,"5,000",2.35,11.20,28.66,76,-11,70,
,3,-,-,-,150.25,-,500,102.20,124.55,750,"1,740.00","7,500",11.20,17.00,"3,000",3.10,14.00,27.65,36,-17,108,
,7,2,2,26.57,92.55,-38.85,"1,000",87.85,106.05,750,"1,760.00","7,500",14.40,22.55,"5,000",4.05,18.15,27.11,32,4,172,
,189,-31,43,25.92,77.55,-41.20,"1,250",72.10,90.70,"1,250","1,780.00","7,500",18.80,28.05,"5,000",4.00,22.00,25.73,81,27,123,
,82,23,45,25.94,64.75,-37.15,"1,750",58.15,77.50,"1,750","1,800.00",250,24.65,35.40,"5,000",8.45,31.10,26.99,195,17,315,
,23,11,16,25.49,52.50,-22.75,500,47.70,62.55,500,"1,820.00","2,000",38.00,39.00,250,10.00,38.95,26.62,76,-7,154,
,135,24,82,26.01,43.30,-12.55,500,37.40,50.70,250,"1,840.00",250,47.05,50.00,250,11.00,47.15,25.69,162,34,250,
,268,11,59,25.51,33.75,-14.45,500,31.05,39.00,250,"1,860.00",250,53.80,64.15,750,8.70,53.80,23.04,40,-1,145,
,219,9,149,25.54,26.45,-12.50,250,27.55,32.80,250,"1,880.00",500,65.80,71.75,250,15.05,70.65,25.56,42,-10,159,
,459,-9,418,25.60,20.45,-10.35,500,19.05,21.50,500,"1,900.00",500,73.70,91.05,750,17.10,84.50,25.60,64,10,330,
,116,69,133,25.97,16.00,-8.20,250,13.25,18.95,250,"1,920.00","1,000",84.50,107.90,750,29.60,96.30,23.24,1,-,118,
,56,-3,64,26.22,12.30,-6.45,250,11.65,15.30,"5,000","1,940.00",500,109.45,122.25,250,-,75.20,-,-,-,12,
,131,8,78,26.03,8.90,-5.90,250,7.80,10.50,500,"1,960.00",750,121.75,139.55,750,-,103.15,-,-,-,24,
,140,6,28,26.07,6.50,-4.70,"7,500",5.60,9.20,"5,000","1,980.00",500,141.25,159.20,750,-,110.55,-,-,-,5,
,349,-3,115,27.36,5.60,-3.35,250,5.15,7.20,"5,000","2,000.00",500,162.25,177.60,"1,000",3.70,147.65,-,1,-,156,
,64,15,39,27.76,4.30,-2.05,250,4.40,4.75,250,"2,020.00",250,178.65,196.35,750,0.70,163.45,-,-,-,6,
,117,41,91,29.23,3.90,-1.90,250,3.45,3.95,250,"2,040.00",250,197.85,214.10,750,-,158.85,-,-,-,4,
,69,17,42,30.55,3.50,-1.15,"7,500",2.05,3.80,"5,000","2,060.00",750,217.45,231.80,"1,750",-,182.95,-,-,-,5,
,28,1,2,30.40,2.50,-0.80,250,1.15,6.95,"12,500","2,080.00","1,000",236.60,251.80,750,-,-,-,-,-,-,
,197,5,47,31.35,2.15,-1.05,"7,500",1.40,2.80,"2,000","2,100.00",-,-,-,-,-,-,-,-,-,-,-
,32,2,2,35.24,3.00,-0.50,500,0.25,5.20,"1,000","2,120.00",750,270.70,294.65,"1,750",-,-,-,-,-,-,
,27,-,-,-,3.55,-,250,0.35,9.40,"1,000","2,140.00",-,-,-,-,-,-,-,-,-,-,-
,6,-,-,-,0.55,-,250,0.65,4.35,"12,500","2,160.00",750,315.00,332.10,"1,750",-,-,-,-,-,-,
,55,-,-,-,2.10,-,250,0.40,2.70,500,"2,200.00",-,-,-,-,-,-,-,-,-,-,-
,7,-,-,-,1.00,-,500,0.25,8.45,750,"2,240.00",-,-,-,-,-,-,-,-,-,-,-
