CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,46.00,-,-,0.05,"97,500",-,0.05,65.38,5,3,26,
-,-,-,-,-,-,-,-,-,-,-,48.00,"5,10,000",0.05,0.10,"1,42,500",-,0.10,-,-,-,15,
,-,-,-,-,12.75,-,"52,500",13.90,14.45,"22,500",50.00,"25,35,000",0.05,0.10,"15,75,000",-0.05,0.05,50.88,11,-,557,
-,-,-,-,-,-,-,-,-,-,-,51.00,"12,37,500",0.05,0.10,"3,30,000",-0.05,0.05,47.39,2,1,53,
,5,-,-,-,9.70,-,"52,500",11.90,12.45,"22,500",52.00,"19,12,500",0.05,0.10,"2,70,000",-0.05,0.05,43.93,175,-58,198,
,55,-,-,-,9.90,-,"22,500",10.95,11.50,"22,500",53.00,"7,27,500",0.10,0.15,"5,55,000",-,0.10,45.65,2,2,225,
,10,-,-,-,8.80,-,"30,000",9.95,10.55,"52,500",54.00,"12,30,000",0.10,0.15,"3,22,500",-,0.15,45.49,19,2,426,
,146,4,5,-,9.15,0.60,"52,500",9.00,9.50,"15,000",55.00,"15,000",0.15,0.20,"13,20,000",-0.05,0.15,41.59,479,15,905,
,157,-,1,33.04,8.30,0.30,"7,500",8.15,8.65,"7,500",56.00,"1,27,500",0.15,0.20,"12,82,500",-0.05,0.15,37.71,132,96,716,
,185,-4,8,34.98,7.40,0.30,"7,500",7.10,7.70,"52,500",57.00,"3,00,000",0.20,0.25,"1,65,000",-0.05,0.20,36.24,221,-58,327,
,386,1,21,34.80,6.50,0.50,"7,500",6.35,6.60,"7,500",58.00,"2,92,500",0.25,0.30,"4,50,000",-0.15,0.25,34.16,319,28,674,
,305,1,80,24.25,5.35,0.20,"15,000",5.50,5.70,"7,500",59.00,"75,000",0.35,0.40,"1,05,000",-0.15,0.35,33.14,136,-10,723,
,718,-135,463,31.39,4.70,0.45,"15,000",4.70,4.75,"22,500",60.00,"5,17,500",0.45,0.55,"1,65,000",-0.15,0.50,32.51,"1,006",-99,"1,558",
,261,-39,154,29.72,3.85,0.35,"7,500",3.75,3.90,"15,000",61.00,"37,500",0.65,0.70,"37,500",-0.15,0.65,30.81,518,-18,459,
,"1,179",25,426,29.06,3.10,0.35,"7,500",3.00,3.10,"7,500",62.00,"67,500",0.85,0.95,"60,000",-0.20,0.90,30.12,976,43,637,
,837,-63,847,28.87,2.45,0.35,"22,500",2.40,2.50,"60,000",63.00,"7,50,000",1.25,1.30,"45,000",-0.15,1.30,30.78,"1,448",197,767,
,769,-16,"1,142",28.08,1.85,0.30,"2,40,000",1.85,1.90,"37,500",64.00,"90,000",1.60,1.70,"45,000",-0.25,1.65,29.18,885,28,305,
,"2,268",9,"1,955",28.29,1.40,0.25,"97,500",1.35,1.40,"52,500",65.00,"22,500",2.10,2.20,"15,000",-0.30,2.20,29.49,510,12,645,
,776,27,856,27.86,1.00,0.15,"52,500",0.95,1.00,"30,000",66.00,"15,000",2.70,2.85,"15,000",-0.35,2.80,29.23,388,46,177,
,547,-22,524,26.72,0.65,0.05,"52,500",0.65,0.70,"22,500",67.00,"15,000",3.40,3.50,"15,000",-0.40,3.45,28.37,145,44,180,
,936,31,351,28.14,0.50,0.10,"52,500",0.45,0.50,"1,35,000",68.00,"7,500",4.20,4.35,"7,500",-0.35,4.35,31.19,68,-5,74,
,342,8,302,28.51,0.35,0.05,"67,500",0.30,0.35,"1,50,000",69.00,"7,500",5.05,5.20,"15,000",-0.30,5.30,34.56,18,-7,56,
,"2,493",3,"1,834",29.15,0.25,-,"36,22,500",0.20,0.25,"52,500",70.00,"60,000",5.75,6.15,"15,000",-0.35,6.00,30.79,76,-2,955,
,355,8,151,28.58,0.15,-0.05,"3,07,500",0.15,0.20,"6,07,500",71.00,"30,000",6.70,7.20,"30,000",-,8.30,-,-,-,23,
,410,-2,81,28.94,0.10,-0.05,"13,27,500",0.10,0.15,"4,50,000",72.00,"30,000",7.65,8.15,"15,000",-1.05,8.20,44.01,1,-,70,
,266,10,25,34.32,0.10,0.05,"26,02,500",0.05,0.10,"41,02,500",74.00,"22,500",9.60,10.15,"22,500",-,10.50,-,-,-,236,
,237,-5,36,39.40,0.10,0.05,"67,500",0.05,0.10,"51,07,500",76.00,"22,500",11.55,11.95,"30,000",0.10,12.20,58.01,7,2,258,
