CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"45,000",42.60,44.25,"37,500",140.00,"97,500",0.15,0.25,"15,000",-0.05,0.20,57.49,7,-1,105,
,-,-,-,-,-,-,"26,250",37.65,39.25,"15,000",145.00,"75,000",0.25,0.35,"11,250",-0.05,0.30,54.76,26,15,134,
,-,-,-,-,-,-,"26,250",35.35,37.55,"26,250",147.50,"3,750",0.15,1.05,"11,250",-,-,-,-,-,-,
,5,-,-,-,26.10,-,"30,000",32.80,34.45,"37,500",150.00,"1,01,250",0.30,0.40,"33,750",-0.20,0.35,49.55,152,-11,268,
,5,-,-,-,20.25,-,"18,750",30.30,31.85,"11,250",152.50,"22,500",0.20,0.45,"3,750",-,0.45,-,-,-,45,
,3,-,-,-,21.30,0.40,"15,000",28.05,29.50,"7,500",155.00,"71,250",0.50,0.55,"15,000",-0.25,0.55,47.20,127,26,148,
,12,-,-,-,24.30,-,"3,750",25.70,27.15,"11,250",157.50,"11,250",0.60,0.70,"7,500",-0.30,0.65,45.42,88,-6,72,
,67,-1,10,37.17,24.05,2.35,"3,750",23.75,24.60,"3,750",160.00,"18,750",0.75,0.80,"15,000",-0.45,0.80,44.07,194,21,271,
,32,-2,4,37.83,21.80,3.75,"15,000",21.05,22.45,"11,250",162.50,"7,500",0.90,1.00,"7,500",-0.55,0.95,42.30,120,-12,64,
,118,-,13,29.96,19.05,1.20,"7,500",19.20,20.05,"3,750",165.00,"18,750",1.15,1.25,"22,500",-0.65,1.20,41.28,281,-65,243,
,61,8,27,36.15,17.30,2.35,"26,250",16.70,18.05,"15,000",167.50,"3,750",1.40,1.55,"3,750",-0.85,1.45,39.70,71,-16,112,
,206,-43,112,37.51,15.40,2.35,"7,500",15.10,15.45,"3,750",170.00,"41,250",1.80,1.95,"18,750",-1.00,1.80,38.50,"1,261",-337,596,
,92,-8,149,35.31,13.20,2.00,"3,750",13.10,13.80,"3,750",172.50,"3,750",2.25,2.40,"7,500",-1.05,2.35,38.22,182,-15,119,
,203,-44,270,36.15,11.50,2.00,"7,500",11.20,11.70,"3,750",175.00,"3,750",2.95,3.05,"7,500",-1.25,2.95,37.48,702,32,343,
,56,-25,214,34.98,9.65,1.70,"7,500",9.10,10.20,"3,750",177.50,"3,750",3.70,3.85,"3,750",-1.30,3.85,37.87,175,7,124,
,707,-132,"1,363",35.43,8.20,1.60,"3,750",7.90,8.30,"3,750",180.00,"3,750",4.70,4.80,"7,500",-1.60,4.65,36.76,"1,701",427,890,
,212,-14,880,34.93,6.75,1.35,"3,750",6.50,6.90,"3,750",182.50,"7,500",5.25,5.95,"3,750",-1.85,5.80,36.87,248,25,123,
,418,15,"1,956",34.67,5.50,1.15,"22,500",5.50,5.60,"3,750",185.00,"7,500",6.75,7.25,"3,750",-2.10,6.90,35.82,247,18,99,
,82,-23,296,34.64,4.45,0.95,"11,250",4.45,4.50,"3,750",187.50,"7,500",8.00,9.15,"11,250",-2.15,8.60,37.35,46,9,17,
,547,92,"1,778",34.90,3.60,0.80,"11,250",3.55,3.70,"11,250",190.00,"3,750",9.50,10.50,"3,750",-2.40,10.05,36.60,131,15,94,
,116,-12,207,34.91,2.85,0.55,"3,750",2.75,2.95,"7,500",192.50,"11,250",11.40,12.30,"3,750",-2.45,11.90,37.46,25,-10,6,
,448,222,733,34.73,2.20,0.40,"18,750",2.20,2.30,"15,000",195.00,"7,500",13.25,14.05,"7,500",-2.40,13.45,35.50,18,-1,43,
,41,-8,154,35.58,1.80,0.35,"3,750",1.70,1.85,"3,750",197.50,"7,500",15.15,16.45,"26,250",-1.90,15.80,38.44,11,5,20,
,762,-74,"1,061",35.76,1.40,0.20,"37,500",1.35,1.45,"18,750",200.00,"3,750",17.30,18.10,"3,750",-2.35,17.60,36.53,34,-,203,
,141,71,247,36.39,0.85,0.05,"18,750",0.80,0.90,"37,500",205.00,"3,750",21.70,22.65,"3,750",-2.75,22.55,42.87,16,8,15,
,430,56,252,36.91,0.50,-0.05,"37,500",0.40,0.55,"18,750",210.00,"11,250",26.30,27.65,"15,000",-,31.00,-,-,-,161,
