CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,132.20,-,"5,000",148.95,156.45,"3,000",640.00,"2,000",0.30,0.60,"1,000",0.05,0.55,44.24,18,-12,20,
-,-,-,-,-,-,-,-,-,-,-,650.00,"2,000",0.05,1.00,"1,000",-,0.50,-,-,-,14,
,-,-,-,-,-,-,"7,000",128.95,135.60,"4,000",660.00,"2,000",0.05,1.00,"1,000",0.15,0.60,39.34,10,-2,13,
,-,-,-,-,-,-,"3,000",118.60,125.60,"4,000",670.00,"7,000",0.05,1.40,"2,000",-,-,-,-,-,-,
,6,-,-,-,82.70,-,"4,000",109.70,116.30,"4,000",680.00,"2,000",0.85,1.05,"1,000",0.25,0.95,36.74,62,37,165,
,-,-,-,-,-,-,"3,000",99.40,106.15,"4,000",690.00,"2,000",1.15,1.40,"4,000",0.25,1.40,36.56,27,14,19,
,29,1,2,24.69,95.65,-30.35,"1,000",92.90,95.25,"2,000",700.00,"5,000",1.65,1.75,"2,000",0.65,1.70,34.99,263,-20,370,
,14,-,-,-,82.60,-,"4,000",82.70,87.25,"4,000",710.00,"1,000",2.20,2.35,"1,000",0.65,2.25,34.09,47,17,108,
,15,-,-,-,85.75,-,"3,000",72.30,78.15,"4,000",720.00,"1,000",2.95,3.10,"1,000",1.30,3.05,33.44,112,37,162,
,24,1,1,48.19,77.10,-1.70,"1,000",66.15,67.90,"1,000",730.00,"1,000",4.05,4.15,"1,000",1.95,4.20,33.07,370,83,225,
,37,-,-,-,91.75,-,"3,000",54.90,60.25,"3,000",740.00,"1,000",5.40,5.60,"3,000",2.60,5.55,32.40,400,-28,243,
,107,27,36,28.56,51.30,-22.85,"2,000",48.80,51.80,"1,000",750.00,"2,000",7.20,7.65,"1,000",3.65,7.45,32.09,703,-52,586,
,146,1,6,36.16,48.35,-19.35,"1,000",39.35,44.70,"1,000",760.00,"1,000",8.20,10.60,"1,000",4.70,9.85,31.81,715,-16,403,
,149,-2,40,25.38,34.55,-21.00,"2,000",33.00,37.60,"4,000",770.00,"2,000",12.10,13.55,"1,000",6.20,12.75,31.46,651,-42,402,
,185,-9,148,26.99,29.15,-19.45,"2,000",29.25,30.90,"5,000",780.00,"1,000",16.00,16.50,"1,000",7.90,16.45,31.41,"1,232",-57,278,
,153,27,270,27.31,23.70,-17.90,"2,000",23.25,24.00,"1,000",790.00,"1,000",20.40,21.55,"1,000",9.95,21.05,31.68,783,-34,223,
,695,172,"1,590",27.79,19.15,-15.05,"1,000",19.15,19.20,"3,000",800.00,"1,000",25.35,26.30,"1,000",11.50,26.00,31.54,"1,878",19,462,
,369,94,803,28.09,15.20,-13.00,"1,000",15.05,16.35,"2,000",810.00,"1,000",31.00,32.45,"1,000",13.50,31.75,31.60,554,-29,314,
,683,60,"1,426",28.43,11.95,-10.90,"1,000",11.65,12.45,"1,000",820.00,"2,000",37.30,39.10,"1,000",16.05,38.90,32.75,392,-58,265,
,572,111,973,28.46,9.10,-9.20,"2,000",9.20,9.85,"1,000",830.00,"1,000",44.95,47.95,"1,000",18.80,46.90,34.44,182,-23,136,
,449,73,602,29.07,7.15,-7.25,"1,000",6.95,7.75,"1,000",840.00,"2,000",52.60,56.65,"1,000",19.30,53.70,33.67,71,-8,87,
,734,134,"1,037",29.37,5.45,-5.80,"1,000",5.45,5.50,"3,000",850.00,"1,000",61.05,62.55,"1,000",23.00,62.30,35.12,15,-1,126,
,589,37,603,29.63,4.10,-4.45,"3,000",4.10,4.20,"2,000",860.00,"1,000",69.40,72.00,"1,000",18.80,66.50,26.51,3,1,23,
,364,-2,644,30.14,3.15,-3.50,"1,000",3.20,3.25,"4,000",870.00,"1,000",78.65,81.05,"1,000",28.45,75.00,24.54,5,-3,15,
,389,18,607,30.43,2.35,-2.75,"1,000",2.40,2.50,"4,000",880.00,"4,000",87.15,91.85,"1,000",28.50,83.95,21.31,2,-,8,
,109,-38,233,31.51,1.95,-2.00,"1,000",1.65,1.90,"2,000",890.00,"4,000",95.95,102.70,"3,000",-,62.35,-,-,-,2,
,805,10,805,32.00,1.50,-1.60,"5,000",1.45,1.55,"7,000",900.00,"2,000",106.40,110.90,"2,000",0.80,73.55,-,-,-,137,
,113,32,101,32.20,1.10,-1.20,"1,000",1.05,1.25,"1,000",910.00,"1,000",115.80,119.15,"2,000",37.80,118.00,44.76,2,-,7,
,311,-56,451,33.05,0.90,-0.95,"2,000",0.90,0.95,"2,000",920.00,"4,000",124.90,131.45,"3,000",-,-,-,-,-,-,
,43,-,-,-,0.90,-0.30,"25,000",0.35,1.00,"6,000",940.00,"4,000",144.50,151.25,"3,000",-,-,-,-,-,-,
,18,-,-,-,1.10,-,"1,000",0.40,1.15,"3,000",950.00,-,-,-,-,-,-,-,-,-,-,-
,3,-,1,34.62,0.30,-,"16,000",0.15,2.40,"5,000",960.00,-,-,-,-,-,-,-,-,-,-,-
,18,-,-,-,0.45,-,"1,000",0.15,0.45,"5,000",980.00,-,-,-,-,-,-,-,-,-,-,-
,22,2,5,41.82,0.35,-0.25,"1,000",0.25,0.45,"1,000","1,000.00","4,000",203.95,210.10,"3,000",-,185.00,-,-,-,2,
