CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,200",453.10,469.95,"2,100","1,720.00",300,2.25,3.40,300,1.25,3.25,54.09,148,22,177,
,-,-,-,-,-,-,"1,200",415.35,430.80,"2,100","1,760.00",300,3.10,4.00,"1,200",0.30,3.40,50.07,470,98,183,
,-,-,-,-,-,-,"1,200",375.05,391.95,900,"1,800.00",300,4.20,4.95,900,-0.25,4.20,47.54,137,-2,111,
,-,-,-,-,-,-,"1,200",354.50,381.40,900,"1,820.00",300,2.00,14.75,"12,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",334.60,361.20,"1,200","1,840.00",300,2.00,13.45,"12,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",314.70,339.60,900,"1,860.00",300,2.00,14.80,"2,100",-,5.00,-,-,-,15,
,-,-,-,-,-,-,"1,200",295.00,315.80,900,"1,880.00",600,2.15,10.05,300,-,6.60,-,-,-,86,
,-,-,-,-,-,-,"1,200",277.50,293.60,900,"1,900.00",900,4.20,7.70,"6,000",-0.75,5.75,38.97,29,-15,47,
,-,-,-,-,-,-,"1,200",254.45,282.20,"1,200","1,920.00","2,700",1.45,18.10,900,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",234.65,259.80,900,"1,940.00","2,700",1.55,13.75,300,-,13.75,-,-,-,1,
,-,-,-,-,-,-,"1,200",215.30,244.65,900,"1,960.00","3,000",2.10,18.35,"1,200",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",198.30,216.25,"1,200","1,980.00","9,000",4.70,10.95,300,1.85,10.85,35.31,11,4,54,
,3,-,-,-,175.10,-,"1,200",184.00,200.00,900,"2,000.00",600,10.55,12.50,300,-0.55,12.10,33.84,90,49,246,
,-,-,-,-,-,-,"1,200",165.45,185.15,900,"2,020.00","9,000",11.65,19.75,"6,000",-1.00,14.50,33.14,13,-1,33,
,-,-,-,-,-,-,"1,200",141.45,177.10,900,"2,040.00","12,000",7.80,31.10,900,-1.60,18.90,33.56,4,-,3,
,6,-1,1,32.60,144.00,12.10,900,123.75,157.90,900,"2,060.00",300,5.90,36.30,900,-,37.00,-,-,-,11,
,28,-,-,-,138.20,-,"1,200",110.10,144.55,900,"2,080.00","1,200",13.35,38.65,900,-6.40,26.55,32.22,14,4,92,
,154,-4,15,29.50,109.95,-18.05,"1,200",102.15,115.80,300,"2,100.00",300,26.50,39.50,"6,000",-0.70,29.50,30.52,89,23,142,
,4,-,-,-,113.65,-,900,82.85,115.30,900,"2,120.00","1,200",20.05,53.90,900,-,35.55,-,-,-,15,
,1,-,-,-,88.00,-,"1,200",69.85,102.95,900,"2,140.00","1,200",28.05,61.50,900,-,40.45,-,-,-,3,
,15,-8,17,31.27,76.50,-4.00,300,70.50,82.00,300,"2,160.00",300,45.90,62.05,300,-,47.25,-,-,-,23,
,23,-3,18,32.60,69.00,-6.25,"6,600",55.30,71.60,"1,200","2,180.00","1,200",52.70,77.40,900,-22.50,55.00,27.15,1,-,9,
,229,21,227,32.02,58.50,-8.20,600,50.00,65.00,300,"2,200.00",300,72.05,89.60,"1,500",2.85,72.00,30.24,28,-6,61,
,9,5,11,30.90,47.85,-8.65,300,38.80,52.00,300,"2,220.00","1,200",76.65,99.50,"3,000",-,-,-,-,-,-,
,8,1,2,38.05,54.75,1.20,900,24.00,58.85,900,"2,240.00",900,84.55,114.85,900,-,87.00,-,-,-,1,
,44,11,25,29.69,31.65,-10.35,"9,000",26.85,41.60,"6,000","2,260.00","1,200",104.35,125.70,"1,500",-,100.00,-,-,-,1,
,48,5,11,35.50,36.65,1.70,"9,000",24.65,35.00,600,"2,280.00",900,118.95,143.55,900,-,192.20,-,-,-,5,
,257,13,195,31.89,25.00,-5.80,300,23.00,26.95,300,"2,300.00","1,800",136.20,154.25,"2,100",1.10,128.10,23.16,7,3,109,
,36,-,-,-,35.00,-,"1,200",8.65,34.35,900,"2,320.00","1,200",144.15,179.10,900,-,-,-,-,-,-,
,6,5,8,35.30,22.00,-2.00,"1,200",8.70,32.65,900,"2,340.00","2,100",164.10,197.15,900,-,-,-,-,-,-,
,54,10,15,31.88,13.80,-5.20,"9,000",11.95,19.35,"6,000","2,360.00",900,185.55,208.65,"2,100",-,-,-,-,-,-,
,28,4,32,33.36,12.90,-3.70,"9,000",9.10,17.75,"6,000","2,380.00","1,200",202.50,225.55,"2,100",-,-,-,-,-,-,
,161,13,68,34.31,11.55,-2.45,"9,000",8.50,12.50,300,"2,400.00",900,220.40,237.50,"1,200",-,330.00,-,-,-,1,
,4,1,1,38.09,13.50,-1.85,"4,800",1.85,11.00,300,"2,420.00",900,235.45,260.10,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,300,2.35,17.05,"12,000","2,440.00",900,254.05,284.70,"3,000",-,-,-,-,-,-,
,-,-,-,-,-,-,300,2.35,14.95,"12,000","2,460.00",900,274.40,303.90,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,300,2.15,12.95,"12,000","2,480.00",900,293.50,315.25,300,-,326.25,-,-,-,3,
,135,-22,120,36.49,5.30,-1.90,600,5.30,6.00,600,"2,500.00","2,100",314.45,335.95,"1,200",-,320.00,-,-,-,5,
,-,-,-,-,-,-,600,1.40,13.65,900,"2,520.00",900,333.20,362.45,"2,100",-,-,-,-,-,-,
,-,-,-,-,-,-,600,1.25,9.00,300,"2,560.00",900,371.20,397.55,"2,100",-,-,-,-,-,-,
,156,-35,361,40.33,3.20,-1.10,600,3.20,3.85,300,"2,600.00","2,100",412.30,430.80,"2,100",-,515.00,-,-,-,4,
,275,7,150,44.50,3.80,-0.05,300,3.00,3.80,300,"2,640.00",-,-,-,-,-,-,-,-,-,-,-
