CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,420.00,950,0.20,3.10,"2,850",-,0.55,-,-,-,3,
,-,-,-,-,-,-,"3,800",107.25,111.15,"3,800",440.00,"2,850",0.50,1.90,"47,500",-0.40,0.95,52.31,30,19,102,
-,-,-,-,-,-,-,-,-,-,-,450.00,"3,800",0.50,1.90,950,-0.15,0.90,47.37,35,13,160,
,-,-,-,-,-,-,"3,800",86.80,93.35,"6,650",460.00,"19,950",0.15,4.10,"2,850",-,1.55,-,-,-,3,
,12,-,-,-,72.70,-,"3,800",78.55,82.70,950,470.00,950,2.00,4.60,"2,850",-,2.10,46.60,17,-,33,
,3,-,-,-,66.30,-,"3,800",69.60,74.35,"2,850",480.00,950,2.80,3.55,"19,000",-0.25,2.70,44.56,23,-1,107,
,11,6,10,43.31,62.55,5.15,"3,800",60.60,64.75,"2,850",490.00,950,3.85,4.00,950,-0.40,4.00,44.45,29,-10,36,
,31,-,-,-,45.05,-,"3,800",52.00,55.30,"3,800",500.00,950,5.25,5.45,950,-0.70,5.15,42.56,61,-4,153,
,17,-1,4,37.83,44.55,5.55,"3,800",43.30,48.35,"3,800",510.00,"28,500",5.80,8.60,"19,000",-1.05,7.30,42.44,21,-2,61,
,141,-16,41,38.11,37.25,3.95,"3,800",36.40,39.25,950,520.00,"28,500",8.20,10.35,950,-0.75,9.70,41.55,52,12,175,
,52,-4,26,38.81,30.90,3.85,"3,800",28.75,33.25,"2,850",530.00,950,10.80,14.05,950,-1.75,12.70,40.67,74,-8,183,
,129,-3,101,38.11,24.65,2.65,950,22.30,26.00,950,540.00,950,14.60,17.80,950,-1.70,17.15,41.35,120,-2,105,
,225,19,575,38.44,19.70,2.50,950,18.85,20.45,950,550.00,"19,950",18.40,23.35,950,-1.35,21.70,40.75,106,-,187,
,133,6,324,39.20,15.75,2.50,950,13.50,15.75,950,560.00,"15,200",23.60,28.65,950,-5.15,27.35,40.87,36,-1,31,
,134,-,207,38.83,11.95,1.80,950,10.60,12.65,950,570.00,"1,900",30.60,35.40,950,-0.90,33.10,39.79,24,2,14,
,101,16,119,37.91,8.60,1.00,950,7.85,9.95,950,580.00,"9,500",37.60,42.80,"6,650",-1.45,41.75,43.42,1,-,7,
,54,-3,42,38.25,6.45,0.90,950,5.55,7.30,"1,900",590.00,"2,850",44.85,50.80,"4,750",-,42.35,-,-,-,5,
,388,17,346,38.93,4.90,0.70,950,4.90,5.10,"3,800",600.00,"2,850",54.55,59.10,"2,850",1.90,56.35,41.56,4,-2,7,
,91,-,54,39.23,3.60,0.45,950,3.60,3.85,950,610.00,"2,850",62.30,67.50,"6,650",-,56.80,-,-,-,8,
,105,30,161,39.87,2.70,0.20,950,2.65,2.85,950,620.00,"2,850",71.95,76.60,"6,650",1.75,73.30,40.69,1,1,8,
,101,8,39,41.34,1.55,-,950,1.50,1.70,950,640.00,"3,800",90.50,95.40,"6,650",-,-,-,-,-,-,
