CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"3,500.00",150,2.55,3.15,150,1.85,3.20,46.91,27,17,28,
-,-,-,-,-,-,-,-,-,-,-,"3,550.00",150,1.30,14.00,600,-,15.00,-,-,-,1,
,-,-,-,-,-,-,"1,050",780.20,816.30,600,"3,600.00",300,2.20,5.90,150,-,2.00,-,-,-,12,
-,-,-,-,-,-,-,-,-,-,-,"3,650.00",150,2.35,19.00,600,-,7.50,-,-,-,4,
,2,-,-,-,773.95,-,600,682.40,717.10,600,"3,700.00",450,4.00,6.80,150,-,5.00,39.91,3,-2,104,
-,-,-,-,-,-,-,-,-,-,-,"3,750.00",150,2.35,20.00,450,-,15.55,-,-,-,15,
,1,-,-,-,472.00,-,"1,050",587.05,620.10,450,"3,800.00",150,7.00,7.35,150,-0.45,7.30,37.39,234,68,453,
,-,-,-,-,-,-,600,536.40,579.20,600,"3,850.00",150,3.65,18.00,150,-,22.55,-,-,-,12,
,-,-,-,-,-,-,"1,050",492.55,525.00,450,"3,900.00",150,11.55,18.20,"3,000",0.40,12.40,36.06,145,7,383,
,24,-,-,-,431.35,-,"1,050",447.25,477.10,450,"3,950.00","4,500",11.25,15.65,150,-8.25,15.65,35.18,136,-16,119,
,52,-1,5,32.40,424.95,-36.15,300,401.15,423.35,300,"4,000.00","4,500",14.95,18.95,750,-2.95,15.90,32.29,423,15,747,
,8,-,-,-,405.95,-,150,355.45,394.15,900,"4,050.00","4,500",18.65,33.60,150,0.75,23.85,33.04,37,-2,68,
,107,2,9,24.44,322.00,-37.30,450,311.90,335.85,150,"4,100.00",150,25.05,31.40,"1,500",2.75,31.40,32.72,321,28,423,
,21,3,3,25.33,281.05,-36.60,750,270.35,313.00,450,"4,150.00","4,500",31.50,47.95,150,3.00,38.85,31.76,210,-8,133,
,366,-33,89,28.01,249.00,-29.40,150,232.00,248.05,150,"4,200.00",150,40.55,52.70,900,3.55,49.00,31.11,329,16,649,
,169,-1,26,26.21,206.50,-33.90,150,198.30,223.20,150,"4,250.00",150,53.40,78.80,300,4.75,61.40,30.50,162,7,209,
,563,-15,222,27.33,177.00,-27.40,"1,500",176.50,180.80,150,"4,300.00",150,69.85,85.00,150,5.85,77.00,30.06,676,-47,649,
,156,10,390,27.27,146.65,-26.00,150,143.90,148.95,150,"4,350.00",150,89.40,97.75,150,7.55,95.05,29.54,420,19,249,
,"1,134",47,"2,098",26.84,118.15,-24.80,150,115.50,119.70,300,"4,400.00",150,112.25,121.00,150,8.50,116.80,29.18,"1,180",-15,416,
,365,-129,"1,562",26.93,95.25,-21.40,300,92.00,96.95,150,"4,450.00",150,140.80,154.60,150,11.85,144.05,29.38,378,18,157,
,"1,567",51,"3,011",26.83,75.00,-18.95,150,74.15,78.00,150,"4,500.00",300,171.00,174.95,150,16.70,175.00,29.72,203,31,628,
,229,31,572,26.66,57.70,-17.00,150,47.70,59.00,150,"4,550.00",150,197.35,221.65,300,-21.25,205.80,29.30,35,9,24,
,"1,271",22,990,26.88,44.85,-12.75,150,44.00,45.00,900,"4,600.00",150,240.10,252.35,300,24.00,243.45,29.95,28,3,78,
,172,-39,169,27.42,35.50,-9.45,"4,500",27.25,39.15,150,"4,650.00",150,267.70,299.75,300,36.60,295.60,34.23,1,-,5,
,922,-18,615,27.13,25.75,-8.90,150,25.65,26.30,150,"4,700.00",150,314.90,333.95,300,35.65,334.60,34.41,6,-,320,
,183,-19,125,27.77,20.35,-6.35,150,15.95,20.80,150,"4,750.00",600,354.10,386.20,750,32.55,376.50,34.99,7,3,6,
,460,-26,574,28.11,15.50,-5.10,150,15.15,16.35,600,"4,800.00",750,401.80,431.15,"1,050",-,387.70,-,-,-,189,
,51,19,100,28.71,12.20,-4.05,150,10.30,15.80,150,"4,850.00",600,443.05,477.70,750,-,-,-,-,-,-,
,308,-24,148,29.49,9.90,-2.95,300,9.50,12.50,450,"4,900.00",600,492.40,520.00,150,29.60,504.00,34.23,1,1,32,
,123,3,7,30.60,8.50,-2.50,450,6.00,18.05,150,"4,950.00",600,539.85,575.00,"1,050",-,-,-,-,-,-,
,"1,130",25,617,31.33,6.95,-1.80,300,6.65,8.00,"2,250","5,000.00",600,588.90,621.75,600,-,600.00,-,-,-,35,
,79,-,6,33.14,6.80,-0.95,450,3.00,10.00,150,"5,050.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,150,1.50,14.40,"6,000","5,100.00",600,686.60,725.25,450,-,-,-,-,-,-,
,4,-,-,-,8.10,-,300,1.05,7.95,"6,000","5,200.00",600,784.10,820.90,750,-,-,-,-,-,-,
