CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,240.00,"1,700",0.05,1.45,"1,700",-,1.45,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,270.00,"1,700",0.30,0.40,"1,700",-,0.55,-,-,-,26,
-,-,-,-,-,-,-,-,-,-,-,280.00,"22,100",0.50,0.60,"11,900",-,0.55,55.01,144,9,567,
-,-,-,-,-,-,-,-,-,-,-,285.00,"1,700",0.20,2.15,"11,900",-,0.95,-,-,-,52,
-,-,-,-,-,-,-,-,-,-,-,290.00,"5,100",0.55,0.70,"1,700",-0.15,0.60,48.99,4,-,94,
-,-,-,-,-,-,-,-,-,-,-,295.00,"1,700",0.40,2.15,"5,100",-,1.00,-,-,-,47,
,16,-1,2,59.28,58.60,7.55,"1,700",55.15,57.10,"1,700",300.00,"6,800",0.95,1.05,"20,400",0.05,1.05,47.45,365,-12,530,
-,-,-,-,-,-,-,-,-,-,-,305.00,"1,700",1.20,1.30,"3,400",0.05,1.20,45.19,76,7,93,
,13,-,-,-,46.35,-,"1,700",45.65,48.60,"11,900",310.00,"5,100",1.05,1.60,"3,400",0.10,1.50,43.88,41,4,203,
,34,-,-,-,41.95,-,"8,500",41.35,44.05,"11,900",315.00,"8,500",1.85,1.95,"8,500",0.10,1.90,42.76,248,-3,128,
,67,-1,8,50.51,40.35,-0.65,"1,700",37.25,38.50,"3,400",320.00,"6,800",2.40,2.45,"1,700",0.05,2.40,41.65,408,40,978,
,44,-,4,53.82,37.30,0.60,"6,800",32.55,34.10,"3,400",325.00,"5,100",3.00,3.10,"3,400",0.15,3.00,40.44,233,28,305,
,203,-13,87,38.46,29.80,-2.55,"5,100",28.65,30.05,"1,700",330.00,"3,400",3.90,4.00,"3,400",0.40,3.95,40.14,431,-14,750,
,40,-,10,37.02,25.65,-2.70,"1,700",24.60,27.05,"17,000",335.00,"1,700",4.90,5.05,"1,700",0.30,4.80,38.65,207,-3,189,
,398,-12,140,37.04,22.10,-2.80,"1,700",21.50,22.30,"1,700",340.00,"6,800",6.25,6.50,"1,700",0.65,6.25,38.60,513,23,882,
,180,-29,131,35.96,18.50,-2.40,"1,700",18.25,18.90,"1,700",345.00,"1,700",7.50,8.00,"1,700",0.70,7.65,37.50,424,39,484,
,"1,613",70,698,36.34,15.65,-1.95,"3,400",15.30,15.65,"1,700",350.00,"1,700",8.85,10.55,"5,100",1.05,9.75,37.74,"1,044",34,"1,471",
,254,12,302,35.75,12.80,-1.80,"1,700",12.60,12.90,"3,400",355.00,"1,700",11.65,12.10,"3,400",1.10,11.85,37.04,525,82,334,
,"1,705",15,"1,966",35.69,10.45,-1.65,"1,700",10.30,10.45,"1,700",360.00,"3,400",14.00,15.30,"3,400",1.35,14.50,37.06,"1,064",36,"1,417",
,502,44,865,35.73,8.45,-1.55,"1,700",8.35,8.45,"1,700",365.00,"15,300",16.85,17.65,"1,700",1.55,17.55,37.37,529,47,217,
,"1,689",11,"1,455",35.92,6.80,-1.25,"5,100",6.65,6.90,"1,700",370.00,"1,700",20.05,20.95,"1,700",1.80,20.75,37.26,365,-39,638,
,722,31,585,36.23,5.45,-1.05,"3,400",5.35,5.45,"1,700",375.00,"3,400",24.05,25.15,"3,400",2.15,24.50,38.09,38,1,98,
,"1,366",64,"1,156",36.77,4.40,-0.95,"5,100",4.25,4.40,"1,700",380.00,"11,900",27.55,29.45,"1,700",2.30,28.15,37.80,34,4,132,
,162,-27,362,36.94,3.45,-0.70,"5,100",3.40,3.50,"1,700",385.00,"11,900",30.85,33.70,"3,400",2.25,30.25,29.45,2,-,43,
,637,74,593,37.89,2.85,-0.50,"6,800",2.75,2.85,"13,600",390.00,"8,500",36.25,38.25,"8,500",0.40,34.75,29.97,5,-2,71,
,142,10,159,38.24,2.25,-0.50,"8,500",2.20,2.30,"5,100",395.00,"1,700",40.60,42.50,"11,900",4.65,41.05,40.36,9,2,6,
,"3,187",-4,"1,038",39.38,1.90,-0.40,"15,300",1.80,1.90,"1,700",400.00,"1,700",45.15,46.95,"5,100",2.10,45.10,38.45,16,6,"1,074",
,119,5,102,40.08,1.55,-0.10,"5,100",1.45,1.55,"1,700",405.00,"5,100",48.95,51.70,"11,900",-0.90,46.05,-,1,-,4,
,292,34,154,40.25,1.20,-0.25,"1,700",1.10,1.25,"11,900",410.00,"5,100",53.55,56.75,"17,000",-34.35,43.80,-,1,1,1,
,35,5,72,41.57,1.05,-0.20,"3,400",1.00,1.10,"3,400",415.00,"5,100",58.40,61.25,"8,500",-,-,-,-,-,-,
,382,28,163,42.12,0.85,-0.10,"11,900",0.80,0.90,"8,500",420.00,"1,700",63.95,65.95,"1,700",0.40,62.50,-,2,1,42,
,27,-7,42,43.77,0.60,-0.10,"1,700",0.50,0.65,"3,400",430.00,-,-,-,-,-,-,-,-,-,-,-
,452,8,79,45.71,0.45,-,"5,100",0.45,0.50,"13,600",440.00,-,-,-,-,-,-,-,-,-,-,-
