CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"39,000",25.85,27.20,"14,625",100.00,"43,875",0.05,0.10,"10,14,000",0.05,0.10,48.66,68,-35,526,
,-,-,-,-,16.85,-,"19,500",20.95,21.90,"19,500",105.00,"78,000",0.10,0.15,"14,625",-0.05,0.10,39.94,18,-9,182,
,1,-,-,-,17.35,-,"58,500",18.50,19.60,"34,125",107.50,"39,000",0.15,0.20,"19,500",-,0.20,40.35,147,28,195,
,24,-1,1,39.96,17.10,-0.95,"4,875",16.45,17.00,"4,875",110.00,"53,625",0.25,0.30,"1,02,375",-,0.25,37.37,261,-7,562,
,32,1,2,51.33,15.55,0.85,"14,625",13.85,14.65,"19,500",112.50,"39,000",0.35,0.40,"4,875",0.05,0.40,36.38,225,-11,180,
,77,-11,41,29.26,12.10,-0.10,"4,875",11.70,12.30,"4,875",115.00,"1,02,375",0.50,0.60,"29,250",-,0.55,34.08,381,32,434,
,64,-6,27,21.67,9.50,-0.70,"9,750",9.40,10.10,"4,875",117.50,"43,875",0.80,0.85,"14,625",0.05,0.85,33.00,"1,035",-330,426,
,249,1,152,27.86,7.75,-0.30,"4,875",7.60,7.90,"4,875",120.00,"43,875",1.20,1.30,"43,875",-,1.20,30.98,"1,072",-10,"1,276",
,187,2,72,26.77,5.80,-0.30,"4,875",5.50,6.10,"24,375",122.50,"9,750",1.80,1.85,"14,625",-,1.80,29.97,"1,388",268,736,
,820,9,902,27.07,4.25,-0.25,"4,875",4.20,4.25,"29,250",125.00,"14,625",2.65,2.75,"24,375",0.10,2.75,30.04,"1,307",-4,859,
,581,-24,"1,069",26.94,2.95,-0.20,"19,500",2.90,3.00,"29,250",127.50,"14,625",3.85,3.95,"9,750",0.15,3.90,29.52,699,-1,403,
,"2,198",170,"2,004",26.83,1.95,-0.20,"48,750",1.95,2.00,"97,500",130.00,"14,625",5.30,5.50,"9,750",0.15,5.40,29.68,496,32,790,
,485,-27,908,27.50,1.30,-0.10,"1,36,500",1.25,1.35,"43,875",132.50,"4,875",6.95,7.45,"4,875",0.25,7.30,31.33,90,-13,151,
,"1,070",71,"1,210",28.17,0.85,-0.10,"1,36,500",0.80,0.90,"1,31,625",135.00,"24,375",8.90,9.55,"4,875",0.15,9.30,32.29,51,15,417,
,378,-7,478,28.88,0.55,-0.10,"4,875",0.55,0.60,"48,750",137.50,"9,750",11.20,11.95,"19,500",0.40,11.65,35.97,7,-2,83,
,"1,690",-65,932,30.53,0.40,-0.05,"6,09,375",0.35,0.40,"4,48,500",140.00,"4,875",13.60,14.10,"4,875",0.65,14.00,39.04,7,-1,345,
,219,20,136,30.96,0.25,-0.05,"73,125",0.25,0.30,"43,875",142.50,"19,500",15.75,16.70,"19,500",-0.10,15.80,30.90,4,-1,69,
,691,-4,126,34.50,0.25,-,"3,80,250",0.20,0.25,"5,16,750",145.00,"14,625",18.25,19.10,"14,625",-,18.35,-,-,-,135,
,187,-1,21,34.42,0.15,-0.05,"2,92,500",0.10,0.20,"78,000",147.50,"19,500",20.55,21.60,"19,500",-,22.05,-,-,-,44,
,"1,363",59,180,37.50,0.15,-0.05,"22,32,750",0.10,0.15,"6,92,250",150.00,"19,500",23.10,23.80,"4,875",-0.65,21.85,-,3,-3,488,
,56,9,18,37.92,0.10,-0.05,"4,29,000",0.05,0.10,"87,750",152.50,"19,500",25.50,26.50,"34,125",-,23.75,-,-,-,4,
,461,16,88,40.69,0.10,-,"15,69,750",0.05,0.10,"63,375",155.00,"19,500",28.00,28.65,"19,500",-,28.25,-,-,-,168,
,784,-,22,41.83,0.05,-0.05,-,-,0.05,"48,750",160.00,"48,750",32.75,33.65,"19,500",-,34.45,-,-,-,666,
