CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,42.00,"1,02,500",0.10,0.15,"1,23,000",-0.05,0.10,59.71,7,-,29,
-,-,-,-,-,-,-,-,-,-,-,43.00,"20,500",0.10,0.25,"10,250",0.05,0.15,59.62,1,-,2,
-,-,-,-,-,-,-,-,-,-,-,44.00,"5,02,250",0.05,0.40,"41,000",-,0.25,-,-,-,-,
,2,-,-,-,9.45,-,"10,250",9.10,9.45,"30,750",45.00,"5,02,250",0.15,0.25,"1,23,000",-,0.20,53.29,122,35,120,
,-,-,-,-,-,-,"10,250",8.15,8.45,"41,000",46.00,"10,250",0.20,0.30,"20,500",-,0.25,51.06,4,-3,64,
,-,-,-,-,-,-,"10,250",7.15,7.70,"30,750",47.00,"20,500",0.15,0.55,"20,500",-,0.85,-,-,-,-,
,20,-2,6,-,6.20,-0.55,"10,250",6.25,6.55,"10,250",48.00,"20,500",0.30,0.40,"20,500",-0.05,0.35,44.97,74,-6,161,
,21,-,-,-,5.90,-,"10,250",5.35,5.70,"41,000",49.00,"20,500",0.40,0.50,"20,500",-,0.50,44.60,2,1,108,
,140,-,5,42.21,4.85,-0.30,"10,250",4.60,4.75,"10,250",50.00,"1,64,000",0.55,0.65,"1,23,000",-0.05,0.60,41.56,176,48,462,
,46,-,1,33.08,3.75,-0.70,"10,250",3.75,4.00,"10,250",51.00,"30,750",0.75,0.85,"20,500",-,0.80,40.33,119,52,139,
,88,8,19,37.05,3.20,-0.50,"10,250",3.10,3.25,"10,250",52.00,"20,500",1.05,1.15,"20,500",-0.10,1.05,39.00,85,12,198,
,90,3,23,37.53,2.60,-0.30,"10,250",2.45,2.60,"10,250",53.00,"10,250",1.35,1.45,"20,500",-0.10,1.40,38.42,64,-18,186,
,251,20,140,36.37,2.00,-0.35,"10,250",1.95,2.00,"20,500",54.00,"10,250",1.80,1.95,"10,250",0.10,1.85,38.31,128,60,208,
,653,37,336,36.55,1.55,-0.35,"20,500",1.45,1.55,"51,250",55.00,"20,500",2.35,2.50,"10,250",-0.05,2.35,37.63,115,-57,300,
,271,86,147,36.12,1.15,-0.35,"20,500",1.10,1.20,"20,500",56.00,"10,250",3.00,3.15,"10,250",-,2.95,-,-,-,122,
,280,7,76,37.29,0.90,-0.30,"41,000",0.85,0.90,"1,84,500",57.00,"10,250",3.70,3.85,"10,250",-,3.70,38.76,13,-6,77,
,395,9,184,38.34,0.70,-0.25,"1,02,500",0.65,0.70,"41,000",58.00,"10,250",4.45,4.70,"10,250",0.25,4.65,43.61,2,-,145,
,281,11,108,39.52,0.55,-0.20,"51,250",0.50,0.55,"1,23,000",59.00,"10,250",5.30,5.55,"10,250",0.30,5.50,45.50,2,-1,46,
,"1,902",-7,858,39.62,0.40,-0.25,"3,79,250",0.40,0.45,"82,000",60.00,"30,750",6.15,6.45,"10,250",0.25,6.20,42.25,5,-4,107,
,285,7,132,40.23,0.30,-0.20,"71,750",0.30,0.40,"71,750",61.00,"41,000",7.00,7.40,"71,750",-,7.15,-,-,-,17,
,381,18,162,44.08,0.30,-0.10,"71,750",0.25,0.30,"30,750",62.00,"30,750",8.00,8.35,"41,000",-,7.65,-,-,-,39,
,135,17,64,45.58,0.25,-0.05,"61,500",0.20,0.25,"30,750",63.00,"71,750",8.90,9.35,"1,74,250",-,8.80,-,-,-,6,
,187,-5,90,46.53,0.20,-0.10,"2,25,500",0.15,0.20,"51,250",64.00,"71,750",9.85,10.25,"71,750",-,9.45,-,-,-,8,
,730,-23,259,49.78,0.20,-0.05,"11,78,750",0.15,0.20,"8,71,250",65.00,"41,000",10.85,11.25,"51,250",-,10.10,-,-,-,52,
,322,-42,49,46.06,0.10,-0.10,"5,84,250",0.10,0.15,"20,500",66.00,"71,750",11.80,12.25,"1,53,750",-,11.05,-,-,-,17,
,10,1,1,56.01,0.20,-,"10,250",0.10,0.15,"30,750",67.00,"41,000",12.80,13.20,"71,750",-,-,-,-,-,-,
,356,8,10,51.60,0.10,-0.05,"1,53,750",0.10,0.15,"3,69,000",68.00,"41,000",13.80,14.15,"71,750",-,-,-,-,-,-,
