CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,620.00,"2,625",0.45,0.60,875,-0.10,0.55,48.00,2,-2,171,
-,-,-,-,-,-,-,-,-,-,-,640.00,875,0.55,0.70,"1,750",-0.20,0.65,43.55,47,29,282,
-,-,-,-,-,-,-,-,-,-,-,650.00,"1,750",0.80,0.95,875,0.15,0.95,43.43,3,1,176,
,1,-,-,-,95.00,-,"3,500",120.55,126.75,"3,500",660.00,875,1.00,1.15,"1,750",-0.30,1.05,41.25,63,10,178,
-,-,-,-,-,-,-,-,-,-,-,670.00,"1,750",1.05,3.90,875,-0.30,1.50,41.07,2,1,89,
,-,-,-,-,-,-,"2,625",101.30,107.65,"3,500",680.00,875,1.95,2.50,875,-0.50,2.00,40.42,62,4,158,
,-,-,-,-,-,-,"2,625",91.90,98.45,"3,500",690.00,875,2.55,2.90,875,-0.35,2.70,39.98,26,1,58,
,35,1,2,37.75,90.05,-4.00,"1,750",84.10,89.00,875,700.00,875,3.40,3.60,"2,625",-0.30,3.50,39.24,217,29,547,
,11,-1,1,43.81,83.75,7.25,875,74.20,80.35,"3,500",710.00,"1,750",4.40,5.65,"17,500",-0.05,4.65,38.88,135,25,127,
,11,-,-,-,77.05,-,"3,500",66.85,71.75,"3,500",720.00,875,5.60,7.10,"17,500",-,6.05,38.42,278,11,328,
,35,2,3,31.28,61.80,-8.20,875,57.80,63.50,"3,500",730.00,875,6.55,8.90,875,0.25,7.65,37.71,120,28,174,
,69,3,9,38.15,57.50,-3.40,875,50.25,55.55,875,740.00,875,9.05,10.75,875,0.05,9.40,36.65,209,37,253,
,146,-1,11,29.40,45.10,-8.00,"2,625",43.00,48.00,875,750.00,875,12.25,12.90,875,0.60,12.30,36.86,412,79,728,
,174,-8,47,31.67,39.50,-5.75,875,38.35,41.70,"3,500",760.00,875,14.80,15.65,875,0.75,15.25,36.33,364,21,328,
,351,-12,111,32.04,33.45,-5.50,875,32.35,37.25,"3,500",770.00,"1,750",19.30,21.20,875,1.40,19.35,36.69,261,-1,422,
,448,43,385,32.03,27.80,-5.25,875,26.95,28.15,875,780.00,875,22.55,24.85,875,1.80,23.80,36.72,314,-24,358,
,417,23,441,32.47,23.15,-4.65,875,22.95,23.60,875,790.00,875,28.15,32.00,"4,375",2.25,28.85,36.79,240,2,309,
,"1,599",95,"1,293",33.00,19.20,-3.95,"4,375",18.95,19.45,"2,625",800.00,875,34.80,37.60,"1,750",3.70,34.95,37.50,272,-2,909,
,504,50,419,33.26,15.65,-3.35,875,15.10,15.95,875,810.00,"1,750",39.50,43.80,"2,625",4.10,41.60,38.26,59,-16,274,
,"1,161",-8,495,33.75,12.80,-2.90,"1,750",12.50,13.10,875,820.00,"1,750",46.65,50.50,875,4.55,48.40,38.57,72,10,396,
,767,-40,493,34.03,10.30,-2.35,875,9.60,11.85,875,830.00,"11,375",53.55,59.65,875,4.00,55.20,38.20,5,-3,255,
,626,37,270,34.27,8.20,-2.15,875,7.85,8.50,875,840.00,"1,750",61.55,67.10,875,7.55,63.25,39.13,1,-1,124,
,"1,780",124,681,35.03,6.75,-1.70,"1,750",6.50,7.70,875,850.00,"3,500",70.15,75.60,875,4.95,70.85,38.72,4,-,214,
,582,-12,236,35.20,5.30,-1.45,875,5.10,5.70,"1,750",860.00,"3,500",78.60,84.90,"2,625",-0.15,75.00,-,-,-,43,
,418,34,218,35.55,4.20,-1.20,875,4.10,4.20,875,870.00,"3,500",87.45,93.30,"3,500",-,79.95,-,-,-,44,
,460,13,228,35.85,3.30,-0.95,875,3.20,3.35,"1,750",880.00,"1,750",96.55,102.20,"3,500",-,88.70,-,-,-,48,
,120,6,39,35.69,2.45,-1.00,875,2.00,2.70,"1,750",890.00,"3,500",105.85,111.80,"2,625",-,96.30,-,-,-,7,
,"1,709",82,465,36.79,2.10,-0.60,"1,750",2.10,2.15,"1,750",900.00,"8,750",115.50,118.80,"3,500",7.55,118.00,48.73,6,2,608,
,726,-35,202,36.95,1.20,-0.40,"1,750",1.15,1.25,"4,375",920.00,875,134.30,140.30,"2,625",-,121.00,-,-,-,199,
,145,10,77,39.00,1.20,0.05,"1,750",0.90,1.20,875,930.00,-,-,-,-,-,-,-,-,-,-,-
,491,29,344,37.40,0.70,-0.30,"10,500",0.70,0.75,"1,750",940.00,"3,500",153.65,159.75,"3,500",-,167.60,-,-,-,3,
