CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,105.00,"1,55,100",0.15,0.20,"35,250",-,0.20,58.91,45,-17,220,
,46,-1,3,-,20.50,-2.00,"3,525",20.45,21.05,"17,625",110.00,"24,675",0.35,0.40,"21,150",-,0.40,57.23,344,-91,561,
,13,-,8,-,16.65,-0.95,"7,050",15.60,16.50,"14,100",115.00,"3,525",0.75,0.80,"24,675",-,0.75,55.51,425,-82,534,
,2,-,2,-,13.80,-1.65,"14,100",13.30,14.20,"17,625",117.50,"3,525",1.00,1.10,"3,525",-0.15,1.00,54.56,38,2,254,
,99,3,14,-,11.55,-0.95,"3,525",11.55,12.15,"7,050",120.00,"17,625",1.45,1.55,"14,100",0.05,1.50,56.08,470,-61,"1,104",
,34,-2,2,-,9.45,-1.85,"14,100",9.35,10.20,"14,100",122.50,"7,050",2.00,2.10,"3,525",0.15,2.10,57.14,120,3,357,
,202,10,52,-,7.90,-1.20,"3,525",7.95,8.30,"3,525",125.00,"3,525",2.80,2.90,"10,575",0.10,2.80,57.82,353,-5,"1,080",
,167,16,47,-,6.70,-0.95,"17,625",6.05,6.95,"14,100",127.50,"7,050",3.70,3.85,"7,050",0.15,3.70,59.09,154,22,318,
,831,102,340,-,5.25,-0.85,"7,050",5.20,5.40,"17,625",130.00,"3,525",4.90,5.05,"10,575",0.30,5.00,62.48,585,24,"1,251",
,417,94,225,-,4.20,-0.80,"7,050",4.15,4.25,"3,525",132.50,"3,525",6.25,6.45,"3,525",0.55,6.50,66.12,159,10,302,
,"1,496",113,973,18.64,3.40,-0.60,"3,525",3.35,3.40,"3,525",135.00,"3,525",7.80,8.10,"7,050",0.50,8.00,68.60,291,-13,813,
,939,111,627,23.70,2.75,-0.45,"10,575",2.65,2.70,"3,525",137.50,"14,100",9.45,10.25,"7,050",0.05,9.65,71.29,54,11,179,
,"3,052",292,"2,415",26.74,2.15,-0.50,"21,150",2.15,2.20,"24,675",140.00,"3,525",11.40,11.95,"7,050",0.55,11.70,76.21,71,-17,971,
,862,71,378,29.81,1.75,-0.40,"3,525",1.70,1.75,"10,575",142.50,"21,150",13.40,14.25,"3,525",-,13.00,-,-,-,176,
,"2,773",-141,"1,724",32.15,1.40,-0.35,"7,050",1.35,1.40,"21,150",145.00,"7,050",15.60,16.10,"7,050",0.90,15.30,80.15,14,-1,372,
,862,-9,358,33.38,1.05,-0.40,"24,675",1.05,1.15,"14,100",147.50,"14,100",17.80,18.50,"14,100",1.10,18.45,91.93,3,-2,196,
,"6,025",-102,"4,455",35.37,0.85,-0.35,"2,15,025",0.85,0.90,"1,09,275",150.00,"3,525",20.15,20.65,"7,050",0.80,20.20,92.25,32,-13,405,
,"1,320",-43,203,37.34,0.70,-0.30,"28,200",0.65,0.75,"10,575",152.50,"14,100",22.30,23.35,"7,050",1.50,22.85,99.43,1,-,84,
,"3,471",55,"2,379",38.65,0.55,-0.30,"9,62,325",0.55,0.60,"7,050",155.00,"14,100",24.60,25.60,"3,525",-,23.60,-,-,-,120,
,703,-37,249,41.24,0.50,-0.20,"28,200",0.45,0.55,"66,975",157.50,"10,575",27.20,28.05,"14,100",-,26.45,-,-,-,49,
,"4,056",-22,"2,859",43.57,0.45,-0.15,"1,83,300",0.40,0.45,"4,44,150",160.00,"24,675",29.55,30.20,"3,525",-,28.30,-,-,-,102,
,373,-35,90,42.99,0.30,-0.20,"10,575",0.30,0.35,"14,100",162.50,"14,100",31.95,32.95,"14,100",-,21.80,-,-,-,4,
,939,-66,490,45.96,0.30,-0.10,"8,53,050",0.25,0.30,"4,30,050",165.00,"14,100",34.35,35.30,"7,050",-,36.70,-,-,-,20,
,255,-14,47,47.21,0.25,-0.10,"38,775",0.20,0.30,"10,575",167.50,-,-,-,-,-,-,-,-,-,-,-
,"1,473",-9,464,49.96,0.25,-0.10,"14,69,925",0.20,0.25,"3,52,500",170.00,"24,675",39.20,40.05,"3,525",-,41.50,-,-,-,16,
,164,-19,20,50.66,0.20,-0.10,"10,575",0.15,0.25,"3,525",172.50,-,-,-,-,-,-,-,-,-,-,-
,295,-5,56,53.20,0.20,-0.05,"5,81,625",0.15,0.20,"31,725",175.00,"24,675",44.25,45.35,"42,300",-,-,-,-,-,-,
,"1,032",-48,527,58.12,0.20,-0.05,"16,67,325",0.15,0.20,"4,15,950",180.00,"24,675",49.25,49.95,"14,100",-,47.75,-,-,-,12,
