CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,1,1,-,78.30,-21.80,"1,600",77.20,80.45,"1,600",360.00,"1,36,000",0.10,0.15,"3,200",-0.05,0.15,39.09,75,-9,545,
-,-,-,-,-,-,-,-,-,-,-,370.00,"16,000",0.20,0.25,"6,400",-0.05,0.20,36.04,76,3,293,
,-,-,-,-,-,-,"14,400",57.80,60.75,"14,400",380.00,"14,400",0.35,0.40,"59,200",0.10,0.40,35.15,321,68,664,
,4,2,4,-,48.15,-13.50,"1,600",48.85,50.25,"1,600",390.00,"11,200",0.60,0.70,"19,200",0.10,0.65,33.14,830,222,612,
-,-,-,-,-,-,-,-,-,-,-,395.00,"9,600",0.85,0.90,"8,000",0.20,0.90,32.72,589,44,264,
,114,-11,36,-,40.50,-5.45,"1,600",39.90,40.80,"4,800",400.00,"3,200",1.20,1.25,"8,000",0.25,1.20,32.09,"1,872",410,"2,600",
,73,-1,9,-,35.75,-4.55,"3,200",34.85,36.55,"6,400",405.00,"1,600",1.55,1.60,"12,800",0.30,1.55,31.26,"1,031",195,555,
,28,-7,19,-,29.55,-6.85,"1,600",30.40,31.65,"3,200",410.00,"12,800",2.05,2.15,"9,600",0.40,2.15,31.13,"1,766",240,"1,037",
,41,8,41,-,27.00,-4.55,"1,600",26.25,27.45,"1,600",415.00,"6,400",2.75,2.85,"9,600",0.50,2.85,30.73,"1,091",134,641,
,238,64,227,-,23.00,-4.80,"12,800",21.40,22.95,"1,600",420.00,"8,000",3.65,3.75,"3,200",0.60,3.75,30.39,"2,269",262,"1,502",
,140,25,77,-,19.40,-4.70,"3,200",18.15,20.00,"1,600",425.00,"1,600",4.90,5.05,"3,200",0.80,5.00,30.46,"1,889",166,587,
,601,212,"1,006",11.49,15.80,-4.60,"3,200",15.70,15.90,"1,600",430.00,"3,200",6.50,6.60,"4,800",1.00,6.55,30.60,"3,444",434,"1,560",
,571,275,"1,223",15.47,12.85,-4.20,"3,200",12.65,12.85,"1,600",435.00,"3,200",8.30,8.65,"4,800",1.30,8.50,31.02,"2,730",325,"1,268",
,"2,499","1,587","6,967",17.49,10.30,-3.80,"14,400",10.20,10.30,"1,600",440.00,"6,400",10.75,10.95,"1,600",1.70,10.90,31.76,"4,397",296,"2,239",
,"1,678",675,"3,979",18.65,8.05,-3.40,"3,200",8.05,8.15,"1,600",445.00,"1,600",13.55,13.75,"3,200",2.10,13.65,32.59,"1,522",-147,569,
,"5,058","1,470","8,421",19.91,6.35,-2.75,"12,800",6.25,6.40,"1,13,600",450.00,"1,600",16.65,16.95,"1,600",2.60,16.80,33.69,"2,355",-175,"1,444",
,"2,310",589,"3,226",20.66,4.85,-2.20,"16,000",4.75,4.85,"6,400",455.00,"11,200",19.60,21.55,"3,200",3.05,20.15,34.65,524,-2,455,
,"6,263","1,486","7,303",21.28,3.65,-1.75,"3,200",3.60,3.70,"16,000",460.00,"1,600",23.75,24.30,"1,600",3.50,23.90,36.03,438,53,703,
,"2,540",210,"2,066",21.45,2.60,-1.35,"1,600",2.55,2.65,"14,400",465.00,"1,600",27.85,29.70,"4,800",4.05,27.90,37.59,45,-23,362,
,"4,882",378,"5,384",21.75,1.85,-1.00,"8,000",1.80,1.85,"4,800",470.00,"1,600",32.00,33.15,"3,200",6.35,34.25,44.98,59,-21,276,
,"2,984",81,"1,841",22.29,1.35,-0.75,"9,600",1.30,1.40,"12,800",475.00,"1,600",36.15,38.35,"9,600",4.90,37.05,42.74,32,12,159,
,"3,753",265,"4,083",23.20,1.05,-0.50,"22,400",1.00,1.05,"60,800",480.00,"1,600",41.00,42.40,"3,200",6.30,42.85,48.45,6,-,96,
,489,-130,588,23.59,0.75,-0.45,"3,200",0.75,0.85,"6,400",485.00,"6,400",44.95,47.85,"6,400",-,42.15,-,-,-,47,
,934,-117,"2,332",24.96,0.65,-0.30,"14,400",0.60,0.65,"4,800",490.00,"32,000",50.25,52.50,"6,400",-,39.00,-,-,-,35,
,516,3,268,25.65,0.50,-0.25,"9,600",0.50,0.55,"11,200",495.00,"6,400",54.75,58.00,"11,200",0.40,45.35,-,-,-,18,
,"3,828",252,"4,899",27.04,0.45,-0.15,"2,59,200",0.40,0.45,"9,600",500.00,"11,200",60.50,61.05,"1,600",7.25,63.25,62.55,11,11,123,
,206,31,155,27.67,0.35,-0.15,"16,000",0.30,0.40,"9,600",505.00,"6,400",64.35,67.80,"4,800",-,47.65,-,-,-,3,
,566,-39,344,28.71,0.30,-0.10,"1,47,200",0.25,0.30,"11,200",510.00,"14,400",69.45,72.45,"14,400",-,46.90,-,-,-,1,
,117,5,9,30.41,0.30,-0.05,"3,200",0.25,0.35,"3,200",515.00,"6,400",74.30,77.75,"11,200",-,-,-,-,-,-,
,988,-55,320,30.20,0.20,-0.10,"2,76,800",0.20,0.25,"2,00,000",520.00,"6,400",79.20,82.15,"1,600",11.50,80.80,65.95,1,1,2,
,125,-,-,-,0.30,-,"3,200",0.15,0.35,"52,800",525.00,"6,400",84.10,87.70,"11,200",-,-,-,-,-,-,
,311,3,23,33.31,0.20,-,"1,92,000",0.15,0.20,"48,000",530.00,"11,200",88.75,92.85,"4,800",-,-,-,-,-,-,
,174,-2,21,31.84,0.10,-0.15,"1,600",0.15,0.20,"6,400",535.00,"11,200",93.70,97.40,"8,000",-,-,-,-,-,-,
