CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,375",208.30,214.70,"3,125",600.00,"1,250",0.10,3.15,"25,000",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,620.00,"5,000",0.25,0.40,"1,250",-,0.40,51.17,17,-10,212,
,9,-,-,-,138.45,-,"3,125",168.10,174.50,"2,500",640.00,625,0.45,0.55,625,-0.10,0.55,48.03,84,-24,192,
,1,-,-,-,114.85,-,"1,875",149.00,154.85,"2,500",660.00,625,0.65,0.90,"1,250",-0.20,0.75,44.79,180,4,293,
,13,-,1,73.49,143.80,3.10,625,129.55,135.75,"2,500",680.00,"1,875",1.20,1.30,"1,250",-0.20,1.20,42.70,199,-66,462,
,190,-,1,58.82,121.20,-0.95,625,111.05,114.60,"1,250",700.00,"3,125",1.85,2.00,"1,875",-0.05,1.95,40.82,359,-89,704,
,107,-,-,-,103.45,-,"2,500",91.60,97.10,"2,500",720.00,"8,125",3.00,3.10,"1,875",-,3.05,38.69,282,-2,582,
,304,-32,115,31.48,76.60,-8.75,625,74.70,77.20,"1,250",740.00,625,4.70,4.90,625,0.20,4.85,36.83,518,-101,789,
,530,5,78,30.43,59.15,-9.10,625,59.15,61.10,"1,250",760.00,"6,250",7.80,7.90,625,0.60,7.85,35.44,734,-22,853,
,593,-13,107,30.54,44.00,-8.35,"1,875",42.15,45.40,625,780.00,625,12.00,12.65,625,1.35,12.50,34.35,647,-21,557,
,"1,315",-3,635,30.73,31.30,-7.30,"6,250",31.00,31.90,625,800.00,625,19.50,19.80,"1,250",2.40,19.55,33.86,"1,141",-28,911,
,"1,100",171,"1,741",30.67,21.05,-5.90,625,21.00,21.45,625,820.00,625,27.00,29.90,"1,250",3.70,29.15,33.65,847,-64,477,
,"1,194",-24,"1,069",31.39,13.95,-4.10,"14,375",13.60,14.00,"1,250",840.00,"1,250",40.80,42.85,625,4.65,41.10,33.42,536,113,877,
,"1,398",126,"1,048",31.49,8.60,-3.00,625,8.50,8.60,625,860.00,"4,375",54.65,56.80,"1,250",6.25,56.85,35.74,63,-7,487,
,"1,069",61,471,32.00,5.25,-1.95,625,5.10,5.50,625,880.00,625,71.10,73.65,"1,250",7.00,72.25,35.08,11,-3,397,
,"1,892",123,728,32.88,3.25,-1.10,625,3.20,3.30,"1,875",900.00,"1,250",89.10,92.35,625,0.50,80.95,-,3,1,763,
,618,-11,254,33.18,1.85,-0.80,625,1.85,1.95,"1,250",920.00,"2,500",106.95,112.50,"4,375",12.50,111.00,44.55,20,-1,46,
,554,-11,73,33.93,1.10,-0.50,"3,125",1.00,1.10,"1,875",940.00,"2,500",125.75,131.50,625,-,127.20,-,-,-,134,
,330,-29,115,35.46,0.75,-0.40,"5,625",0.70,0.80,"1,250",960.00,"2,500",145.55,150.70,"1,875",-,142.40,-,-,-,197,
,259,-,32,37.75,0.60,-0.15,"2,500",0.45,0.55,625,980.00,625,165.50,168.85,"2,500",-3.50,153.00,-,1,1,147,
,664,-123,180,40.07,0.50,-0.20,"4,375",0.45,0.50,"1,875","1,000.00","2,500",185.20,190.45,625,-,184.45,-,-,-,243,
,66,-,-,-,0.55,-,"3,125",0.30,0.90,"15,000","1,020.00","1,875",201.40,210.75,"3,125",0.05,166.00,-,-,-,19,
,100,-,-,-,0.45,-,625,0.30,0.45,"1,875","1,040.00","2,500",225.05,228.35,"1,250",-,226.00,-,-,-,13,
,32,-,-,-,0.70,-,"10,625",0.15,0.90,"15,000","1,060.00","2,500",245.05,250.80,"1,875",-,202.50,-,-,-,24,
,86,-,7,50.91,0.40,-0.05,625,0.20,0.40,"1,250","1,080.00","4,375",263.65,268.70,"2,500",-,260.30,-,-,-,95,
,19,-,-,-,0.50,-,"5,000",0.15,3.55,625,"1,120.00",-,-,-,-,-,-,-,-,-,-,-
