CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,300",71.05,72.55,"4,950",180.00,"29,700",0.15,0.20,"26,400",0.05,0.20,66.28,7,5,107,
,-,-,-,-,-,-,"11,550",60.60,62.60,"11,550",190.00,"47,850",0.15,0.20,"6,600",-,0.20,56.90,6,5,342,
,45,1,5,-,50.75,-0.35,"1,650",50.75,52.55,"11,550",200.00,"2,88,750",0.20,0.30,"46,200",-0.05,0.25,49.59,252,-5,804,
,-,-,-,-,-,-,"3,300",46.20,47.90,"6,600",205.00,"1,650",0.20,0.50,"1,650",-,0.50,-,-,-,1,
,28,4,15,-,40.15,3.60,"8,250",40.90,42.50,"1,650",210.00,"46,200",0.30,0.40,"16,500",-0.10,0.35,43.08,166,-45,581,
,79,1,4,-,35.75,-0.50,"11,550",36.00,38.00,"6,600",215.00,"3,300",0.45,0.50,"11,550",-0.15,0.45,40.39,190,5,196,
,95,1,31,-,32.00,0.10,"3,300",31.70,32.95,"11,550",220.00,"1,650",0.65,0.70,"4,950",-0.20,0.65,38.60,399,-35,"1,346",
,158,-2,19,-,26.15,-0.35,"1,650",26.85,28.40,"6,600",225.00,"18,150",0.90,1.00,"18,150",-0.30,0.95,36.96,296,-48,616,
,712,-13,122,28.35,23.05,0.70,"1,650",23.05,23.45,"1,650",230.00,"9,900",1.40,1.50,"19,800",-0.45,1.40,35.47,762,-101,"1,932",
,455,-37,121,30.72,19.00,0.95,"1,650",18.45,19.35,"8,250",235.00,"8,250",2.05,2.10,"1,650",-0.55,2.10,34.35,685,90,753,
,"2,014",15,875,29.41,14.85,0.70,"1,650",14.75,15.00,"1,650",240.00,"6,600",3.05,3.15,"11,550",-0.70,3.10,33.32,"1,367",1,"2,738",
,502,-22,566,29.66,11.40,0.50,"1,650",11.25,11.45,"1,650",245.00,"4,950",4.50,4.65,"8,250",-0.85,4.60,32.90,"1,120",-32,712,
,"3,309",-183,"3,870",29.75,8.45,0.30,"3,300",8.40,8.45,"14,850",250.00,"8,250",6.60,6.75,"3,300",-1.00,6.60,32.64,"2,097",-163,"1,308",
,"1,566",-106,"2,256",30.26,6.15,0.20,"4,950",6.10,6.25,"11,550",255.00,"3,300",9.25,9.45,"1,650",-1.10,9.30,33.24,565,-40,410,
,"3,495",232,"3,571",31.12,4.45,0.10,"18,150",4.40,4.50,"18,150",260.00,"23,100",11.90,13.20,"1,650",-1.20,12.55,34.16,216,51,544,
,937,43,"1,066",31.58,3.10,0.05,"3,300",3.10,3.20,"13,200",265.00,"1,650",15.90,16.90,"1,650",-1.00,16.55,36.75,119,1,155,
,"3,052",416,"1,973",33.10,2.30,0.10,"13,200",2.20,2.35,"13,200",270.00,"24,750",19.75,21.05,"3,300",-0.75,20.70,38.81,68,18,443,
,999,43,675,34.11,1.65,-,"6,600",1.60,1.70,"13,200",275.00,"8,250",24.05,25.45,"1,650",-0.40,25.55,43.70,52,20,207,
,"2,732",65,"1,240",35.23,1.20,-,"4,950",1.15,1.20,"24,750",280.00,"1,650",28.80,29.95,"1,650",-1.00,29.30,41.25,52,9,809,
,624,37,250,36.06,0.85,-0.05,"4,950",0.80,0.90,"9,900",285.00,"11,550",33.25,34.65,"1,650",0.10,35.35,52.93,28,4,56,
,"1,028",-10,281,37.49,0.65,-0.05,"8,250",0.65,0.70,"44,550",290.00,"8,250",38.00,39.50,"1,650",0.40,40.05,55.81,10,-1,472,
,159,-22,138,38.85,0.50,-0.05,"52,800",0.45,0.55,"13,200",295.00,"6,600",42.65,44.35,"1,650",-0.50,43.95,52.14,14,6,25,
,"3,593",-7,705,41.28,0.45,-,"2,95,350",0.40,0.45,"94,050",300.00,"1,650",48.00,48.65,"6,600",0.40,50.05,64.82,29,-12,610,
,62,12,16,42.45,0.35,-0.05,"39,600",0.25,0.40,"1,00,650",305.00,"11,550",52.40,54.35,"1,650",-0.70,53.55,56.58,5,2,8,
,653,3,31,44.23,0.30,0.05,"18,150",0.25,0.30,"1,33,650",310.00,"8,250",57.50,58.70,"3,300",0.90,60.05,-,-,-,88,
,64,1,5,42.38,0.15,-,"49,500",0.15,0.40,"3,300",315.00,"11,550",62.25,64.30,"1,650",-0.80,63.40,62.53,9,1,10,
,530,7,24,46.80,0.20,-,"61,050",0.15,0.25,"1,23,750",320.00,"8,250",67.40,69.05,"1,650",-0.05,69.20,74.14,1,-1,217,
,4,-,-,-,0.45,-,"67,650",0.05,1.15,"11,550",325.00,-,-,-,-,-,-,-,-,-,-,-
,121,-5,5,53.55,0.25,0.10,"19,800",0.15,0.25,"23,100",330.00,"4,950",77.15,79.25,"6,600",0.45,79.85,-,-,-,14,
-,-,-,-,-,-,-,-,-,-,-,335.00,"8,250",82.10,84.45,"11,550",-,67.00,-,-,-,1,
,226,-,4,56.66,0.20,0.05,"95,700",0.10,0.20,"52,800",340.00,"11,550",87.05,89.05,"11,550",-1.70,87.20,58.51,4,-4,38,
,174,-,8,56.09,0.10,-0.05,"28,050",0.10,0.15,"37,950",350.00,"8,250",97.10,98.25,"4,950",1.60,99.00,93.16,7,4,99,
,14,-,1,60.24,0.10,-,"3,300",0.05,0.15,"1,650",360.00,"8,250",107.00,109.05,"11,550",-,108.45,-,-,-,2,
