CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"1,480.00",400,0.10,0.95,800,-,3.05,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"1,560.00",400,0.25,0.45,400,-,0.50,37.65,14,-4,28,
,1,-,-,-,316.00,-,"1,200",318.60,331.50,"7,200","1,600.00",800,0.40,0.45,"1,600",-,0.40,32.71,54,-26,445,
-,-,-,-,-,-,-,-,-,-,-,"1,620.00","12,000",0.30,0.65,400,-0.20,0.45,31.22,6,5,49,
,-,-,-,-,-,-,"1,200",277.40,294.25,"1,200","1,640.00",800,0.40,0.60,"2,000",-,0.50,29.68,13,-1,570,
-,-,-,-,-,-,-,-,-,-,-,"1,660.00",400,0.70,0.85,400,-0.10,0.80,29.60,17,-9,123,
,-,-,-,-,-,-,"1,200",237.95,254.90,"1,200","1,680.00","6,000",0.55,1.00,400,-0.10,0.90,28.03,127,-2,819,
,99,-,4,-,220.50,-5.50,400,221.85,232.00,"11,600","1,700.00","1,200",1.30,1.35,400,-0.15,1.35,27.72,245,-36,"1,447",
,-,-,-,-,-,-,"1,200",200.30,212.60,"3,600","1,720.00",400,1.70,1.85,400,-0.20,1.85,27.02,149,-,327,
,52,-,-,-,159.35,-,"3,600",185.20,196.55,"6,400","1,740.00","1,200",2.35,2.65,"1,200",-0.55,2.40,26.05,315,74,626,
,51,-,-,-,157.00,-,"1,600",165.00,177.60,"6,400","1,760.00",400,3.25,3.60,800,-0.60,3.35,25.48,316,-54,454,
,38,-,7,20.59,149.05,-13.95,800,149.30,155.80,800,"1,780.00",400,4.35,4.70,400,-0.75,4.65,24.92,330,-7,500,
,493,7,59,18.33,129.20,0.70,800,131.95,137.15,400,"1,800.00","1,200",6.05,6.60,400,-1.35,6.35,24.31,"1,312",-58,"2,395",
,282,1,18,20.28,112.50,-0.55,800,113.65,124.15,"16,000","1,820.00",400,8.05,12.00,800,-1.90,8.50,23.60,529,17,623,
,404,-18,126,21.52,97.00,5.85,800,96.60,99.70,400,"1,840.00","1,200",11.00,11.80,800,-2.30,11.30,22.88,"1,192",140,"1,007",
,287,-23,198,21.17,81.00,3.00,800,80.90,85.05,400,"1,860.00",400,14.00,15.35,800,-3.35,14.95,22.17,"1,290",-12,"1,258",
,557,62,473,20.61,65.85,1.85,800,61.75,68.00,400,"1,880.00",400,17.05,20.90,400,-4.00,20.05,21.73,"1,123",14,"1,001",
,"2,892",142,"3,290",20.87,53.45,2.00,800,53.40,54.55,800,"1,900.00",800,26.00,26.90,"1,200",-4.75,26.90,21.53,"3,499",178,"2,124",
,"3,451",186,"2,962",21.18,42.80,1.95,400,42.75,43.00,"1,600","1,920.00",800,33.35,36.30,"1,200",-5.80,34.95,21.16,"1,369",84,"1,205",
,"3,685",93,"3,385",20.95,32.80,1.65,800,33.00,33.75,800,"1,940.00",400,43.75,46.85,400,-6.00,46.00,21.56,431,-41,587,
,"1,405",-19,"1,837",21.58,25.95,1.50,400,25.05,26.20,800,"1,960.00",800,54.60,59.75,400,-5.80,59.25,22.34,148,20,253,
,900,96,"1,066",21.33,19.00,0.05,400,19.05,21.95,800,"1,980.00",800,67.25,73.25,400,-1.10,78.35,25.85,8,-2,120,
,"4,261",197,"2,376",22.09,14.95,0.70,400,14.55,15.00,"1,200","2,000.00",400,85.05,88.80,400,-6.60,88.65,23.42,41,10,342,
,661,32,667,21.73,10.35,-0.20,800,10.45,11.45,400,"2,020.00","1,600",98.80,107.25,"1,600",-,99.05,-,-,-,93,
,892,106,925,22.19,7.75,-,"4,400",7.75,8.20,400,"2,040.00","1,600",114.80,128.80,"3,600",-1.05,112.40,-,-,-,30,
,676,16,523,22.49,5.65,-0.20,800,5.55,6.00,400,"2,060.00",800,129.85,146.80,"2,800",-0.95,128.70,-,-,-,7,
,604,2,396,22.54,3.90,-0.15,800,3.95,4.05,"1,200","2,080.00","1,600",151.50,162.85,"2,800",-,169.10,-,-,-,10,
,"1,888",50,927,23.03,2.90,-0.10,"1,200",2.80,2.90,"7,600","2,100.00","8,400",170.80,179.10,"2,800",-,190.00,-,-,-,9,
,"1,140",147,470,22.95,1.90,-0.20,400,1.80,2.10,400,"2,120.00","2,800",185.90,202.50,"2,800",-,216.45,-,-,-,6,
,806,8,259,23.43,1.40,-0.05,800,1.30,1.45,800,"2,140.00","4,000",205.30,224.15,"1,200",-,234.85,-,-,-,2,
,"1,215",3,181,23.96,1.05,-,400,0.95,1.10,"2,000","2,160.00","4,000",224.85,243.70,"1,200",-,-,-,-,-,-,
,933,-39,207,25.82,0.75,-0.15,"2,000",0.75,0.85,"1,600","2,200.00","3,600",264.30,280.65,"1,200",-,289.00,-,-,-,3,
