CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,-,-,-,110.00,-,"7,000",133.65,138.85,"4,000",440.00,"1,000",0.30,0.65,"1,000",0.30,0.65,58.17,3,1,57,
,-,-,-,-,-,-,"7,000",114.70,119.20,"4,000",460.00,"1,000",0.55,0.75,"3,000",0.25,0.75,51.22,24,4,57,
,-,-,-,-,-,-,"7,000",104.70,110.05,"7,000",470.00,"5,000",0.20,2.10,"4,000",0.15,0.70,46.57,18,-14,38,
,-,-,-,-,-,-,"7,000",94.40,99.45,"4,000",480.00,"1,000",0.40,1.30,"2,000",-0.10,0.60,41.45,7,1,96,
,-,-,-,-,-,-,"3,000",84.55,91.55,"4,000",490.00,"2,000",1.00,2.90,"40,000",0.10,1.00,41.30,13,2,86,
,8,2,3,-,76.35,-3.15,"1,000",76.20,79.55,"4,000",500.00,"3,000",1.30,1.40,"4,000",0.15,1.40,39.91,408,27,365,
,5,-,1,40.30,70.80,9.10,"2,000",66.20,70.10,"1,000",510.00,"2,000",1.70,1.90,"3,000",0.15,1.85,38.02,186,-29,139,
,30,-,9,33.34,60.35,0.60,"2,000",57.55,61.30,"4,000",520.00,"1,000",2.45,2.55,"3,000",0.15,2.60,36.73,174,-2,171,
,25,1,11,25.42,49.70,-4.50,"1,000",48.45,51.60,"2,000",530.00,"2,000",3.45,3.60,"2,000",-,3.45,34.86,345,-30,511,
,82,-1,23,30.89,42.50,-1.10,"1,000",39.95,43.55,"4,000",540.00,"2,000",4.90,5.05,"1,000",-0.05,4.95,33.97,474,6,364,
,118,-1,78,28.01,33.55,0.75,"1,000",32.60,35.40,"1,000",550.00,"1,000",6.95,7.70,"2,000",-0.20,7.00,33.14,435,5,620,
,298,39,377,27.57,26.15,0.05,"1,000",25.85,26.90,"2,000",560.00,"2,000",9.25,10.60,"8,000",-0.35,9.80,32.52,436,-7,469,
,431,15,542,28.82,20.55,0.40,"1,000",20.05,21.30,"1,000",570.00,"2,000",12.30,14.65,"1,000",-0.75,13.40,31.95,582,-35,437,
,894,51,"1,236",28.95,15.40,0.20,"1,000",14.60,15.45,"1,000",580.00,"1,000",17.85,20.25,"1,000",-0.45,18.70,32.90,705,-12,652,
,623,16,720,28.93,11.15,-0.10,"1,000",11.15,11.25,"1,000",590.00,"2,000",23.30,25.95,"1,000",-0.85,24.30,32.80,202,-14,333,
,"1,833",-35,"1,054",29.27,8.00,-0.15,"1,000",7.50,8.05,"1,000",600.00,"2,000",29.80,31.75,"1,000",-0.90,31.30,33.85,124,-15,684,
,656,-10,488,29.56,5.60,-0.25,"1,000",5.50,5.85,"1,000",610.00,"1,000",36.75,40.05,"1,000",5.10,37.90,32.62,11,5,207,
,781,19,640,30.15,3.95,-0.15,"2,000",3.80,4.05,"2,000",620.00,"8,000",44.05,48.40,"1,000",-1.35,46.15,33.59,17,-13,114,
,376,-12,431,31.04,2.85,-0.05,"2,000",2.70,2.85,"2,000",630.00,"3,000",53.00,57.30,"1,000",-0.15,54.55,33.77,12,4,80,
,487,-4,89,31.47,1.95,-0.05,"1,000",1.65,2.00,"2,000",640.00,"5,000",62.10,66.45,"1,000",0.05,65.25,40.15,3,-1,35,
,673,7,140,32.05,1.35,-0.10,"3,000",1.35,1.40,"1,000",650.00,"2,000",72.60,75.10,"1,000",2.15,73.50,38.35,1,-,241,
,264,-11,55,33.09,1.00,-0.05,"1,000",0.90,1.00,"1,000",660.00,"5,000",81.10,85.50,"1,000",8.30,85.30,48.49,1,-,70,
,170,-5,13,32.81,0.60,-0.20,"1,000",0.60,0.70,"2,000",670.00,"4,000",91.10,96.35,"3,000",-,77.30,-,-,-,4,
,266,-2,11,33.85,0.45,-0.15,"3,000",0.45,0.55,"2,000",680.00,"4,000",101.00,105.35,"2,000",-,81.25,-,-,-,124,
,510,-4,40,35.68,0.25,-0.10,"2,000",0.25,0.35,"1,000",700.00,"1,000",121.40,124.25,"3,000",-,127.00,-,-,-,209,
