CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,680.00,"1,150",0.35,1.45,575,-0.05,0.65,42.55,12,1,38,
,-,-,-,-,-,-,"2,300",129.20,135.70,"1,725",700.00,"2,875",0.80,0.90,"1,725",0.25,0.85,39.03,43,-30,65,
,-,-,-,-,-,-,"2,300",110.25,119.00,"1,725",720.00,"1,150",0.45,5.35,"2,875",-,-,-,-,-,-,
,-,-,-,-,108.70,-,"2,300",90.95,96.70,"1,725",740.00,575,2.45,2.75,575,0.20,2.60,36.13,124,17,183,
,-,-,-,-,-,-,"2,875",83.25,87.15,"2,875",750.00,"1,150",3.35,3.65,"1,150",0.50,3.50,35.73,199,23,209,
,9,-,-,-,86.75,-,"2,300",73.95,78.90,"2,875",760.00,575,4.45,4.80,"1,150",0.45,4.60,35.22,93,14,67,
,7,-,4,39.42,71.90,-0.10,"2,300",65.65,71.05,"2,300",770.00,"17,250",4.95,7.20,"11,500",1.70,6.40,35.56,105,45,88,
,13,-,-,-,79.85,-,"2,300",57.50,61.80,575,780.00,"17,250",6.80,8.50,575,2.00,8.10,34.91,49,6,98,
,9,9,17,45.48,61.15,-66.40,"2,300",49.00,56.95,"4,600",790.00,"17,250",8.65,12.20,"11,500",1.80,10.30,34.48,65,2,97,
,206,5,25,29.35,43.50,-11.80,575,44.50,46.70,575,800.00,"5,750",12.50,13.50,575,2.40,13.20,34.41,248,6,717,
,11,-,-,-,40.00,-,"2,300",34.55,40.55,"1,725",810.00,"17,250",14.25,17.25,"1,150",3.80,16.20,33.76,57,-3,123,
,105,11,33,30.60,31.60,-11.40,575,30.10,35.10,"1,725",820.00,"17,250",18.20,21.80,575,3.90,20.35,33.93,124,5,237,
,359,19,138,30.54,26.15,-9.15,575,26.15,27.30,575,830.00,"4,025",24.60,25.20,575,4.75,25.00,33.98,415,-18,433,
,346,12,200,30.93,21.70,-7.85,575,20.55,23.70,575,840.00,575,29.60,32.10,575,5.80,30.10,33.85,134,-26,308,
,715,-25,425,31.22,17.80,-7.15,575,17.80,18.45,575,850.00,575,34.60,36.95,575,6.20,36.00,34.02,61,-14,614,
,940,-12,505,31.19,14.25,-5.80,"1,15,000",14.15,15.20,575,860.00,"1,725",40.20,44.25,575,0.30,35.10,-,-,-,216,
,331,18,106,31.23,11.30,-5.35,575,10.80,13.70,"11,500",870.00,"1,725",46.90,53.75,"1,725",-,41.00,-,-,-,25,
,262,38,192,31.58,9.05,-4.45,575,8.70,10.90,"11,500",880.00,"2,300",54.65,61.00,575,-0.60,48.35,-,-,-,57,
,132,15,55,32.09,7.30,-3.55,"17,250",5.95,9.00,"11,500",890.00,"2,300",61.65,69.10,575,-,55.00,-,-,-,18,
,"1,249",133,700,32.46,5.80,-3.00,"1,150",5.80,6.00,"1,725",900.00,"4,025",71.30,77.70,"4,600",0.60,63.50,-,-,-,310,
,82,-11,69,32.40,4.40,-2.70,575,4.30,4.70,"1,150",910.00,"2,300",79.85,85.90,"1,725",-,100.00,-,-,-,1,
,361,39,173,32.48,3.35,-2.00,575,3.30,3.75,575,920.00,"2,300",89.05,95.40,"1,725",-,90.10,-,-,-,10,
,130,-15,45,33.26,2.75,-1.75,575,2.70,3.00,575,930.00,"2,300",98.15,104.65,"2,300",-,100.30,-,-,-,7,
,72,5,36,34.49,2.40,-1.05,575,2.20,2.45,575,940.00,"2,300",107.55,114.10,"1,725",-,114.00,-,-,-,13,
,479,76,"1,486",34.69,1.85,-0.80,575,1.80,1.95,"1,725",950.00,"2,300",116.95,120.95,"2,300",-,99.30,-,-,-,103,
,130,23,"1,170",35.51,1.55,-0.65,"1,150",1.50,1.65,"1,150",960.00,"1,725",126.25,133.35,"1,725",-,126.80,-,-,-,6,
,34,-,29,36.56,1.35,-0.45,"1,150",1.15,1.50,575,970.00,-,-,-,-,-,-,-,-,-,-,-
,108,-,1,37.10,1.10,-0.45,"2,875",1.10,1.75,"1,150",980.00,"4,025",146.40,153.00,"1,725",-,149.90,-,-,-,2,
,54,-2,6,40.44,1.35,0.10,"6,325",0.85,2.50,"1,150",990.00,-,-,-,-,-,-,-,-,-,-,-
,190,2,234,40.15,1.00,-0.20,"2,875",0.90,1.00,"9,200","1,000.00","1,725",165.70,172.20,"2,300",-,148.00,-,-,-,26,
,103,44,170,42.54,0.85,-0.25,"1,150",0.75,0.85,"1,725","1,020.00",-,-,-,-,-,-,-,-,-,-,-
,19,1,11,45.02,0.75,-0.25,"1,150",0.20,0.75,"3,450","1,040.00",-,-,-,-,-,-,-,-,-,-,-
