CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,-,-,-,244.65,-,"3,150",199.75,331.45,"1,350",880.00,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,920.00,"1,350",0.55,3.50,450,-,12.95,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,980.00,450,1.60,4.00,450,-,1.50,-,-,-,2,
,-,-,-,-,-,-,"2,250",204.05,216.60,"4,500","1,000.00",450,3.80,4.45,450,1.60,4.10,52.89,"3,272",54,957,
,-,-,-,-,-,-,"1,800",183.60,201.60,"1,350","1,020.00","3,600",1.80,10.50,"1,350",-,-,-,-,-,-,
,13,-,-,-,157.00,-,"1,800",166.40,178.70,"1,800","1,040.00",450,5.55,6.45,450,3.15,6.40,49.41,"1,079",-25,114,
,-,-,-,-,-,-,"2,250",147.75,161.30,"1,350","1,060.00",450,6.20,10.35,"9,000",4.10,7.95,47.60,454,21,97,
,4,-,3,80.53,166.10,-24.50,"2,250",127.05,149.00,"4,500","1,080.00",450,5.10,15.80,"1,800",-0.15,5.00,-,-,-,11,
,71,-2,13,40.52,118.10,-68.40,"2,250",112.55,121.55,450,"1,100.00","2,250",12.10,12.30,"1,800",6.50,12.10,43.78,"1,012",97,396,
,47,2,10,41.84,103.35,-60.55,"2,250",96.00,108.15,"3,600","1,120.00","13,500",12.40,15.85,450,9.00,16.00,43.13,208,-2,45,
,90,-,10,60.01,106.75,-41.50,"3,150",80.45,92.85,"1,800","1,140.00",900,16.75,20.30,450,11.30,20.35,41.97,362,-17,92,
,136,-3,6,56.75,91.15,-32.55,450,67.95,76.45,450,"1,160.00",900,24.30,26.00,450,14.05,25.30,40.44,354,15,167,
,78,-2,24,38.35,59.45,-55.70,"3,150",53.70,66.15,"4,050","1,180.00",900,30.70,33.50,900,18.20,33.00,40.46,427,55,133,
,679,-46,350,38.77,49.00,-43.20,450,48.00,49.85,450,"1,200.00",450,40.50,40.90,450,21.95,40.90,39.46,"2,420",69,511,
,285,53,213,38.34,39.00,-39.20,450,35.00,40.25,450,"1,220.00",450,46.55,52.65,450,26.40,51.55,39.69,"2,059",100,236,
,270,171,602,38.84,31.45,-38.70,450,27.40,33.70,900,"1,240.00",900,58.00,68.20,"1,350",31.80,63.90,40.23,511,37,82,
,270,108,479,39.56,25.40,-29.10,450,24.30,26.00,450,"1,260.00","2,250",72.60,77.95,450,36.20,77.20,40.52,917,7,251,
,205,47,297,39.23,19.40,-26.30,450,18.00,22.20,450,"1,280.00",450,88.40,96.45,"1,350",41.75,93.10,42.29,150,-28,92,
,854,255,"1,034",39.73,15.25,-21.95,450,15.15,20.00,450,"1,300.00","2,700",103.05,109.85,450,46.15,109.10,43.36,164,-19,76,
,167,30,309,39.69,11.50,-17.70,450,10.60,15.90,"9,000","1,320.00",900,119.00,126.40,450,46.90,123.65,41.84,26,-13,31,
,128,49,265,40.32,9.00,-15.25,450,7.65,9.95,450,"1,340.00","1,350",135.00,147.50,"3,150",36.85,115.45,-,1,1,1,
,186,65,247,39.85,6.40,-12.50,450,7.00,9.75,"9,000","1,360.00","2,250",153.50,166.20,"3,150",47.35,137.30,-,8,3,7,
,52,1,83,41.58,5.50,-9.35,"13,500",4.30,7.00,"3,150","1,380.00","4,500",171.65,180.75,450,65.35,168.25,-,18,18,20,
,578,22,516,42.21,4.30,-7.05,900,4.20,4.55,450,"1,400.00","1,350",190.20,202.55,"3,150",-,116.80,-,-,-,3,
,31,-19,53,44.99,4.20,-4.85,450,3.40,3.80,450,"1,420.00","4,500",209.40,221.80,"3,150",-,140.55,-,-,-,3,
,29,-19,56,43.83,2.75,-4.40,900,2.10,2.95,450,"1,440.00","4,500",228.80,239.80,"3,150",-,167.25,-,-,-,3,
,18,-2,239,46.73,2.10,-2.05,900,1.50,2.15,450,"1,480.00","1,800",267.90,280.65,"3,150",-,320.00,-,-,-,1,
,166,-50,287,46.96,1.60,-1.80,900,1.45,1.65,"1,350","1,500.00",-,-,-,-,-,-,-,-,-,-,-
