CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,050","1,138.70","1,181.95",450,"4,800.00",150,1.05,8.40,"4,500",-,5.70,-,-,-,5,
-,-,-,-,-,-,-,-,-,-,-,"4,900.00",150,1.40,20.00,"1,500",-,30.85,-,-,-,12,
,-,-,-,-,-,-,450,933.40,984.65,450,"5,000.00",300,3.00,4.75,"3,000",-1.00,3.50,36.51,18,-,154,
,-,-,-,-,-,-,450,835.40,887.00,450,"5,100.00",300,4.55,6.05,"3,000",-1.05,4.80,34.74,20,-1,197,
,2,-,-,-,727.15,-,450,740.85,790.00,450,"5,200.00",150,6.60,9.00,"25,800",-3.10,6.60,32.95,343,175,295,
,2,-,-,-,535.35,-,"1,050",646.10,696.45,600,"5,300.00","4,500",10.05,11.50,750,-1.90,12.30,33.20,223,41,225,
,13,-,-,-,551.00,-,600,564.55,604.25,450,"5,400.00",150,18.00,24.00,150,-1.25,20.40,33.00,191,24,171,
,8,-1,3,-,479.30,100.55,150,481.50,501.45,150,"5,500.00",150,29.60,30.50,900,-0.15,30.50,32.17,727,-53,416,
,25,-,7,18.45,390.10,-104.05,150,391.20,426.00,150,"5,600.00",150,45.00,54.95,150,3.25,47.65,32.12,370,-22,279,
,69,-3,16,25.23,325.05,-67.80,150,325.30,352.50,150,"5,700.00",150,66.20,78.95,150,6.85,69.70,31.73,374,3,311,
,169,-4,74,28.03,265.80,-61.65,150,255.95,265.80,150,"5,800.00","4,500",85.75,104.90,150,11.35,98.15,31.21,652,-13,243,
,214,-7,275,27.59,201.75,-58.10,150,201.40,212.40,150,"5,900.00",150,121.15,139.15,150,21.90,139.30,31.55,"1,913",-49,190,
,528,172,961,28.14,153.00,-47.45,150,150.05,155.00,150,"6,000.00",150,182.00,188.00,150,30.15,187.75,31.60,653,6,194,
,429,52,807,28.06,110.50,-39.00,"3,750",97.10,110.50,"3,150","6,100.00",150,229.25,253.80,150,40.95,248.00,32.22,130,-7,53,
,230,-37,563,28.25,78.50,-31.15,150,70.00,83.70,150,"6,200.00",150,291.20,333.10,450,69.55,335.95,36.60,38,-,34,
,317,33,476,28.35,54.00,-22.80,150,54.00,58.40,150,"6,300.00",600,366.55,399.35,150,39.50,340.00,21.56,2,-,13,
,315,61,409,28.85,37.60,-15.90,"4,500",31.60,40.35,150,"6,400.00","1,500",448.15,486.85,150,-76.30,462.70,32.06,1,1,6,
,440,-10,861,29.00,24.85,-11.45,900,24.50,25.00,150,"6,500.00",750,535.85,569.45,150,111.90,564.25,36.96,2,-,28,
,231,42,340,29.33,16.45,-7.90,300,16.15,21.60,150,"6,600.00",600,626.60,678.15,600,-,-,-,-,-,-,
,447,-7,598,30.12,11.55,-4.75,150,9.85,12.60,150,"6,700.00",600,720.80,773.25,"1,050",-,-,-,-,-,-,
,264,102,328,29.97,6.90,-4.75,"4,500",5.60,8.00,150,"6,800.00",450,816.40,863.25,450,-,-,-,-,-,-,
,482,-7,51,32.80,4.40,-2.70,150,4.50,5.25,150,"7,000.00",600,"1,014.55","1,069.15",450,-,-,-,-,-,-,
,10,1,2,33.79,2.05,-3.65,300,2.00,4.90,"3,000","7,200.00",-,-,-,-,-,-,-,-,-,-,-
