CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"4,000.00",100,0.40,12.15,500,-6.55,6.00,67.79,3,1,3,
-,-,-,-,-,-,-,-,-,-,-,"4,200.00",200,2.70,4.80,100,-0.65,5.00,57.34,5,1,11,
-,-,-,-,-,-,-,-,-,-,-,"4,300.00","1,000",2.05,8.00,100,-13.25,7.70,57.02,8,2,8,
,2,-,-,-,840.00,-,300,"1,039.90","1,086.30",400,"4,500.00",100,6.00,7.70,"1,700",1.00,6.05,46.39,849,107,111,
,-,-,-,-,-,-,700,941.40,996.65,300,"4,600.00",200,2.30,17.30,100,-,15.00,-,-,-,2,
,1,-,-,-,280.80,-,700,846.30,897.65,400,"4,700.00",200,8.10,20.00,100,-,12.00,43.56,1,-,40,
-,-,-,-,-,-,-,-,-,-,-,"4,750.00",200,3.30,-,-,-,22.75,-,-,-,5,
,3,-,-,-,650.00,-,300,744.05,795.90,400,"4,800.00",400,9.00,17.80,200,-1.20,11.30,38.62,663,-97,237,
,-,-,-,-,-,-,300,682.10,754.40,400,"4,850.00",100,5.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,300,649.00,701.95,300,"4,900.00",100,12.65,19.95,"2,000",0.45,17.00,37.62,12,-,67,
,-,-,-,-,-,-,300,582.50,656.70,400,"4,950.00",500,5.25,-,-,-,-,-,-,-,-,
,6,-2,3,-,554.55,-89.55,300,563.90,605.10,400,"5,000.00",100,20.05,26.20,"2,000",-1.40,20.80,34.73,450,-43,390,
,-,-,-,-,-,-,300,489.40,572.20,300,"5,050.00",600,9.05,-,-,-,36.45,-,-,-,23,
,66,-4,6,23.06,466.60,-92.35,400,466.95,504.55,100,"5,100.00","3,000",23.40,36.15,"2,000",-0.35,29.70,33.25,59,-4,143,
,3,1,1,19.69,415.00,35.00,400,418.75,470.00,400,"5,150.00",100,15.80,42.90,"2,000",9.50,45.20,35.51,41,-9,26,
,144,-,2,47.12,462.45,-9.75,400,381.30,417.70,100,"5,200.00",100,38.00,51.90,"2,000",2.65,43.60,32.17,148,-34,310,
,5,-,-,-,278.60,-,700,312.75,416.30,300,"5,250.00",400,20.70,82.35,"1,200",-,48.25,-,-,-,34,
,209,-,-,-,384.70,-2.55,600,297.35,347.55,"1,300","5,300.00",200,55.00,67.00,100,3.65,60.00,30.40,192,5,364,
,127,-,2,26.68,268.55,-21.40,400,259.00,317.10,300,"5,350.00",100,64.55,87.85,100,2.55,69.65,29.37,37,-3,49,
,168,-5,15,29.85,249.15,-67.15,100,227.95,279.70,"4,200","5,400.00",100,74.70,95.00,100,7.10,86.65,29.53,249,-6,252,
,27,-,2,32.19,230.00,-50.50,100,216.80,229.65,100,"5,450.00","3,000",91.55,126.65,"2,000",15.95,109.65,30.39,16,2,36,
,409,-6,298,28.94,185.00,-57.95,400,165.35,199.00,100,"5,500.00",100,120.05,136.90,100,19.40,128.00,29.81,555,-46,176,
,72,11,105,29.14,160.00,-49.00,100,145.30,179.00,100,"5,550.00","3,000",129.80,172.20,"2,000",17.55,146.80,28.88,115,-12,50,
,366,56,956,28.86,135.00,-48.15,200,122.00,140.00,300,"5,600.00",100,170.00,192.30,"2,200",33.30,182.80,30.74,365,22,99,
,146,51,208,27.45,106.75,-51.05,"3,000",102.75,118.95,100,"5,650.00",100,188.30,215.40,100,47.85,225.00,33.34,11,1,21,
,451,32,590,28.67,94.60,-41.60,"3,000",82.95,97.20,100,"5,700.00",100,216.25,251.40,300,13.90,217.65,25.82,16,-10,22,
,49,-1,32,27.88,74.65,-44.00,"3,000",69.05,98.05,"2,000","5,750.00",300,235.45,292.20,300,-,230.35,-,-,-,1,
,209,-7,474,28.79,65.00,-34.30,200,61.00,70.50,100,"5,800.00","2,500",277.45,321.80,"2,200",-,262.90,-,-,-,3,
,37,-3,25,28.38,51.35,-32.25,"3,000",48.25,74.00,200,"5,850.00",400,317.25,368.05,300,-,298.30,-,-,-,3,
,83,-2,70,29.00,43.70,-26.40,"3,000",39.35,50.00,100,"5,900.00",300,351.45,408.00,300,-,-,-,-,-,-,
,15,-,-,-,65.60,-,100,15.75,67.90,300,"5,950.00",700,382.05,469.75,300,-,-,-,-,-,-,
,514,-103,737,29.89,30.70,-20.90,100,29.70,33.00,100,"6,000.00",300,437.15,494.85,300,-,550.00,-,-,-,2,
,-,-,-,-,-,-,400,2.45,50.20,400,"6,050.00",100,474.60,557.90,700,-,-,-,-,-,-,
,76,-23,63,30.96,22.05,-16.70,100,21.05,29.55,"2,000","6,100.00",300,536.45,586.30,300,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,000",3.10,57.40,300,"6,150.00",300,565.55,649.50,300,-,-,-,-,-,-,
,17,-2,16,31.56,15.00,-11.65,100,15.90,18.00,100,"6,200.00",300,627.50,680.55,300,-,-,-,-,-,-,
,282,-8,577,33.57,12.45,-8.40,100,11.65,13.45,100,"6,300.00",300,718.10,776.55,300,-,-,-,-,-,-,
,-,-,-,-,-,-,300,2.45,31.20,400,"6,400.00",400,813.70,876.05,500,-,-,-,-,-,-,
