CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,125",463.30,480.10,"1,700","1,720.00",425,0.60,1.90,850,-,1.00,46.11,6,-1,39,
,-,-,-,-,-,-,"2,975",423.65,440.80,"1,700","1,760.00",425,1.00,1.60,425,-0.20,1.20,43.39,51,-41,279,
,-,-,-,-,-,-,"1,275",385.65,401.70,"1,700","1,800.00",425,1.85,2.45,425,-0.70,1.95,42.62,105,54,211,
,-,-,-,-,-,-,"2,125",346.10,363.30,"1,700","1,840.00",425,3.10,9.95,"12,750",-1.00,3.05,41.73,16,-,152,
,-,-,-,-,-,-,"2,975",326.90,346.70,"1,700","1,860.00",850,1.60,8.10,"12,750",-7.75,4.05,41.84,5,4,4,
,-,-,-,-,-,-,"1,275",309.45,325.75,"1,700","1,880.00",425,5.00,5.45,425,-1.45,5.05,41.51,85,-6,76,
,6,-,-,-,158.45,-,"1,275",290.75,307.00,"1,700","1,900.00",850,5.50,8.00,"8,925",-0.90,6.50,41.55,387,72,441,
,7,-,-,-,214.85,-,"1,700",272.30,288.40,"1,700","1,920.00","12,750",6.45,9.70,"8,500",-1.45,7.70,40.85,13,-2,100,
,6,-,-,-,124.10,-,"2,975",254.05,270.10,"1,700","1,940.00","12,750",7.75,11.65,"8,500",-1.25,9.65,40.78,18,4,27,
,18,-,-,-,175.85,-,"1,700",235.95,251.50,"1,275","1,960.00",425,9.50,14.20,"8,500",-0.90,11.35,40.07,61,27,86,
,17,-,-,-,164.90,-,"1,700",219.60,234.50,"1,700","1,980.00","12,750",11.25,16.90,"8,500",-1.45,14.05,40.02,44,5,150,
,121,-2,3,32.97,205.75,-4.75,425,206.85,217.20,425,"2,000.00","2,550",17.00,19.00,850,-2.20,17.00,39.80,498,35,599,
,44,-3,4,40.40,198.00,3.25,425,184.50,200.30,"1,275","2,020.00","12,750",16.50,21.25,425,-2.40,19.85,39.14,60,7,173,
,55,-3,6,42.11,185.10,6.35,425,169.25,184.05,425,"2,040.00",425,21.05,27.75,425,-2.25,23.75,38.92,108,38,106,
,121,-,21,36.07,160.80,-2.00,425,153.10,167.70,425,"2,060.00",425,25.25,28.60,425,-3.05,27.55,38.27,305,23,169,
,84,-2,15,36.03,146.00,-2.60,425,143.05,156.30,"1,275","2,080.00",425,27.50,38.50,"8,500",-2.80,32.90,38.22,78,1,105,
,408,-36,190,36.20,132.30,-0.30,850,126.65,137.60,425,"2,100.00",425,38.85,44.75,425,-2.40,38.80,38.10,613,11,374,
