CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"2,300.00","7,175",0.35,0.70,525,-,0.70,-,-,-,239,
-,-,-,-,-,-,-,-,-,-,-,"2,400.00",350,0.50,0.75,"1,575",-0.30,0.55,45.86,46,-30,525,
,69,-,-,-,680.00,-,"1,575",648.70,675.55,"2,275","2,500.00",350,1.05,1.35,175,-0.65,1.10,43.27,52,-30,724,
-,-,-,-,-,-,-,-,-,-,-,"2,550.00",175,1.50,1.60,"1,925",-0.30,1.50,41.80,430,-200,183,
,61,-,-,-,443.00,-,700,550.65,573.35,700,"2,600.00","1,400",1.95,2.10,"1,750",-0.70,2.10,40.48,"1,106",18,757,
,6,-,-,-,399.70,-,700,502.15,525.85,700,"2,650.00",525,3.00,3.45,350,-1.00,3.25,39.86,545,-13,260,
,84,-,-,-,390.00,-,700,455.05,475.50,175,"2,700.00",175,5.10,5.50,"1,400",-1.05,5.15,39.57,"1,079",65,"1,366",
,40,-,-,-,355.65,-,525,406.60,430.20,700,"2,750.00",175,6.55,9.55,175,-1.30,7.25,38.50,752,51,387,
,332,-2,18,20.20,368.30,-28.10,175,366.55,381.20,"1,225","2,800.00",175,10.15,10.55,175,-1.45,10.50,37.78,"1,429",113,"1,567",
,203,2,11,29.36,324.35,-30.30,"1,750",320.20,334.90,700,"2,850.00",175,14.00,19.35,175,-1.85,14.10,36.43,569,-37,443,
,565,-2,73,26.83,276.00,-35.85,175,278.40,288.05,350,"2,900.00",175,19.05,20.95,175,-2.30,19.40,35.40,"1,779",-125,"1,296",
,245,-1,21,27.64,233.15,-43.80,700,227.35,245.05,175,"2,950.00",175,25.05,27.65,175,-1.85,27.15,34.73,993,94,689,
,"1,139",-2,307,31.15,199.85,-24.75,175,195.75,203.55,175,"3,000.00",175,35.35,37.50,175,-1.70,37.00,33.94,"4,857",-439,"2,053",
,362,4,194,32.91,168.55,-20.35,175,160.20,168.40,175,"3,050.00",700,49.25,49.95,175,-0.30,49.95,33.26,"1,677",46,"1,056",
,"1,451",203,"1,954",31.00,131.60,-21.90,175,130.00,136.35,175,"3,100.00",875,66.00,67.35,175,1.45,67.00,32.85,"5,367",410,"1,895",
,"1,149",263,"4,452",30.63,102.45,-20.95,175,101.55,103.55,175,"3,150.00",350,86.05,88.00,350,3.50,88.15,32.56,"4,886",-188,"1,146",
,"2,443",372,"7,472",30.37,77.95,-17.80,175,76.45,78.00,350,"3,200.00",175,110.55,113.00,175,6.05,112.95,32.15,"3,287",372,"1,651",
,"1,160",148,"2,500",29.97,57.25,-15.75,175,56.05,59.95,175,"3,250.00",175,136.65,153.00,875,13.95,145.75,33.13,446,-114,296,
,"2,860",151,"4,460",30.03,41.85,-12.75,175,42.00,42.95,175,"3,300.00",175,174.80,181.50,"1,050",15.70,179.90,33.39,194,17,768,
,"1,739",117,"1,539",30.35,30.50,-9.40,175,29.75,32.95,175,"3,350.00","1,225",207.40,221.25,175,7.25,209.85,30.59,4,-1,12,
,"1,653",330,"2,488",30.61,21.80,-7.50,175,21.40,22.00,350,"3,400.00",350,249.00,260.20,350,23.45,260.65,35.51,24,9,224,
,513,100,960,31.08,15.70,-5.75,350,15.65,18.90,175,"3,450.00","1,225",290.45,315.85,525,31.85,314.35,41.57,5,3,14,
,"2,220",147,"2,070",31.98,11.80,-4.10,"2,450",11.75,11.90,175,"3,500.00",700,336.45,350.25,175,31.00,355.70,41.52,7,-1,97,
,"1,159",39,"1,138",33.30,6.35,-2.10,700,6.10,6.40,175,"3,600.00",875,429.35,456.70,525,-,448.60,-,-,-,7,
,"2,442",20,"1,332",34.53,3.40,-1.05,175,3.30,3.45,175,"3,700.00",875,524.90,551.80,525,-,-,-,-,-,-,
