CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,220.00,"12,000",0.10,0.30,"2,000",-,0.35,-,-,-,22,
,3,-,-,-,42.25,-,"10,000",66.35,68.55,"8,000",230.00,"20,000",0.15,0.20,"34,000",-0.05,0.20,51.46,33,-8,139,
,-,-,-,-,-,-,"10,000",56.25,58.45,"8,000",240.00,"4,000",0.10,0.35,"4,000",-0.05,0.35,48.20,5,2,104,
-,-,-,-,-,-,-,-,-,-,-,245.00,"2,000",0.15,1.45,"8,000",-,1.25,-,-,-,2,
,5,-,-,-,35.10,-,"14,000",46.60,48.90,"2,000",250.00,"14,000",0.45,0.50,"4,000",-0.05,0.50,43.23,28,-11,172,
,4,-,-,-,38.00,-,"10,000",41.95,43.90,"2,000",255.00,"4,000",0.55,0.65,"4,000",-0.10,0.60,40.71,45,33,90,
,100,4,7,-,36.05,-3.90,"14,000",37.00,39.05,"4,000",260.00,"8,000",0.80,0.90,"4,000",-0.05,0.85,39.59,72,-8,365,
,80,15,35,-,31.10,-3.20,"2,000",32.55,34.25,"2,000",265.00,"2,000",1.10,1.20,"2,000",-0.10,1.15,38.09,21,-2,107,
,173,-1,26,29.52,29.10,-1.05,"2,000",28.05,30.00,"4,000",270.00,"8,000",1.55,1.65,"6,000",-,1.65,37.29,200,34,290,
,85,-1,21,28.77,24.55,-1.05,"2,000",23.65,25.50,"8,000",275.00,"4,000",2.20,2.30,"4,000",-,2.25,36.04,193,98,201,
,204,-13,34,30.47,20.65,-1.40,"14,000",19.80,21.30,"4,000",280.00,"12,000",3.15,3.25,"4,000",0.05,3.15,35.32,321,-57,241,
,82,-1,46,30.23,16.80,-0.50,"6,000",15.65,17.55,"4,000",285.00,"4,000",4.35,4.45,"4,000",0.20,4.40,34.91,187,-4,137,
,312,-45,327,30.46,13.45,-0.80,"2,000",13.15,13.55,"2,000",290.00,"2,000",5.80,6.05,"2,000",0.35,6.00,34.54,628,67,396,
,151,10,194,30.69,10.55,-0.60,"42,000",9.45,10.70,"2,000",295.00,"2,000",7.05,8.75,"4,000",0.55,8.05,34.43,275,-1,84,
,870,37,"1,228",30.72,8.05,-0.50,"2,000",7.55,8.10,"2,000",300.00,"2,000",10.30,10.75,"2,000",0.65,10.45,34.14,467,-2,255,
,176,24,275,30.77,6.00,-0.40,"2,000",5.90,6.20,"2,000",305.00,"8,000",12.60,14.20,"4,000",0.70,13.50,34.75,91,-12,78,
,369,33,729,31.16,4.45,-0.20,"2,000",4.35,4.50,"6,000",310.00,"12,000",15.85,18.05,"20,000",0.35,16.35,33.22,73,10,64,
,91,5,303,31.33,3.20,-0.05,"10,000",3.10,3.25,"2,000",315.00,"8,000",19.65,21.60,"4,000",-,17.80,-,-,-,9,
,705,120,679,31.47,2.25,-0.10,"10,000",2.10,2.25,"4,000",320.00,"2,000",23.80,25.65,"14,000",0.60,24.00,33.67,12,1,81,
,39,39,70,31.92,1.60,-0.90,"2,000",1.55,1.65,"2,000",325.00,"8,000",28.00,29.80,"4,000",-29.60,28.25,34.10,20,8,8,
,132,9,328,32.54,1.15,-,"10,000",1.10,1.20,"10,000",330.00,"8,000",32.30,34.35,"4,000",0.55,32.85,35.68,10,-1,7,
,84,-10,117,33.89,0.60,-,"6,000",0.55,0.65,"6,000",340.00,"18,000",41.85,44.05,"4,000",-,-,-,-,-,-,
