CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,152.50,"15,000",0.35,0.60,"18,000",-,0.35,-,-,-,22,
,14,-,10,-,46.05,6.70,"15,000",45.55,47.00,"3,000",160.00,"3,000",0.50,0.60,"21,000",-,0.55,64.34,34,22,599,
-,-,-,-,-,-,-,-,-,-,-,165.00,"15,000",0.35,0.95,"3,000",-,1.25,-,-,-,3,
,4,-,-,-,32.55,-,"15,000",35.90,37.55,"3,000",170.00,"15,000",0.80,1.00,"12,000",-0.05,0.90,57.71,81,3,270,
,2,1,1,-,31.15,4.95,"21,000",31.30,32.80,"15,000",175.00,"3,000",1.15,1.25,"3,000",0.15,1.30,56.19,38,29,117,
,6,-,-,-,28.15,-,"12,000",28.45,31.55,"12,000",177.50,"24,000",0.75,2.55,"15,000",0.05,1.50,-,-,-,24,
,143,1,2,45.17,27.80,-0.40,"3,000",27.15,28.05,"3,000",180.00,"15,000",1.65,1.80,"12,000",0.05,1.85,54.71,210,-2,475,
,5,-,-,-,23.95,-,"9,000",23.75,27.15,"12,000",182.50,"6,000",1.20,3.15,"12,000",-,2.10,-,-,-,33,
,15,-3,4,38.09,22.80,-0.55,"3,000",22.75,23.75,"3,000",185.00,"6,000",2.40,2.50,"6,000",-0.10,2.45,52.14,45,-1,68,
,9,2,15,43.05,21.20,-0.15,"15,000",20.55,21.60,"6,000",187.50,"3,000",2.85,3.00,"3,000",-0.15,2.90,51.48,128,-2,76,
,136,-46,88,42.21,19.10,-0.55,"3,000",18.85,19.85,"6,000",190.00,"3,000",3.45,3.65,"3,000",-,3.60,52.06,260,-10,325,
,28,4,5,42.94,17.30,-0.45,"15,000",16.70,18.35,"30,000",192.50,"3,000",4.05,4.20,"3,000",-0.20,4.10,50.77,83,-15,83,
,98,-1,20,44.14,15.70,-0.65,"3,000",15.25,16.10,"6,000",195.00,"6,000",4.80,4.90,"3,000",-0.15,4.85,50.57,268,54,195,
,39,10,90,44.57,14.10,-,"30,000",12.75,15.25,"30,000",197.50,"9,000",4.90,6.30,"6,000",-0.10,5.80,50.99,117,7,62,
,812,-29,277,44.36,12.50,-0.10,"6,000",11.90,12.65,"3,000",200.00,"30,000",6.50,6.65,"3,000",-0.30,6.55,49.76,453,7,811,
,41,-7,92,43.57,10.90,-0.40,"3,000",9.90,12.00,"3,000",202.50,"57,000",6.45,8.65,"3,000",-0.10,7.85,50.97,101,-7,44,
,365,-20,517,44.55,9.75,-0.30,"3,000",9.50,10.00,"6,000",205.00,"9,000",8.20,9.60,"9,000",-0.35,8.90,50.32,247,-13,89,
,91,-14,147,44.92,8.60,-0.30,"30,000",7.40,9.30,"3,000",207.50,"9,000",9.35,10.75,"6,000",-0.20,10.25,50.71,88,15,30,
,796,15,676,44.98,7.50,-0.35,"3,000",7.30,7.55,"6,000",210.00,"3,000",11.00,12.10,"6,000",-0.45,11.45,49.84,127,-15,107,
,83,-4,91,43.97,6.30,-0.55,"9,000",5.70,7.35,"9,000",212.50,"30,000",11.90,14.20,"30,000",-0.45,13.05,50.51,59,-4,17,
,129,-17,228,45.01,5.60,-0.40,"3,000",5.45,5.65,"3,000",215.00,"3,000",14.15,15.05,"3,000",-0.45,14.80,51.51,56,-17,11,
,51,-2,103,45.02,4.80,-0.40,"3,000",4.70,4.85,"3,000",217.50,"12,000",15.50,16.95,"30,000",-,16.25,-,-,-,6,
,708,-16,304,44.80,4.05,-0.50,"6,000",4.00,4.15,"9,000",220.00,"3,000",17.50,18.70,"3,000",0.90,19.35,57.99,17,9,18,
,26,7,80,44.01,3.30,-0.60,"3,000",3.35,3.55,"3,000",222.50,"12,000",19.25,20.65,"6,000",0.25,20.20,52.81,16,10,11,
,280,23,261,43.56,2.70,-0.60,"3,000",2.70,2.95,"3,000",225.00,"3,000",21.20,22.35,"6,000",0.35,22.75,56.89,7,-,7,
,164,1,29,43.60,2.25,-0.60,"3,000",2.35,2.50,"3,000",227.50,"6,000",23.15,24.80,"12,000",-0.60,23.60,50.21,10,5,9,
,123,28,136,44.71,2.00,-0.45,"9,000",2.00,2.10,"6,000",230.00,"9,000",25.10,26.65,"21,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"9,000",0.75,2.70,"30,000",232.50,"15,000",26.70,29.95,"51,000",-,-,-,-,-,-,
,142,18,93,45.06,1.40,-0.40,"6,000",1.30,1.50,"9,000",235.00,"12,000",29.40,31.05,"21,000",-,-,-,-,-,-,
