CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,540.00,"4,800",0.25,0.35,"2,400",-0.05,0.30,39.89,19,-10,50,
,-,-,-,-,-,-,"1,200",99.05,103.70,"4,800",560.00,"1,200",0.35,0.70,"2,400",-,0.60,-,-,-,95,
-,-,-,-,-,-,-,-,-,-,-,570.00,"1,200",0.30,0.80,"1,200",-,0.80,-,-,-,54,
,-,-,-,-,-,-,"1,200",79.35,83.70,"3,600",580.00,"1,200",0.40,0.80,"1,200",-,0.60,31.01,6,1,117,
-,-,-,-,-,-,-,-,-,-,-,590.00,"2,400",0.40,1.85,"1,200",-0.20,0.85,29.63,19,-4,83,
,4,-,-,-,71.85,-,"1,200",59.85,64.30,"3,600",600.00,"38,400",1.00,1.45,"4,800",-0.10,1.15,27.94,586,315,518,
,28,-,-,-,62.95,-,"1,200",50.65,54.65,"7,200",610.00,"2,400",1.85,2.15,"1,200",-0.05,1.90,27.57,177,-5,276,
,29,3,8,-,41.80,-11.35,"1,200",41.95,45.90,"4,800",620.00,"2,400",3.00,3.20,"2,400",0.25,3.05,27.25,192,-28,437,
,15,1,2,38.56,44.95,-0.45,"1,200",33.90,37.55,"2,400",630.00,"2,400",4.80,5.00,"2,400",0.65,4.95,27.47,239,42,239,
,33,-1,6,21.39,29.10,-5.10,"1,200",26.85,30.80,"3,600",640.00,"1,200",7.30,7.70,"1,200",1.00,7.50,27.52,290,18,217,
,100,15,112,21.19,21.90,-4.85,"1,200",21.30,22.85,"1,200",650.00,"1,200",9.75,11.90,"1,200",1.45,10.80,27.46,342,-6,320,
,159,22,405,22.18,16.50,-4.35,"1,200",15.95,16.70,"1,200",660.00,"28,800",13.50,18.05,"3,600",2.10,15.20,27.76,670,22,292,
,356,60,"1,191",22.73,12.00,-3.75,"2,400",11.40,11.95,"1,200",670.00,"3,600",19.40,22.15,"1,200",2.75,20.75,28.44,360,8,183,
,566,65,"1,518",23.21,8.50,-3.10,"1,200",8.10,8.55,"1,200",680.00,"7,200",25.45,28.30,"2,400",3.85,27.60,29.88,155,-5,116,
,282,9,716,23.88,6.00,-2.20,"1,200",5.15,6.05,"2,400",690.00,"1,200",32.80,37.55,"3,600",2.85,32.60,26.80,30,12,67,
,767,2,"1,341",24.00,3.95,-1.80,"1,200",3.85,4.10,"4,800",700.00,"1,200",41.00,45.90,"3,600",8.95,44.05,34.42,22,2,56,
,267,-8,256,24.49,2.65,-1.30,"1,200",2.50,2.75,"2,400",710.00,"4,800",49.15,54.35,"2,400",-1.50,40.60,-,3,-1,22,
,527,-18,365,24.96,1.75,-0.95,"10,800",1.70,1.90,"2,400",720.00,"1,200",58.50,63.35,"3,600",-,51.80,-,-,-,21,
,209,51,205,25.69,1.20,-0.70,"1,200",1.15,1.25,"1,200",730.00,"4,800",67.65,72.60,"4,800",-,61.20,-,-,-,11,
,376,46,148,26.87,0.90,-0.45,"19,200",0.90,0.95,"4,800",740.00,"4,800",77.95,82.30,"8,400",-,74.45,-,-,-,8,
,110,5,97,26.96,0.55,-0.40,"1,200",0.50,0.65,"1,200",750.00,"4,800",86.85,91.90,"3,600",-,78.55,-,-,-,9,
,772,363,801,26.68,0.30,-0.35,"21,600",0.30,0.40,"6,000",760.00,"4,800",96.55,101.55,"4,800",0.35,69.90,-,-,-,20,
,1,-,-,-,1.45,-,"1,200",0.15,0.90,"6,000",770.00,"4,800",106.65,112.15,"8,400",-,-,-,-,-,-,
,226,-53,124,30.99,0.30,-0.25,"18,000",0.15,0.30,"24,000",780.00,"4,800",116.30,122.00,"4,800",-,88.20,-,-,-,18,
,-,-,-,-,-,-,"1,200",0.15,1.20,"4,800",790.00,"4,800",126.50,132.40,"6,000",-,-,-,-,-,-,
,6,6,35,36.57,0.40,-4.35,"1,200",0.15,0.45,"4,800",800.00,"4,800",136.25,141.45,"3,600",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",0.10,1.10,"6,000",810.00,"4,800",146.45,152.05,"6,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,200",0.10,1.10,"6,000",820.00,"4,800",156.60,159.70,"1,200",-,151.60,-,-,-,1,
