CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"9,600.00","1,000",1.80,4.35,"1,900",-,4.40,-,-,-,87,
-,-,-,-,-,-,-,-,-,-,-,"9,800.00","1,200",2.00,6.35,50,-,5.35,-,-,-,9,
-,-,-,-,-,-,-,-,-,-,-,"9,900.00",900,1.55,6.50,50,-0.65,4.70,-,-,-,27,
-,-,-,-,-,-,-,-,-,-,-,"10,000.00",50,4.35,4.50,150,0.05,4.35,48.73,80,-,827,
-,-,-,-,-,-,-,-,-,-,-,"10,500.00",50,5.00,5.70,50,-1.30,5.00,41.69,52,2,994,
-,-,-,-,-,-,-,-,-,-,-,"10,700.00",500,4.10,11.80,50,1.50,5.75,39.34,1,-1,2,
,-,-,-,-,-,-,150,"2,281.20","2,381.10",200,"10,800.00",500,4.10,13.00,50,-,278.55,-,-,-,1,
,86,-1,1,-,"2,091.70",-25.50,100,"2,101.40","2,134.75",50,"11,000.00",50,7.40,8.00,150,-0.25,7.85,36.32,243,-24,"2,428",
-,-,-,-,-,-,-,-,-,-,-,"11,100.00",50,4.25,12.00,200,-1.50,8.00,34.83,2,-1,11,
,4,-,-,-,960.00,-,150,"1,886.45","1,982.60",200,"11,200.00",150,9.05,9.90,50,-0.20,9.85,34.36,135,-9,353,
,38,-,-,-,"1,843.70",-,350,"1,782.65","1,882.95",50,"11,300.00",50,8.00,10.00,600,-0.10,9.75,32.68,552,-181,843,
,13,-,-,-,"1,710.15",-,150,"1,687.00","1,784.50",50,"11,400.00",50,10.00,10.60,450,-1.55,10.10,31.25,"1,179",83,853,
,498,-,-,-,"1,620.00",-,100,"1,609.30","1,653.90",100,"11,500.00",50,12.35,13.15,50,-1.45,12.50,30.75,"1,211",-86,"3,559",
,47,-,-,-,855.85,-,400,"1,488.50","1,582.05",50,"11,600.00",300,9.00,19.25,50,-1.60,14.20,29.78,403,25,"1,148",
,64,-,1,-,"1,401.85",181.45,100,"1,418.25","1,487.65",250,"11,700.00",50,14.50,20.00,100,-2.10,15.25,28.47,875,92,"1,851",
,138,-,-,-,"1,357.15",-,"1,400","1,313.80","1,388.70",250,"11,800.00","2,000",11.95,21.00,50,-2.95,17.55,27.53,729,27,"1,476",
,172,-2,2,21.65,"1,243.50",19.30,400,"1,196.40","1,291.20",50,"11,900.00",300,12.55,22.00,50,-2.90,20.60,26.67,784,-88,799,
,"1,610",-25,73,-,"1,137.00",-23.80,800,"1,132.60","1,164.75",50,"12,000.00",100,22.00,23.90,200,-3.05,23.90,25.73,"3,446",95,"7,446",
,456,-3,3,-,"1,034.15",20.25,300,"1,006.80","1,078.10",50,"12,100.00",300,16.15,35.95,50,-4.15,27.40,24.69,554,-41,901,
,546,-4,9,15.90,942.95,-32.20,50,912.75,970.85,50,"12,200.00",100,23.00,34.35,300,-4.35,32.35,23.80,"1,309",-253,"1,897",
,857,-,38,16.95,850.00,-33.35,150,818.00,865.90,50,"12,300.00",50,33.35,45.00,50,-3.85,40.40,23.25,631,16,"1,889",
,"3,065",-1,108,18.55,764.70,-19.65,50,757.10,814.30,150,"12,400.00",50,45.05,52.00,100,-5.45,47.00,22.21,959,-39,"1,523",
,"1,018",-53,114,18.03,673.50,-26.65,150,634.40,688.00,100,"12,500.00",100,55.05,57.50,800,-6.55,56.80,21.40,"2,572",19,"2,947",
,695,10,65,17.49,584.75,-30.00,150,551.30,611.00,50,"12,600.00",100,69.20,73.00,100,-7.45,69.25,20.64,"1,458",-40,923,
,"1,454",15,149,18.62,514.00,-13.85,50,501.90,515.00,150,"12,700.00",50,85.50,88.90,50,-8.35,85.05,19.93,"1,337",-13,"1,085",
,"2,717",33,179,17.15,425.00,-29.20,50,418.50,438.95,50,"12,800.00",50,106.20,108.50,100,-7.85,106.25,19.39,"1,895",54,"2,173",
,"1,287",55,253,17.76,362.15,-21.40,150,335.85,366.80,50,"12,900.00",100,132.00,140.95,100,-7.05,135.00,19.11,"2,113",-106,"1,827",
,"6,643",-225,"4,321",17.56,297.25,-19.25,50,295.00,300.00,50,"13,000.00",150,166.50,168.00,50,-4.80,168.85,18.77,"7,326",69,"4,612",
,"4,787",27,"5,626",17.17,236.75,-18.65,100,235.00,237.90,50,"13,100.00",50,207.50,215.05,100,-3.65,209.00,18.43,"3,599",-10,"1,719",
,"11,987",-22,"5,177",17.03,186.55,-15.80,50,184.00,186.85,50,"13,200.00",50,251.05,269.75,600,-0.90,257.50,18.23,"1,969",-101,"3,448",
,"3,514",347,"4,322",17.11,146.35,-14.90,100,140.55,146.40,"1,100","13,300.00",50,296.35,325.15,50,1.95,317.00,18.37,208,26,559,
,"5,330",-58,"3,179",17.19,113.00,-13.60,100,107.50,114.95,100,"13,400.00","2,200",345.10,393.85,50,20.00,399.40,19.94,85,19,338,
,"6,298",154,"4,915",17.63,89.55,-11.00,450,88.00,90.00,50,"13,500.00",50,451.00,466.25,50,1.70,457.00,18.89,214,-,265,
,"1,570",151,"1,548",17.98,70.00,-7.60,50,68.15,71.95,50,"13,600.00",100,520.00,558.05,50,14.65,549.00,20.60,19,4,54,
,"1,452",511,"1,991",18.28,54.00,-6.40,100,53.55,55.00,100,"13,700.00",200,581.30,640.20,50,-21.00,644.00,22.44,1,-,46,
,"2,324",-16,"2,541",18.62,41.75,-5.00,50,41.65,42.00,150,"13,800.00",50,690.00,718.75,50,15.40,721.75,22.15,13,3,57,
,584,119,"1,932",18.90,31.85,-4.95,"1,000",31.85,33.00,50,"13,900.00",50,775.65,817.85,50,36.20,808.05,22.48,3,1,21,
,"4,068",283,"5,440",19.47,25.70,-3.20,600,25.00,26.00,950,"14,000.00",50,849.85,904.10,50,-25.00,930.00,27.29,2,-1,15,
,547,-24,"1,267",19.83,19.90,-2.65,100,18.00,22.05,100,"14,100.00",200,932.05,"1,034.30",150,-,-,-,-,-,-,
,945,71,922,20.20,15.45,-2.65,50,10.50,20.00,50,"14,200.00",200,"1,027.30","1,128.40",150,-,-,-,-,-,-,
,517,-7,333,20.71,12.45,-1.80,50,12.10,25.00,50,"14,300.00",200,"1,125.30","1,223.10",150,-,-,-,-,-,-,
,499,240,643,21.08,9.75,-1.65,50,6.05,15.00,100,"14,400.00",200,"1,221.90","1,322.25",150,-,-,-,-,-,-,
,"1,404",42,627,21.55,7.85,-1.10,100,7.85,8.00,50,"14,500.00",200,"1,319.75","1,416.60",150,-,-,-,-,-,-,
,655,16,508,22.05,6.40,-1.05,50,6.00,7.00,50,"14,600.00",150,"1,419.50","1,514.60",150,-,-,-,-,-,-,
