CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"4,500.00","4,000",1.40,9.00,100,-,7.00,-,-,-,23,
,1,-,-,-,"1,097.50",-,500,"1,411.30","1,462.00",500,"4,600.00",100,2.55,6.90,100,-1.55,5.95,56.80,1,-,74,
,-,-,-,-,-,-,700,"1,222.80","1,268.25",500,"4,800.00","3,000",6.85,10.00,"1,000",-0.20,7.00,50.42,23,2,132,
-,-,-,-,-,-,-,-,-,-,-,"4,900.00",100,9.00,16.00,100,-0.25,10.10,49.71,9,-,46,
,126,-,-,-,"1,140.00",-,400,"1,025.60","1,074.55",400,"5,000.00",100,12.00,13.60,100,-0.25,12.45,47.61,858,-94,830,
,2,-,-,-,674.05,-,700,929.80,978.50,400,"5,100.00",200,14.85,16.45,500,0.90,16.45,46.17,67,-33,103,
,8,-,-,-,537.75,-,400,834.95,883.95,400,"5,200.00",100,20.30,24.95,100,2.15,21.00,44.39,396,-5,431,
,48,-,-,-,528.35,-,200,740.60,792.90,400,"5,300.00",200,23.30,34.25,100,2.45,27.10,42.74,250,9,358,
,114,-4,5,68.74,779.30,56.10,400,646.70,695.60,400,"5,400.00",100,28.50,33.00,100,1.85,33.00,40.38,322,-8,531,
,306,-32,162,51.48,633.10,-36.30,100,582.30,599.60,200,"5,500.00",100,42.05,44.95,100,2.30,43.65,39.00,819,-5,825,
,277,-17,32,35.45,492.80,-84.15,500,475.85,519.20,100,"5,600.00",100,50.15,62.95,100,4.85,59.30,38.10,607,1,814,
,450,-20,65,36.40,420.00,-69.95,200,398.80,437.05,100,"5,700.00",100,70.05,81.95,100,7.35,78.65,37.02,924,-38,607,
,429,-34,174,34.56,341.00,-78.35,100,341.20,359.55,200,"5,800.00",200,92.20,110.95,100,10.00,105.00,36.30,"1,060",-2,616,
,303,-11,224,35.95,285.00,-63.45,100,269.75,304.80,300,"5,900.00",100,138.40,141.75,100,14.80,138.40,35.70,831,1,297,
,"1,577",166,"1,736",36.36,232.00,-53.55,100,229.90,231.00,200,"6,000.00",200,165.00,184.95,100,18.20,180.75,35.41,"2,072",130,"1,073",
,794,-225,"4,005",35.94,181.90,-48.90,200,176.00,182.80,200,"6,100.00",300,215.05,238.50,100,23.35,230.65,35.10,"1,950",85,406,
,"1,128",186,"4,457",35.46,138.95,-44.80,100,139.00,140.00,100,"6,200.00",100,279.30,291.95,100,31.40,290.50,35.19,537,68,229,
,535,27,"2,419",35.77,107.45,-36.40,100,102.35,114.60,100,"6,300.00",200,343.60,373.85,100,50.55,366.75,37.07,98,8,81,
,432,-32,"1,176",35.85,81.00,-30.90,100,78.15,80.00,100,"6,400.00",200,419.00,457.30,300,47.70,427.85,34.78,28,-,41,
,"1,004",200,"3,136",35.84,59.75,-23.25,100,58.20,62.65,100,"6,500.00",200,494.15,536.65,700,17.10,468.05,23.58,11,1,95,
,309,9,602,36.02,43.95,-19.75,100,41.05,51.10,100,"6,600.00",200,577.05,623.75,400,-,960.25,-,-,-,14,
,343,60,599,36.23,32.00,-15.00,100,26.65,32.00,100,"6,700.00",200,660.90,710.75,300,-,"1,005.00",-,-,-,3,
,630,297,915,36.50,23.20,-12.50,100,21.10,23.45,200,"6,800.00",200,753.60,802.30,300,-,-,-,-,-,-,
,667,26,929,38.34,14.05,-7.35,100,14.00,14.95,100,"7,000.00",500,948.70,982.10,100,70.00,970.00,42.18,7,3,27,
,33,21,73,40.59,9.25,-8.70,100,7.80,10.40,"2,000","7,200.00",500,"1,142.90","1,186.70",300,-,"1,600.00",-,-,-,1,
,32,-12,72,48.17,12.45,3.65,100,6.00,10.00,100,"7,400.00",-,-,-,-,-,-,-,-,-,-,-
