CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"5,600",208.70,217.00,"2,400",900.00,"1,600",0.25,1.35,800,-,0.55,-,-,-,4,
,-,-,-,-,-,-,"8,000",188.10,198.90,"4,000",920.00,"1,600",0.30,5.20,"2,400",-,-,-,-,-,-,
,-,-,-,-,-,-,"5,600",169.65,178.25,"3,200",940.00,"2,400",1.00,1.95,800,-0.70,1.05,37.37,41,14,60,
,6,-,-,-,147.80,-1.45,"3,200",150.05,159.00,"3,200",960.00,"1,600",2.05,2.50,"1,600",-,2.40,39.21,67,11,79,
,3,-,-,-,168.95,-,"1,600",131.00,139.90,"3,200",980.00,800,2.90,3.10,800,-0.20,3.05,36.75,48,15,84,
,3,-,-,-,97.20,-,"4,000",112.65,121.05,"4,000","1,000.00",800,4.25,4.45,800,-0.45,4.35,35.27,404,-25,189,
,4,-,-,-,147.90,-,"1,600",94.00,103.35,"3,200","1,020.00",800,5.40,6.75,800,-0.35,6.45,34.27,67,-12,58,
,20,-4,5,45.41,91.45,11.05,"1,600",78.25,86.65,"2,400","1,040.00",800,9.20,9.55,800,-0.60,9.55,33.49,350,-16,184,
,45,-,31,33.26,66.90,-11.85,800,64.90,69.25,800,"1,060.00",800,11.65,16.55,800,-0.60,13.90,32.83,238,48,139,
,73,-4,19,32.70,52.95,-36.05,"1,600",48.80,57.75,"4,000","1,080.00",800,17.05,23.00,800,-0.30,19.80,32.29,541,32,152,
,202,14,344,32.05,40.55,-11.10,800,41.20,42.80,800,"1,100.00",800,25.10,29.00,800,1.10,28.55,32.88,571,-5,463,
,183,66,494,33.01,31.65,-9.35,800,27.45,31.70,"1,600","1,120.00","1,600",33.70,40.90,"1,600",1.75,38.25,32.60,174,-16,103,
,210,-16,542,33.86,24.40,-7.45,800,22.05,24.90,800,"1,140.00",800,46.90,53.00,800,3.20,50.40,32.97,137,-2,174,
,324,-8,622,33.32,17.35,-6.70,800,17.00,17.70,800,"1,160.00","1,600",61.30,66.70,800,-4.10,55.60,23.78,25,-2,75,
,128,-28,322,33.60,12.55,-5.40,800,10.70,12.85,800,"1,180.00","1,600",74.70,82.65,800,-2.70,69.90,20.52,8,-2,8,
,516,58,582,34.13,9.10,-4.25,"1,600",8.00,9.70,"2,400","1,200.00","1,600",92.10,98.00,800,7.90,95.60,34.04,3,1,81,
,166,20,106,34.08,6.20,-3.55,800,5.80,6.60,800,"1,220.00","3,200",108.30,116.15,800,16.00,108.05,24.11,2,-2,8,
,201,-4,196,34.21,4.20,-2.80,800,4.10,4.45,800,"1,240.00","3,200",126.20,133.95,800,-24.95,119.90,-,12,-1,14,
,25,4,18,33.05,2.35,-1.95,800,2.80,3.05,800,"1,260.00","1,600",144.75,154.25,"2,400",-,-,-,-,-,-,
,282,-74,447,34.72,1.90,-1.30,"1,600",1.85,1.95,800,"1,280.00","3,200",163.60,171.80,"1,600",-8.10,172.70,46.42,1,1,15,
,1,1,1,41.56,3.05,-12.90,"2,400",0.30,2.95,800,"1,300.00","3,200",183.00,192.70,"3,200",-,-,-,-,-,-,
,1,-,-,-,5.90,-,"7,200",0.15,3.00,800,"1,320.00","2,400",202.65,212.85,"4,000",-,-,-,-,-,-,
