CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,375",528.55,551.30,"1,375","2,300.00",275,1.35,1.95,550,-0.75,1.90,42.80,38,7,173,
,-,-,-,-,-,-,"1,375",429.65,453.65,"1,100","2,400.00",275,2.15,2.95,275,-1.75,2.25,36.24,225,84,428,
-,-,-,-,-,-,-,-,-,-,-,"2,450.00",275,3.60,4.15,275,-0.70,3.85,35.73,24,-2,53,
,3,-,-,-,336.45,-,"1,375",334.55,356.90,"1,375","2,500.00","8,250",5.20,6.20,275,-2.80,6.30,35.12,249,3,159,
,40,-,15,49.10,319.65,40.80,"1,100",290.20,310.55,"1,100","2,550.00",275,8.20,13.25,275,-3.15,9.70,34.24,149,8,107,
,5,-,-,-,256.90,-,"4,125",246.15,266.15,550,"2,600.00",275,13.00,15.25,275,-3.25,15.35,33.86,136,20,141,
,12,-,-,-,230.35,-,"1,100",202.70,224.40,550,"2,650.00",275,19.75,28.55,275,-3.55,22.80,33.13,113,-31,112,
,33,-,7,33.99,176.30,-6.70,275,173.00,183.60,275,"2,700.00",275,29.50,37.25,275,-3.05,33.05,32.40,138,4,396,
,61,2,31,33.40,141.05,-16.30,275,128.50,148.35,275,"2,750.00",275,45.05,57.65,550,0.60,49.75,32.92,109,-1,128,
,217,-3,370,31.60,106.50,-11.35,275,106.15,116.70,825,"2,800.00",275,62.20,69.00,275,1.70,67.55,32.15,470,18,286,
,274,-4,578,32.32,82.90,-5.60,275,75.55,82.95,275,"2,850.00",275,81.80,97.55,550,-0.90,87.40,30.54,278,-7,185,
,685,167,"1,824",31.81,60.50,-6.80,"2,200",60.00,64.20,275,"2,900.00",275,113.15,126.05,"1,375",4.20,119.35,31.74,198,5,242,
,208,27,402,31.52,43.05,-6.35,275,42.80,44.85,275,"2,950.00",275,143.10,162.15,825,20.85,155.70,33.12,19,-2,70,
,857,37,977,32.24,31.75,-4.00,550,31.55,31.95,275,"3,000.00",275,179.20,198.95,825,10.15,188.00,31.22,17,4,156,
,149,-,147,32.37,22.15,-3.35,275,21.00,27.95,275,"3,050.00",275,220.90,239.90,275,-,232.75,-,-,-,17,
,489,-36,425,35.77,20.35,2.00,275,15.45,20.30,275,"3,100.00","1,375",261.95,285.55,"1,650",-,247.00,-,-,-,69,
,150,11,105,33.06,10.65,-2.00,275,10.00,10.95,275,"3,150.00",825,306.85,324.30,275,4.65,316.95,31.98,1,-,12,
,491,36,402,33.77,7.60,-1.30,275,7.60,10.10,550,"3,200.00","1,100",353.45,374.95,"1,100",-,380.90,-,-,-,31,
,71,-9,99,34.57,5.50,-0.50,275,4.20,7.25,"5,500","3,250.00",825,401.00,424.50,825,-,392.70,-,-,-,4,
,411,-6,241,35.11,3.85,-0.30,275,3.90,4.00,275,"3,300.00","1,375",449.55,471.05,"1,925",-,362.00,-,-,-,4,
,389,-95,435,37.20,2.25,0.30,275,2.25,2.40,275,"3,400.00","1,375",547.50,569.10,"1,925",-,430.00,-,-,-,1,
,35,-,-,-,2.00,-,275,0.95,5.00,275,"3,450.00",-,-,-,-,-,-,-,-,-,-,-
,30,-,-,-,1.50,-,275,0.85,3.00,275,"3,500.00",-,-,-,-,-,-,-,-,-,-,-
