CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,23,-,-,-,38.55,-,"26,250",35.70,37.50,"11,250",160.00,"56,250",0.30,0.40,"3,750",-0.05,0.35,51.48,19,2,226,
,18,-,1,51.49,34.15,0.25,"3,750",31.10,32.80,"15,000",165.00,"11,250",0.50,0.65,"30,000",-0.10,0.60,50.69,47,6,131,
,27,1,5,-,27.25,-1.90,"30,000",26.40,27.95,"3,750",170.00,"7,500",0.90,1.00,"7,500",-0.10,0.95,49.39,94,20,267,
,29,-4,8,-,22.20,-1.80,"7,500",22.35,23.50,"3,750",175.00,"11,250",1.45,1.55,"11,250",0.05,1.50,48.47,124,14,143,
,50,-33,99,25.50,18.85,-1.75,"11,250",17.40,19.40,"3,750",180.00,"22,500",2.30,2.40,"3,750",-0.10,2.35,48.06,282,29,297,
,41,-8,65,31.50,14.95,-1.65,"3,750",14.40,15.60,"3,750",185.00,"3,750",3.45,3.60,"7,500",0.10,3.65,48.49,261,22,172,
,583,-21,198,35.35,11.75,-1.30,"3,750",10.85,12.05,"3,750",190.00,"3,750",4.50,5.15,"3,750",0.10,5.20,47.96,529,41,598,
,499,31,434,36.61,8.85,-1.20,"3,750",8.35,9.10,"3,750",195.00,"3,750",7.25,7.70,"7,500",0.20,7.25,47.92,525,-24,381,
,955,48,"1,208",37.06,6.40,-1.20,"3,750",6.25,6.55,"7,500",200.00,"3,750",9.35,10.30,"3,750",0.30,9.80,48.21,334,-14,547,
,439,42,557,38.90,4.75,-0.75,"3,750",4.65,4.75,"3,750",205.00,"30,000",12.30,13.50,"3,750",0.50,12.95,49.45,95,-4,163,
,484,-44,648,39.01,3.25,-0.65,"3,750",3.25,3.30,"7,500",210.00,"18,750",15.90,17.10,"3,750",0.95,16.65,51.73,51,1,227,
,275,34,252,39.43,2.20,-0.50,"3,750",2.20,2.30,"7,500",215.00,"3,750",20.05,21.05,"7,500",1.30,20.55,53.52,9,5,123,
,925,54,432,40.65,1.55,-0.35,"18,750",1.50,1.55,"7,500",220.00,"15,000",24.10,26.15,"18,750",1.30,24.80,56.10,15,-,306,
,377,4,317,39.70,0.90,-0.35,"7,500",0.90,1.00,"7,500",225.00,"15,000",28.45,30.10,"7,500",1.65,30.00,64.31,1,-,25,
,305,-16,139,41.30,0.65,-0.20,"18,750",0.60,0.70,"18,750",230.00,"3,750",33.25,34.70,"7,500",1.55,34.15,64.49,10,-1,180,
,90,36,54,43.31,0.50,-0.10,"7,500",0.45,0.60,"3,750",235.00,"15,000",37.95,39.70,"11,250",2.40,39.65,74.34,5,-2,16,
,195,12,25,44.34,0.35,-0.10,"37,500",0.30,0.40,"26,250",240.00,"15,000",42.80,44.25,"3,750",2.55,42.50,60.60,1,-1,50,
,141,3,16,47.31,0.20,-,"2,62,500",0.15,0.20,"7,500",250.00,"3,750",53.00,54.30,"15,000",-,56.60,-,-,-,28,
,16,-,-,-,0.25,-,"3,750",0.10,0.25,"37,500",255.00,-,-,-,-,-,-,-,-,-,-,-
,44,-,1,48.96,0.10,-,"2,77,500",0.05,0.15,"37,500",260.00,-,-,-,-,-,-,-,-,-,-,-
