CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"6,000.00",750,3.00,13.95,75,-2.95,3.05,53.77,11,-5,69,
,-,-,-,-,-,-,525,"1,632.45","1,693.10",300,"6,400.00",300,4.05,8.65,"3,000",-1.00,4.05,45.06,149,-3,274,
,-,-,-,-,-,-,225,"1,428.10","1,498.05",225,"6,600.00",150,6.15,7.15,525,-4.60,6.15,42.44,104,-32,310,
,1,-,-,-,646.00,-,300,"1,332.05","1,408.75",225,"6,700.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,525,"1,233.65","1,305.75",300,"6,800.00",450,5.50,19.00,900,-3.30,14.05,42.92,14,-1,29,
,6,-,-,-,847.95,-,75,"1,148.40","1,203.80",300,"6,900.00",75,14.90,20.15,"1,500",-6.15,16.30,41.18,163,-16,121,
,65,-,-,-,986.05,-2.65,300,"1,047.90","1,112.00",300,"7,000.00",600,16.00,21.00,150,-13.30,16.35,38.19,"1,652",-32,677,
,16,-,-,-,690.05,-,300,952.85,"1,014.55",300,"7,100.00","2,250",19.05,29.45,"1,500",-13.55,24.50,38.58,651,-49,146,
,59,-1,3,44.46,946.75,135.60,150,870.90,921.00,300,"7,200.00",75,25.00,32.40,75,-18.10,30.85,37.53,725,-1,521,
,159,-,1,45.70,869.30,143.25,300,766.75,829.70,225,"7,300.00","2,250",32.35,41.00,75,-23.10,40.50,36.95,655,-82,210,
,131,-,-,-,611.25,-,525,674.40,738.65,225,"7,400.00","2,250",41.55,50.00,150,-31.30,49.55,35.64,"1,324",-105,217,
,224,-6,43,22.50,607.75,45.95,225,588.30,641.10,75,"7,500.00",75,61.20,63.80,150,-36.15,65.00,35.22,"3,420",79,832,
,185,2,25,28.50,544.65,50.40,300,518.10,572.55,75,"7,600.00","2,250",68.55,96.05,"1,500",-47.80,81.45,34.31,"1,556",-33,291,
,225,-5,27,30.42,477.65,56.00,225,437.45,499.15,75,"7,700.00",75,99.55,118.00,75,-56.45,103.00,33.64,"1,612",46,407,
,395,-111,804,28.63,395.00,32.95,75,371.00,399.20,75,"7,800.00","2,250",112.00,137.00,150,-66.15,131.25,33.29,"2,565",186,570,
,191,-304,"1,303",28.59,329.00,22.40,75,315.00,360.00,75,"7,900.00",75,146.00,180.80,75,-87.15,153.10,31.30,"2,536",144,378,
,768,-512,"6,739",28.08,266.35,10.95,75,264.00,275.00,225,"8,000.00",75,203.00,206.30,75,-83.90,206.75,32.89,"4,422",191,397,
,"1,043",687,"11,694",28.79,220.00,10.15,150,212.55,225.00,150,"8,100.00",75,239.95,259.80,75,-86.65,256.00,33.00,"3,052",225,278,
,"1,078",613,"15,581",28.73,175.00,2.00,150,172.05,177.45,150,"8,200.00",75,297.10,314.70,75,-95.30,308.80,32.77,"1,372",160,198,
,545,289,"7,657",28.70,137.05,-1.65,375,137.00,140.10,75,"8,300.00",375,345.80,380.35,75,-119.75,358.30,31.27,58,7,52,
,433,-31,"5,262",28.96,107.45,-1.95,300,106.55,108.80,75,"8,400.00",225,422.15,449.95,150,-100.70,441.00,33.53,2,-,67,
,"1,631",111,"10,085",29.15,82.95,-4.30,900,82.00,82.95,75,"8,500.00",75,492.80,522.60,75,-90.75,520.00,34.71,6,5,141,
,249,32,"2,453",29.65,65.05,-3.90,225,61.35,65.55,75,"8,600.00",300,567.75,632.35,225,-,-,-,-,-,-,
,260,78,"2,543",29.37,47.05,-5.60,150,47.10,53.50,150,"8,700.00",750,639.85,713.80,225,-,-,-,-,-,-,
,336,30,"2,065",29.78,36.00,-5.60,150,34.35,41.00,375,"8,800.00",75,727.35,800.55,225,-,864.45,-,-,-,6,
,139,51,"1,387",29.85,26.25,-6.00,75,25.00,34.40,75,"8,900.00",-,-,-,-,-,-,-,-,-,-,-
,"1,329",266,"6,053",30.50,20.55,-4.85,"1,875",20.50,21.10,450,"9,000.00",750,910.55,970.30,75,-658.25,881.75,-,4,4,7,
,348,27,"1,341",31.05,11.25,-3.60,300,10.80,11.30,75,"9,200.00",300,"1,110.00","1,175.65",525,-,"1,498.60",-,-,-,12,
,406,36,"1,563",31.80,9.00,-3.25,75,8.80,9.00,75,"9,300.00",-,-,-,-,-,-,-,-,-,-,-
,1,1,1,35.59,12.00,-260.55,75,5.25,14.85,"3,000","9,400.00",300,"1,306.90","1,375.90",225,-,-,-,-,-,-,
