CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"2,700.00","7,175",0.15,-,-,-,3.00,-,-,-,2,
-,-,-,-,-,-,-,-,-,-,-,"2,800.00","3,500",0.30,15.00,175,-,8.00,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"2,850.00","7,175",0.15,16.95,"1,225",-,5.80,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"2,900.00","7,175",0.30,15.00,175,-,2.90,-,-,-,5,
-,-,-,-,-,-,-,-,-,-,-,"2,950.00","7,000",0.35,16.95,"1,225",-,12.35,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"3,000.00",525,1.20,4.50,525,-,1.90,-,-,-,36,
-,-,-,-,-,-,-,-,-,-,-,"3,050.00",350,0.45,18.85,"1,225",-,18.90,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,"3,100.00","7,175",1.10,18.00,175,-,3.00,-,-,-,7,
-,-,-,-,-,-,-,-,-,-,-,"3,150.00","4,375",1.65,18.80,"4,200",-,3.05,-,-,-,85,
-,-,-,-,-,-,-,-,-,-,-,"3,200.00","3,500",2.20,3.80,175,-0.20,2.50,55.49,31,7,155,
,6,-,-,-,915.00,-,"1,225",992.35,"1,032.75",700,"3,250.00",175,1.30,10.65,"7,000",-,7.55,-,-,-,36,
,1,-,-,-,624.90,-,875,941.60,977.40,525,"3,300.00",700,2.60,4.50,175,-1.65,3.20,52.13,10,-4,87,
,5,-,-,-,366.00,-,"1,225",893.20,939.85,700,"3,350.00",175,2.40,17.95,"7,000",-,10.90,-,-,-,4,
,4,-,-,-,856.00,-,875,842.45,878.55,525,"3,400.00",350,3.35,4.95,175,-2.15,3.30,47.11,187,31,252,
,4,-,-,-,423.20,-,"1,225",792.60,835.40,525,"3,450.00","1,400",2.15,13.05,175,-,13.05,-,-,-,43,
,29,-,-,-,747.80,-,525,746.40,776.00,175,"3,500.00",700,3.55,6.00,"1,050",-2.20,4.80,44.61,614,28,493,
,5,-,-,-,351.85,-,875,693.50,734.75,700,"3,550.00",-,-,-,-,-,-,-,-,-,-,-
,50,-,-,-,659.10,-,350,647.55,684.00,700,"3,600.00",175,7.00,7.95,175,-1.95,7.05,42.17,71,-23,423,
,78,-,-,-,550.00,-,700,599.75,645.40,525,"3,650.00",350,5.10,18.15,"7,000",-137.85,9.00,41.39,10,-,10,
,98,1,1,-,570.00,67.15,525,551.20,587.00,700,"3,700.00",525,6.15,14.20,"3,500",-1.30,11.30,40.49,68,9,133,
,10,-,-,-,265.70,-,700,496.15,545.90,525,"3,750.00",175,5.15,-,-,-,27.55,-,-,-,29,
,83,-1,1,32.12,485.00,19.75,525,457.40,494.30,700,"3,800.00",175,17.00,19.80,175,-1.90,17.45,38.58,82,-15,253,
,13,-,-,-,410.00,-,525,406.30,448.25,175,"3,850.00",175,11.20,24.60,175,-1.15,23.50,38.58,18,2,48,
,120,-,-,-,395.70,-,700,368.05,403.55,175,"3,900.00",175,24.00,30.90,525,-1.30,28.25,37.35,80,-15,219,
,24,-,-,-,305.80,-,175,328.35,368.55,700,"3,950.00",175,31.00,43.00,"3,500",-15.75,34.65,36.39,28,-2,38,
,216,-,-,-,311.00,-,"1,225",286.60,320.75,525,"4,000.00",175,41.30,44.90,175,-4.00,42.25,35.38,299,38,484,
,15,-,-,-,232.55,-,525,245.30,296.10,875,"4,050.00",175,45.95,67.15,"3,500",0.45,56.55,35.99,117,73,131,
,148,-2,9,23.91,210.00,-20.00,175,214.25,243.70,175,"4,100.00","5,250",57.80,73.00,175,-1.90,69.90,35.54,157,35,312,
,47,-7,9,25.93,180.80,-15.85,175,179.10,195.00,175,"4,150.00","5,250",70.65,99.85,175,-1.90,85.60,35.11,28,4,65,
,536,-,367,29.31,161.95,-3.85,175,157.65,161.95,175,"4,200.00",175,101.70,114.00,175,-5.10,101.75,34.15,245,-3,267,
,244,-32,84,28.90,132.50,-8.80,350,117.30,141.90,175,"4,250.00",175,119.25,140.00,175,-1.80,127.00,34.81,216,21,158,
,606,55,674,28.85,107.85,-5.35,175,95.45,110.95,175,"4,300.00",175,130.85,162.90,175,-1.60,148.40,33.82,39,6,157,
,82,-7,51,28.43,85.00,-3.90,"4,900",75.20,105.00,175,"4,350.00",175,148.30,203.65,175,-,272.65,-,-,-,14,
,397,-29,240,28.40,66.95,-10.15,175,63.05,70.75,175,"4,400.00",525,187.80,221.15,"1,225",-,227.00,-,-,-,28,
,94,-2,18,28.56,52.60,-9.80,175,49.30,67.45,"3,500","4,450.00",700,221.80,268.35,"1,225",-,250.00,-,-,-,4,
