CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"17,400",19.20,20.15,"40,600",75.00,"5,800",0.25,0.65,"5,800",-,0.70,-,-,-,-,
,-,-,-,-,-,-,"23,200",16.85,17.75,"17,400",77.50,"87,000",0.35,0.70,"5,800",-,-,-,-,-,-,
,2,-,-,-,16.20,-,"23,200",14.85,15.55,"40,600",80.00,"23,200",0.85,1.00,"29,000",-0.05,0.90,63.77,10,5,65,
,-,-,-,-,-,-,"23,200",12.70,13.70,"5,800",82.50,"63,800",1.15,1.80,"17,400",-,1.25,-,-,-,6,
,-,-,-,-,-,-,"23,200",10.85,12.60,"40,600",85.00,"5,800",1.80,3.05,"5,800",-,1.90,63.43,36,3,36,
,-,-,-,-,-,-,"23,200",9.15,10.70,"17,400",87.50,"5,800",2.50,3.50,"5,800",0.05,2.65,63.65,18,-1,3,
,26,-32,46,61.96,8.10,-0.80,"5,800",7.55,8.15,"17,400",90.00,"5,800",3.25,3.60,"11,600",0.15,3.65,64.82,72,-16,132,
,36,-,17,59.30,6.45,-0.80,"5,800",5.80,7.35,"46,400",92.50,"5,800",3.55,5.60,"17,400",-0.75,3.75,53.60,6,-,10,
,217,20,277,59.79,5.25,-0.75,"17,400",5.20,5.30,"5,800",95.00,"5,800",5.60,6.30,"40,600",0.25,5.85,63.29,57,3,99,
,98,23,192,59.36,4.15,-0.70,"5,800",4.15,4.55,"11,600",97.50,"17,400",6.75,8.05,"23,200",0.45,7.30,63.60,7,-1,9,
,310,17,273,59.83,3.30,-0.60,"23,200",3.25,3.35,"11,600",100.00,"5,800",8.60,9.30,"29,000",0.50,8.95,64.39,3,-2,43,
,68,-,37,59.65,2.55,-0.55,"5,800",2.10,3.00,"5,800",102.50,"23,200",9.70,11.55,"52,200",-1.20,11.00,68.30,1,-,6,
,202,3,108,60.27,2.00,-0.50,"17,400",1.95,2.05,"5,800",105.00,"17,400",12.25,12.90,"29,000",-,15.70,-,-,-,14,
,24,15,33,57.63,1.35,-0.35,"5,800",0.90,1.95,"5,800",107.50,"23,200",13.75,15.20,"5,800",-,15.20,-,-,-,1,
,435,48,285,59.54,1.10,-0.40,"17,400",1.10,1.15,"52,200",110.00,"17,400",16.15,17.00,"40,600",-,17.40,-,-,-,2,
,118,6,54,62.15,0.70,-0.20,"11,600",0.65,0.70,"75,400",115.00,"17,400",20.65,21.55,"46,400",-,22.00,-,-,-,-,
