CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"8,875",61.95,66.20,"5,325",170.00,"3,550",0.10,0.90,"1,775",-,-,-,-,-,-,
,-,-,-,-,-,-,"12,425",52.05,56.00,"5,325",180.00,"3,550",0.40,0.65,"3,550",0.25,0.65,70.07,5,1,35,
,-,-,-,-,-,-,"17,750",47.05,51.95,"5,325",185.00,"8,875",0.40,1.60,"3,550",-,-,-,-,-,-,
,-,-,-,-,-,-,"8,875",42.60,45.90,"5,325",190.00,"1,775",0.65,0.90,"1,775",-0.10,0.75,60.63,73,55,91,
,-,-,-,-,-,-,"8,875",37.90,41.50,"5,325",195.00,"3,550",0.90,1.15,"3,550",-,1.00,58.75,23,2,74,
,28,-,-,-,34.00,-,"8,875",33.25,36.00,"12,425",200.00,"1,775",1.25,1.50,"5,325",0.20,1.45,58.26,220,55,310,
,26,-,-,-,28.80,-,"1,775",28.55,32.20,"5,325",205.00,"5,325",0.65,2.05,"3,550",0.10,1.95,56.88,29,4,56,
,30,-,-,-,35.60,-,"1,775",24.80,27.80,"5,325",210.00,"1,775",2.40,2.80,"1,775",0.10,2.80,57.05,253,59,211,
,41,-9,24,-,22.85,-4.15,"1,775",20.80,23.35,"10,650",215.00,"1,775",3.55,3.80,"1,775",-,3.70,56.01,84,11,50,
,93,-5,128,-,18.80,-4.30,"10,650",16.15,19.60,"1,775",220.00,"3,550",4.90,5.20,"1,775",0.45,5.15,56.82,560,14,305,
,56,-3,14,-,13.95,-5.10,"1,775",12.85,16.80,"1,775",225.00,"1,775",5.55,7.85,"10,650",0.95,7.00,58.03,147,10,93,
,320,108,327,33.84,12.90,-3.30,"1,775",11.75,14.40,"15,975",230.00,"1,775",7.50,9.30,"1,775",0.95,8.80,57.45,791,164,393,
,174,61,292,34.64,10.00,-3.25,"1,775",9.60,11.95,"1,775",235.00,"1,775",10.55,12.70,"1,775",1.35,11.55,59.81,329,39,166,
,750,223,"1,223",37.55,8.10,-2.60,"1,775",7.55,8.40,"3,550",240.00,"12,425",12.85,15.75,"1,775",1.30,13.85,58.77,512,33,430,
,321,11,452,37.94,6.10,-2.50,"1,775",6.00,6.55,"1,775",245.00,"10,650",16.50,18.80,"1,775",3.65,19.10,69.48,97,-33,157,
,611,155,"1,154",40.19,4.90,-1.90,"1,775",4.80,5.00,"1,775",250.00,"1,775",20.35,22.75,"1,775",1.85,20.25,60.92,42,-13,204,
,185,46,149,40.67,3.65,-1.80,"1,775",3.65,3.90,"1,775",255.00,"1,775",23.45,26.55,"12,425",6.15,26.20,73.00,6,-1,47,
,548,86,719,42.42,2.90,-1.15,"3,550",2.80,3.00,"1,775",260.00,"5,325",27.80,30.65,"12,425",-,21.35,-,-,-,28,
,89,2,41,41.92,2.00,-1.10,"1,775",2.05,2.35,"1,775",265.00,"14,200",31.90,34.85,"7,100",-,29.35,-,-,-,23,
,180,33,290,44.04,1.65,-0.75,"1,775",1.50,1.80,"3,550",270.00,"3,550",36.70,39.20,"1,775",7.00,38.50,80.18,2,-,20,
,103,17,94,44.43,1.20,-0.65,"1,775",1.20,1.45,"1,775",275.00,"12,425",40.95,44.05,"7,100",-,35.75,-,-,-,52,
,276,75,352,46.36,1.00,-0.45,"5,325",0.95,1.15,"8,875",280.00,"5,325",45.35,48.75,"8,875",-,43.00,-,-,-,2,
,52,-3,12,46.33,0.70,-0.45,"1,775",0.50,0.90,"1,775",285.00,-,-,-,-,-,-,-,-,-,-,-
,105,6,13,49.08,0.65,-0.35,"1,775",0.50,0.80,"3,550",290.00,"5,325",54.80,58.40,"21,300",-,52.00,-,-,-,2,
,34,-,-,-,0.50,-,"1,775",0.25,1.35,"3,550",295.00,-,-,-,-,-,-,-,-,-,-,-
,249,10,38,53.94,0.55,-0.10,"3,550",0.50,0.55,"5,325",300.00,"1,775",64.75,67.90,"7,100",5.35,66.85,102.52,1,-,50,
,11,-,-,-,1.00,-,"23,075",0.05,1.40,"10,650",305.00,"12,425",69.10,74.20,"7,100",-,76.00,-,-,-,10,
,32,-1,1,48.97,0.15,-0.35,"3,550",0.20,0.45,"1,775",310.00,"12,425",74.15,78.40,"7,100",-,82.00,-,-,-,10,
,4,-,-,-,0.25,-,-,-,1.20,"3,550",320.00,"88,750",77.70,89.50,"8,875",-,77.00,-,-,-,4,
