CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,800,307.95,323.15,800,"1,920.00",200,0.75,2.45,200,-,0.75,-,-,-,211,
-,-,-,-,-,-,-,-,-,-,-,"1,940.00",200,1.25,2.80,200,-,2.00,-,-,-,3,
,-,-,-,-,-,-,200,270.55,290.35,800,"1,960.00",400,0.55,9.85,"10,000",-,-,-,-,-,-,
,2,-,-,-,230.00,-,200,230.95,243.15,600,"2,000.00","1,000",1.60,2.00,400,-0.20,1.90,27.76,"5,250",38,"1,154",
,-,-,-,-,-,-,200,211.10,224.65,600,"2,020.00",200,1.55,3.50,200,-,3.50,-,-,-,25,
,-,-,-,-,-,-,800,189.40,204.65,600,"2,040.00",400,3.00,3.20,800,-0.10,3.20,26.55,81,16,300,
,-,-,-,-,-,-,800,170.50,185.70,600,"2,060.00",400,3.90,4.30,200,-0.30,4.15,25.95,177,28,515,
,2,2,2,-,149.60,-73.55,800,152.05,167.00,800,"2,080.00","4,000",1.65,5.90,200,-0.35,5.35,25.34,369,8,410,
,130,1,8,-,142.60,-4.40,"1,200",135.70,147.20,200,"2,100.00","7,600",6.90,8.50,"2,000",-0.20,7.15,25.01,763,-313,"1,528",
,6,2,5,-,120.65,-30.00,200,117.45,133.45,600,"2,120.00",600,9.00,14.95,200,-0.50,9.35,24.58,283,-52,396,
,41,-1,2,-,110.50,-3.85,200,101.25,110.50,200,"2,140.00",600,12.00,15.20,200,-0.45,12.65,24.54,275,23,418,
,48,-,56,-,89.70,-9.65,200,84.90,101.60,200,"2,160.00",200,14.30,25.95,"1,200",-0.25,17.20,24.76,411,-6,410,
,137,3,73,-,75.30,-8.90,200,71.10,78.90,200,"2,180.00","10,000",14.70,26.00,400,-0.45,22.55,24.85,340,-15,251,
,393,39,368,11.43,63.20,-7.65,200,63.20,65.00,200,"2,200.00",400,28.50,30.90,200,-0.50,28.70,24.79,"1,149",-97,770,
,311,-36,662,13.46,51.40,-6.95,200,50.65,52.60,200,"2,220.00",200,36.00,44.00,200,-0.60,36.50,25.00,573,49,307,
,710,62,"1,596",14.97,41.75,-6.25,200,41.20,42.00,"1,000","2,240.00",200,46.15,48.50,200,0.55,46.90,25.88,768,-1,464,
,828,74,"1,491",15.66,32.65,-6.40,400,32.00,33.30,200,"2,260.00",800,51.25,67.20,200,0.90,57.95,26.49,343,26,426,
,658,48,861,16.51,25.75,-5.20,200,25.00,26.35,200,"2,280.00",200,65.80,80.15,600,2.15,70.75,27.40,172,7,423,
,"1,969",163,"2,275",17.04,19.75,-4.40,400,19.60,20.00,"3,600","2,300.00",800,81.05,92.95,600,3.40,85.30,28.68,328,70,"1,215",
,734,-78,747,17.84,15.55,-3.25,200,14.50,15.95,200,"2,320.00",800,91.95,107.90,400,9.55,106.00,32.58,34,-17,168,
,"1,403",-59,623,18.22,11.65,-2.90,200,11.25,11.65,200,"2,340.00",800,108.80,121.05,200,4.00,117.00,31.39,5,-,355,
,"1,203",-72,536,18.95,9.15,-2.45,200,7.40,9.20,"2,600","2,360.00",800,126.25,142.50,600,14.55,143.95,38.08,4,-1,181,
,937,-46,606,19.43,6.95,-1.80,800,6.00,9.00,200,"2,380.00","1,400",144.80,161.40,200,-0.95,147.20,31.99,1,-,64,
,"3,734",105,"1,310",20.04,5.40,-1.50,200,5.25,5.45,"1,200","2,400.00","1,400",163.75,179.85,600,7.20,171.00,36.89,2,1,458,
,737,-78,300,20.62,4.20,-1.20,400,3.80,4.30,400,"2,420.00","1,200",183.05,195.20,600,-,139.10,-,-,-,60,
,412,-24,182,20.93,3.10,-1.30,200,2.50,3.40,400,"2,440.00",800,200.20,214.30,600,-,210.00,-,-,-,52,
,527,-2,228,21.98,2.70,-0.90,200,2.65,2.80,400,"2,460.00",800,219.25,235.30,600,-,225.10,-,-,-,14,
,350,-18,195,22.47,2.10,-0.85,400,2.10,2.30,200,"2,480.00",800,238.75,254.80,600,-,129.00,-,-,-,8,
,717,4,100,23.57,1.90,-0.70,"2,200",1.95,2.10,400,"2,500.00","1,400",257.15,276.15,600,-3.55,260.00,41.95,2,-,25,
,554,-49,215,24.45,1.65,-0.60,200,1.60,1.85,200,"2,520.00",800,279.20,295.60,800,-,225.70,-,-,-,136,
,173,-3,3,26.01,1.70,-0.30,400,0.80,1.70,200,"2,540.00",800,296.60,307.40,200,-,303.80,-,-,-,5,
,518,-53,214,26.26,1.30,-0.35,200,1.25,1.35,200,"2,560.00",800,316.15,333.95,800,-,233.35,-,-,-,4,
,142,-4,4,26.91,1.10,-1.10,"1,200",0.70,2.90,200,"2,580.00",-,-,-,-,-,-,-,-,-,-,-
,448,4,60,26.95,0.80,-0.55,600,0.80,1.00,"4,200","2,600.00",800,357.40,374.45,600,-,260.10,-,-,-,5,
,285,-,-,-,1.55,-,600,0.75,1.80,200,"2,620.00",-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,200,0.65,4.90,"1,200","2,640.00",800,395.90,416.30,"1,400",-,-,-,-,-,-,
,234,-9,39,29.49,0.60,-0.30,600,0.55,0.90,200,"2,660.00",-,-,-,-,-,-,-,-,-,-,-
