CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,60.00,"12,800",0.15,0.25,"19,200",0.10,0.20,65.38,13,-,42,
,1,-,-,-,14.40,-,"76,800",12.45,13.10,"25,600",64.00,"6,400",0.15,0.35,"6,400",-,0.25,-,-,-,34,
,-,-,-,-,-,-,"64,000",11.50,12.15,"25,600",65.00,"12,800",0.30,0.40,"19,200",0.10,0.35,55.34,30,-1,169,
,-,-,-,-,-,-,"44,800",10.60,11.45,"19,200",66.00,"6,400",0.35,0.65,"25,600",-0.65,0.35,51.77,8,-,7,
,-,-,-,-,-,-,"1,08,800",9.65,10.25,"25,600",67.00,"19,200",0.40,0.50,"6,400",0.05,0.50,53.12,40,7,24,
,-,-,-,-,-,-,"44,800",8.85,9.45,"19,200",68.00,"12,800",0.50,0.65,"12,800",-0.40,0.60,52.13,14,4,19,
,-,-,-,-,-,-,"44,800",7.95,8.65,"64,000",69.00,"12,800",0.70,0.80,"6,400",0.15,0.80,53.10,88,63,72,
,49,2,83,-,7.10,-2.40,"76,800",7.10,7.70,"19,200",70.00,"1,08,800",0.80,0.90,"25,600",0.25,0.90,51.13,303,15,181,
,1,-,-,-,10.25,-,"44,800",6.35,6.90,"25,600",71.00,"6,400",1.05,1.10,"6,400",0.10,1.05,49.86,42,19,44,
,1,-,-,-,6.70,-,"1,40,800",5.55,6.20,"25,600",72.00,"6,400",1.25,1.40,"6,400",0.45,1.30,49.97,133,13,81,
,59,12,24,20.33,5.30,-1.55,"44,800",4.90,5.45,"12,800",73.00,"12,800",1.55,1.65,"12,800",0.50,1.60,50.26,90,-20,104,
,76,3,5,21.30,4.45,-1.60,"6,400",4.40,4.70,"6,400",74.00,"6,400",1.90,2.05,"6,400",0.65,1.90,49.90,64,-20,79,
,142,10,74,26.10,3.90,-1.70,"6,400",3.95,4.05,"6,400",75.00,"12,800",2.35,2.45,"12,800",0.80,2.40,51.90,477,-70,197,
,55,15,58,30.54,3.50,-1.40,"6,400",3.35,3.60,"6,400",76.00,"6,400",2.70,2.90,"6,400",0.90,2.80,51.75,66,-2,100,
,74,24,82,31.23,2.95,-1.15,"32,000",2.90,3.05,"6,400",77.00,"6,400",3.25,3.40,"6,400",1.05,3.35,53.09,69,8,93,
,174,40,160,33.65,2.60,-0.95,"12,800",2.50,2.60,"12,800",78.00,"12,800",3.85,4.00,"12,800",1.20,3.90,53.84,167,2,161,
,161,8,270,34.50,2.20,-0.80,"19,200",2.10,2.25,"25,600",79.00,"6,400",4.45,4.65,"6,400",1.70,4.85,59.43,69,5,89,
,994,468,"1,170",35.91,1.90,-0.65,"32,000",1.85,1.95,"44,800",80.00,"6,400",5.10,5.30,"12,800",1.50,5.20,56.45,203,3,192,
,123,3,171,35.91,1.55,-0.55,"12,800",1.50,1.70,"6,400",81.00,"25,600",5.70,6.25,"6,400",1.90,6.20,61.81,19,3,35,
,216,10,335,37.42,1.35,-0.45,"25,600",1.30,1.40,"38,400",82.00,"12,800",6.45,6.90,"6,400",2.25,6.95,63.41,50,-2,34,
,142,15,133,37.57,1.10,-0.40,"12,800",1.05,1.20,"19,200",83.00,"25,600",7.25,7.75,"44,800",0.15,5.90,37.99,7,3,10,
,76,4,45,38.78,0.95,-0.30,"6,400",0.85,1.00,"6,400",84.00,"25,600",8.05,8.60,"44,800",2.10,8.60,67.71,1,-,7,
,467,79,486,39.52,0.80,-0.25,"1,79,200",0.75,0.85,"89,600",85.00,"25,600",8.90,9.45,"44,800",-2.10,8.45,54.66,2,1,57,
,87,3,22,39.74,0.65,-0.30,"19,200",0.65,0.70,"6,400",86.00,"19,200",9.70,10.35,"32,000",-,-,-,-,-,-,
,132,7,37,40.53,0.55,-0.15,"32,000",0.50,0.60,"6,400",87.00,"64,000",10.55,11.25,"32,000",-,-,-,-,-,-,
,138,33,75,40.90,0.45,-0.15,"19,200",0.40,0.55,"19,200",88.00,"25,600",11.60,12.25,"1,08,800",1.60,11.20,61.43,4,3,3,
,21,-3,23,43.59,0.45,-0.05,"6,400",0.35,0.45,"6,400",89.00,"25,600",12.50,13.05,"19,200",-,-,-,-,-,-,
,577,24,251,44.78,0.40,-0.05,"3,26,400",0.30,0.40,"1,08,800",90.00,"25,600",13.45,13.90,"6,400",-,11.25,-,-,-,51,
,82,25,44,44.03,0.30,-0.10,"6,400",0.25,0.35,"12,800",91.00,-,-,-,-,-,-,-,-,-,-,-
,129,12,40,44.49,0.25,-0.05,"38,400",0.20,0.30,"70,400",92.00,"25,600",15.30,15.90,"32,000",2.70,14.85,67.52,1,1,1,
,212,7,23,51.98,0.10,-0.05,"8,96,000",0.05,0.15,"3,13,600",100.00,-,-,-,-,-,-,-,-,-,-,-
