CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,140.00,"5,900",0.30,0.45,"5,900",-,0.45,56.43,10,-6,112,
,-,-,-,-,-,-,"20,650",27.80,30.20,"11,800",145.00,"2,950",0.10,1.50,"2,950",-,-,-,-,-,-,
,15,-20,21,-,24.25,-1.75,"2,950",23.60,25.05,"11,800",150.00,"5,900",0.95,1.10,"5,900",-0.10,0.95,50.19,33,20,186,
,5,-,-,-,24.50,-,"20,650",20.70,23.55,"11,800",152.50,"8,850",0.30,2.30,"8,850",-,1.10,-,-,-,18,
,11,-,-,-,29.95,-,"35,400",19.30,20.75,"8,850",155.00,"5,900",1.60,1.75,"8,850",0.05,1.65,50.04,67,17,117,
,6,-,-,-,12.25,-,"44,250",17.05,18.75,"8,850",157.50,"2,950",2.00,2.20,"2,950",0.20,2.10,49.77,13,8,15,
,67,-4,6,45.56,16.75,-8.80,"2,950",15.45,16.60,"8,850",160.00,"5,900",2.65,2.70,"2,950",0.20,2.65,49.60,96,12,300,
,12,-,-,-,12.75,-,"29,500",13.50,14.80,"8,850",162.50,"2,950",3.15,3.40,"2,950",-0.10,3.00,47.16,3,-1,43,
,34,-,-,-,20.70,-,"8,850",11.80,13.10,"17,700",165.00,"2,950",4.00,4.10,"2,950",0.20,3.95,48.52,122,-25,155,
,36,-,-,-,13.90,-,"8,850",10.15,11.35,"2,950",167.50,"2,950",4.80,5.00,"2,950",0.75,4.90,48.93,26,10,56,
,311,2,20,40.43,9.20,-0.45,"8,850",8.70,9.90,"2,950",170.00,"2,950",5.90,6.50,"5,900",0.55,5.95,49.17,300,20,341,
,33,-1,10,40.71,7.85,-3.35,"1,47,500",4.60,9.05,"8,850",172.50,"64,900",5.95,7.90,"44,250",0.60,7.00,48.65,45,3,42,
,298,68,291,41.00,6.65,-0.35,"2,950",6.65,6.85,"2,950",175.00,"2,950",7.60,8.85,"2,950",0.65,8.20,48.31,251,30,250,
,54,-5,18,40.72,5.50,-0.45,"2,950",5.25,6.45,"53,100",177.50,"2,950",9.00,10.45,"2,950",0.55,9.80,49.65,17,-,54,
,656,22,458,41.73,4.70,-0.30,"8,850",4.65,4.75,"5,900",180.00,"8,850",10.55,11.70,"2,950",0.80,11.40,50.32,25,-11,201,
,167,-11,92,41.98,3.90,-0.35,"2,950",3.90,4.10,"5,900",182.50,"2,950",12.40,13.60,"5,900",1.05,13.50,53.46,22,-5,103,
,357,-33,302,42.47,3.25,-0.30,"5,900",3.25,3.35,"5,900",185.00,"11,800",14.00,15.40,"2,950",0.80,15.05,52.60,4,1,32,
,33,-5,14,40.72,2.40,-0.75,"2,950",2.55,2.90,"2,950",187.50,"11,800",15.95,17.45,"20,650",-,-,-,-,-,-,
,295,2,184,43.55,2.25,-0.20,"5,900",2.15,2.30,"5,900",190.00,"8,850",18.00,19.35,"2,950",-,14.40,-,-,-,30,
,41,7,10,44.38,1.90,-0.35,"2,950",1.80,1.95,"2,950",192.50,"8,850",20.05,21.60,"14,750",-,-,-,-,-,-,
,113,-,-,-,1.75,-,"2,950",0.60,1.65,"2,950",195.00,"5,900",21.60,23.65,"20,650",0.05,22.20,48.63,2,-,10,
,88,34,40,45.37,1.30,-0.80,"2,950",1.25,1.35,"5,900",197.50,"8,850",24.55,25.95,"14,750",-,-,-,-,-,-,
,595,8,187,45.57,1.05,-0.15,"11,800",1.00,1.10,"8,850",200.00,"8,850",26.80,28.20,"20,650",1.70,27.70,60.20,4,-1,32,
,29,-,-,-,1.05,-,"5,900",0.20,1.30,"5,900",202.50,"11,800",28.75,30.80,"20,650",-,-,-,-,-,-,
,47,15,23,47.12,0.75,-0.20,"2,950",0.70,0.80,"5,900",205.00,"8,850",31.15,32.90,"14,750",-,-,-,-,-,-,
