CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-,2,-,"5,600.00","-1,100.00",30,"5,301.75","5,652.90",60,"38,000.00",495,53.00,-,-,30.45,51.00,35.30,55,41,52,
,22,-,7,-,"4,571.05","-2,528.95",60,"4,335.30","4,589.60",45,"39,000.00",15,138.75,165.00,75,18.30,153.30,38.47,"1,298",247,252,
,-,-,-,-,-,-,60,"3,773.80","4,225.20",45,"39,500.00","1,365",65.30,-,-,-,-,-,-,-,-,
,2,-,-,-,"5,848.50",144.15,60,"3,435.95","3,688.65",45,"40,000.00",30,232.60,250.00,30,128.30,249.95,37.39,"7,012",344,806,
,-,-,-,-,-,-,60,"2,878.65","3,391.90",45,"40,500.00",150,165.65,-,-,-,-,-,-,-,-,
,34,-5,14,-,"2,751.00","-1,910.05",60,"2,668.70","2,831.65",105,"41,000.00",15,375.50,417.00,15,281.75,399.05,36.45,218,3,65,
,1,1,1,16.43,"2,727.00","-3,700.35",60,"2,151.65","2,700.05",75,"41,500.00",450,424.70,701.00,15,126.30,450.00,34.43,103,60,60,
,11,2,29,-,"2,160.00","-1,768.35",60,"1,876.55","2,070.65",45,"42,000.00",30,605.00,664.00,60,351.45,653.10,36.62,"7,709",206,720,
,-,-,-,-,-,-,60,"1,431.85","2,015.60",45,"42,500.00",450,696.20,"1,118.30",45,228.45,710.00,33.87,21,8,8,
,57,55,145,14.76,"1,387.80","-3,166.70",15,"1,300.00","1,490.00",15,"43,000.00",15,990.00,"1,140.65",15,298.85,"1,057.25",38.20,"1,241",201,219,
,74,74,554,17.59,"1,136.00","-3,683.45",15,"1,049.95","1,249.00",30,"43,500.00",330,"1,144.10","1,350.00",15,618.85,"1,309.55",39.22,178,46,46,
,816,797,"4,582",19.12,907.50,"-1,487.15",60,881.55,908.20,30,"44,000.00",45,"1,451.05","1,585.00",45,861.85,"1,570.00",39.80,"4,422",45,798,
,229,227,"1,044",20.37,720.05,"-1,829.95",15,720.00,731.00,15,"44,500.00",45,"1,732.50","2,062.30",45,"1,484.40","1,856.45",40.42,122,30,37,
,"1,073",923,"6,775",21.44,568.00,"-1,178.30",300,565.00,577.90,15,"45,000.00",120,"2,155.05","2,352.60",15,"1,160.10","2,230.05",42.59,832,-62,410,
,218,173,"1,189",22.28,441.75,"-1,048.80",15,440.00,488.05,15,"45,500.00",15,"2,543.05","2,773.15",45,"1,482.90","2,582.90",43.80,29,2,16,
,"1,279",940,"6,948",23.08,342.80,-895.25,30,340.00,359.00,15,"46,000.00",90,"2,837.45","3,193.00",45,"1,433.50","3,015.30",46.56,274,-67,251,
,338,180,"1,306",24.18,275.75,-759.95,15,275.00,280.00,75,"46,500.00",105,"3,295.60","3,634.80",105,"1,169.80","3,005.75",37.42,45,-7,48,
,"1,667","1,138","5,404",25.26,223.25,-623.10,75,218.00,223.30,30,"47,000.00",45,"3,827.00","4,074.15",45,"1,701.95","3,824.95",49.73,62,-1,138,
,"1,560","1,259","2,278",26.43,185.00,-516.25,"1,215",185.00,190.30,15,"47,500.00",60,"4,238.20","4,528.80",45,"1,530.45","4,002.00",44.47,2,-,25,
,"2,342","1,191","7,721",27.25,148.00,-408.20,30,145.00,160.00,90,"48,000.00",15,"4,735.15","4,988.10",60,"1,814.15","4,638.45",51.79,7,-,30,
,323,136,624,27.99,117.90,-333.80,450,92.10,150.65,300,"48,500.00",15,"5,126.90","5,457.10",60,11.70,"3,232.65",-,-,-,39,
,984,331,"2,830",28.87,96.50,-264.70,45,90.00,97.80,15,"49,000.00",45,"5,591.20","5,937.25",60,"2,032.50","5,670.00",59.30,20,1,42,
,236,194,527,29.76,79.80,-208.80,120,60.00,93.40,15,"49,500.00",45,"6,070.55","6,402.50",105,-,-,-,-,-,-,
,"3,346","1,547","10,033",30.51,65.00,-171.60,15,61.25,66.00,30,"50,000.00",105,"6,530.50","6,872.35",60,"1,347.05","6,792.65",69.21,9,1,9,
,3,3,3,33.97,82.00,"-1,106.20",375,12.60,99.95,600,"50,500.00",45,"6,969.80","7,408.30",75,-,-,-,-,-,-,
,365,37,"1,007",32.48,47.95,-102.80,15,41.55,48.00,30,"51,000.00",60,"7,528.85","7,847.30",105,-,"5,194.85",-,-,-,9,
,26,14,27,34.50,49.80,-77.45,15,20.05,49.80,300,"51,500.00",60,"7,984.30","8,349.00",45,0.05,"5,858.60",-,-,-,36,
,622,-31,"1,381",34.36,36.05,-63.20,15,38.00,40.00,15,"52,000.00",45,"8,512.75","8,878.45",75,-,-,-,-,-,-,
,-,-,-,-,-,-,15,29.75,-,-,"52,500.00",45,"8,997.20","9,379.75",105,-,-,-,-,-,-,
,178,-34,527,36.19,27.70,-38.90,300,20.50,31.65,300,"53,000.00",45,"9,501.80","9,863.70",105,-,-,-,-,-,-,
,35,10,10,36.19,20.55,-105.45,165,20.55,39.65,600,"53,500.00",45,"10,011.85","10,356.00",105,-,-,-,-,-,-,
,506,-38,417,39.14,26.95,-23.50,15,21.55,27.00,45,"54,000.00",60,"10,448.75","10,834.95",105,-,-,-,-,-,-,
