CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,760.00,750,0.80,1.10,"8,250",0.05,0.80,62.95,45,-19,298,
,1,-,-,-,163.05,-,"3,750",240.80,251.25,"3,000",800.00,"7,500",0.50,0.85,750,-0.70,0.30,47.34,11,-,111,
,-,-,-,-,-,-,"2,250",202.15,212.50,"3,000",840.00,"1,500",0.35,3.50,"2,250",-,2.65,-,-,-,1,
-,-,-,-,-,-,-,-,-,-,-,860.00,750,1.80,2.90,750,0.25,2.05,48.70,25,4,153,
,2,-,-,-,126.75,-,"3,750",163.70,173.50,"3,000",880.00,"22,500",1.85,2.60,750,0.80,2.50,45.84,42,1,64,
,21,-,-,-,150.00,-,"3,000",143.25,154.35,"2,250",900.00,750,3.00,3.50,750,1.10,3.60,44.62,129,2,484,
,8,2,3,40.55,131.25,45.00,"3,000",124.90,135.75,"5,250",920.00,750,4.65,4.90,750,1.35,4.65,42.27,90,-23,119,
,71,-1,1,37.88,112.45,-13.90,750,107.35,118.00,"3,000",940.00,750,6.40,9.00,750,1.95,6.90,41.63,153,-8,212,
,97,-10,13,74.27,123.00,15.00,"3,000",89.90,99.45,750,960.00,750,8.00,10.00,750,3.05,9.90,40.86,196,-23,168,
,163,-,5,57.55,95.70,7.90,750,73.90,84.00,750,980.00,750,11.05,14.45,750,4.35,13.90,40.11,142,-2,175,
,267,-22,136,37.27,65.05,-2.70,750,62.50,69.70,"4,500","1,000.00","3,000",19.00,19.95,750,5.00,18.90,39.13,597,76,430,
,76,-5,103,38.12,53.05,-1.60,750,48.20,56.30,750,"1,020.00",750,24.10,27.00,"1,500",6.30,25.35,38.28,632,271,386,
,196,26,576,36.23,40.10,-1.35,750,36.50,41.20,"1,500","1,040.00",750,34.05,35.00,"1,500",8.10,34.95,39.08,583,6,115,
,322,131,"1,534",36.81,31.25,-0.20,750,30.00,31.60,750,"1,060.00","1,500",43.00,47.00,750,7.65,44.15,37.80,347,54,129,
,177,109,"1,702",35.67,22.40,-0.70,750,22.40,24.95,750,"1,080.00","3,000",51.70,61.70,750,5.80,55.95,37.50,139,47,52,
,"1,133",56,"2,238",36.73,17.20,0.75,750,16.25,17.75,750,"1,100.00","3,000",65.35,72.95,"3,750",8.90,69.55,37.48,78,5,"1,016",
,102,13,447,36.47,12.15,0.35,750,10.00,14.05,750,"1,120.00","3,000",80.35,91.55,750,12.50,84.50,37.46,3,1,12,
,184,-16,"1,138",36.99,8.85,0.45,"22,500",7.10,9.60,750,"1,140.00","3,000",96.80,103.40,"1,500",14.95,100.80,37.72,10,1,14,
,176,33,449,37.97,6.65,0.60,"23,250",5.00,7.50,750,"1,160.00","3,000",114.40,122.05,"3,000",-0.70,108.45,-,-,-,23,
,49,5,61,38.39,4.75,0.35,750,4.55,4.80,750,"1,180.00","2,250",131.85,141.85,"3,750",-,150.85,-,-,-,1,
,269,-5,540,38.90,3.40,0.20,750,3.30,3.50,750,"1,200.00","3,000",150.95,159.05,750,-,143.35,-,-,-,26,
,393,-200,732,40.86,1.95,0.05,"1,500",1.90,2.70,750,"1,240.00","3,000",189.35,200.60,"3,000",-,255.00,-,-,-,12,
