CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,300,"1,401.85","1,452.55",400,"4,800.00",100,3.00,8.00,100,-,3.00,-,-,-,159,
,-,-,-,-,-,-,700,"1,300.50","1,354.45",400,"4,900.00",500,3.10,10.10,"4,000",0.20,6.00,51.20,4,-1,122,
,4,-,-,-,"1,062.00",-,300,"1,202.45","1,248.00",300,"5,000.00",200,7.45,8.55,"1,000",-1.15,7.60,49.43,144,-21,426,
,5,-,-,-,"1,185.55",-,700,"1,106.45","1,158.80",400,"5,100.00","3,000",6.70,11.00,"2,000",-0.30,8.35,46.45,93,60,80,
,48,-,-,-,925.00,-,700,"1,010.80","1,064.10",300,"5,200.00",100,9.20,15.00,100,-6.30,9.00,43.30,15,-14,180,
,3,-,-,-,811.60,-,300,909.25,968.95,300,"5,300.00",100,13.30,17.95,100,-4.80,16.00,44.44,223,-9,214,
,1,-,-,-,753.55,-,400,819.75,865.25,400,"5,400.00",100,17.50,27.40,"2,000",-5.00,21.00,43.03,134,17,383,
,95,-3,7,44.55,781.65,4.95,400,728.45,772.95,400,"5,500.00",100,28.00,28.35,100,-5.45,28.70,42.10,530,-2,928,
,116,3,5,34.28,667.45,35.65,400,631.90,682.50,200,"5,600.00","3,100",31.90,39.00,100,-8.80,36.60,40.44,294,-27,311,
,100,2,2,31.78,572.55,20.55,100,568.60,595.00,700,"5,700.00",100,41.15,49.00,100,-9.85,48.15,39.20,310,13,480,
,95,-,-,-,470.00,-2.15,200,469.85,502.30,100,"5,800.00",100,60.05,67.00,100,-13.45,64.40,38.31,466,-2,404,
,87,-1,17,39.41,443.35,46.80,100,395.20,427.00,200,"5,900.00",100,85.10,90.00,100,-15.55,85.05,37.42,394,24,476,
,493,-2,255,32.13,337.75,11.20,200,333.10,358.15,600,"6,000.00",100,112.55,116.00,100,-19.10,112.55,36.84,"1,646",-36,791,
,268,-60,367,32.46,274.95,9.85,100,270.80,290.45,300,"6,100.00",100,133.30,151.95,100,-24.55,147.50,36.47,444,7,338,
,491,-21,"1,658",31.86,215.00,3.60,200,214.00,218.10,200,"6,200.00",100,185.00,198.00,300,-28.75,187.70,35.81,"1,099",3,280,
,632,42,"3,476",32.06,167.95,2.75,100,165.15,168.00,"1,100","6,300.00",300,224.70,248.75,100,-24.30,245.60,36.91,526,48,185,
,399,-2,907,32.80,132.00,4.25,"3,000",111.90,132.00,100,"6,400.00",100,282.85,310.35,100,-30.60,299.05,36.05,28,2,53,
,895,-125,"1,900",32.49,97.40,-0.10,200,92.00,98.00,400,"6,500.00",300,350.00,380.90,100,-34.75,367.00,36.53,10,1,109,
,421,73,680,32.75,72.65,-0.85,100,71.05,74.00,100,"6,600.00",400,421.90,471.00,700,-,553.00,-,-,-,93,
,382,10,329,33.11,53.80,-1.40,100,52.50,65.00,"1,200","6,700.00",300,500.20,546.75,300,-,555.85,-,-,-,61,
,437,-40,445,33.89,40.95,-0.45,100,39.00,42.00,100,"6,800.00",400,587.55,632.10,300,-,736.85,-,-,-,10,
,267,17,152,34.08,29.40,-1.30,"3,000",23.00,32.95,100,"6,900.00",100,676.35,724.80,300,-,812.80,-,-,-,10,
,767,-109,796,34.48,21.35,-0.85,100,21.50,21.70,100,"7,000.00",400,768.25,816.20,300,-,783.75,-,-,-,90,
,397,-67,660,35.27,16.20,-0.85,200,14.90,18.00,300,"7,100.00",-,-,-,-,-,-,-,-,-,-,-
,656,3,211,35.32,11.15,-0.45,100,8.85,12.60,100,"7,200.00",400,957.20,"1,003.95",300,-,-,-,-,-,-,
,137,10,61,37.23,10.00,1.70,100,5.00,18.50,100,"7,300.00",-,-,-,-,-,-,-,-,-,-,-
,117,-3,41,37.32,6.95,0.95,"3,700",6.50,7.00,"1,000","7,400.00",-,-,-,-,-,-,-,-,-,-,-
,86,2,30,37.07,4.50,-0.40,100,4.10,5.10,200,"7,500.00",-,-,-,-,-,-,-,-,-,-,-
,43,-6,6,37.42,3.20,-1.50,100,3.20,5.50,100,"7,600.00",-,-,-,-,-,-,-,-,-,-,-
