CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,240.00,"9,000",0.05,0.25,"1,500",-,0.15,-,-,-,16,
-,-,-,-,-,-,-,-,-,-,-,250.00,"1,500",0.10,1.60,"12,000",-,0.25,46.47,1,-,84,
-,-,-,-,-,-,-,-,-,-,-,255.00,"16,500",0.05,1.60,"6,000",-,0.70,-,-,-,5,
,-,-,-,-,-,-,"10,500",51.05,54.45,"4,500",260.00,"4,500",0.20,0.85,"1,500",0.15,0.45,43.63,69,-13,154,
,9,-,-,-,29.25,-,"10,500",41.70,44.10,"6,000",270.00,"7,500",0.70,0.80,"4,500",0.20,0.80,40.76,75,32,243,
,6,-,-,-,39.70,-,"10,500",37.05,39.25,"6,000",275.00,"1,500",1.00,1.15,"3,000",0.20,1.00,38.72,40,31,82,
,13,-,-,-,39.90,-,"3,000",32.45,35.80,"6,000",280.00,"3,000",1.40,2.40,"1,500",0.45,1.50,38.55,188,-54,389,
,5,-,-,-,34.35,-,"10,500",27.80,30.10,"10,500",285.00,"1,500",1.75,3.15,"10,500",0.45,1.75,35.69,79,-10,226,
,27,-,3,47.43,28.05,-0.15,"3,000",23.55,25.45,"9,000",290.00,"3,000",2.35,2.45,"7,500",0.60,2.30,34.11,145,-55,824,
,70,1,6,28.10,20.10,-6.40,"1,500",19.05,21.05,"1,500",295.00,"1,500",2.95,3.20,"1,500",0.90,3.15,33.12,85,-46,295,
,450,1,31,23.76,15.30,-6.20,"3,000",15.60,17.05,"1,500",300.00,"3,000",4.10,4.25,"1,500",1.25,4.15,31.68,287,50,838,
,398,-9,30,27.91,12.85,-4.60,"4,500",11.85,14.25,"3,000",305.00,"1,500",5.45,5.80,"1,500",1.80,5.65,31.01,247,-29,312,
,365,1,256,27.90,9.90,-3.95,"1,500",9.10,9.95,"1,500",310.00,"34,500",7.30,8.40,"4,500",2.45,7.45,30.05,446,11,766,
,286,7,348,27.32,7.25,-3.45,"3,000",6.40,7.40,"1,500",315.00,"1,500",9.70,10.70,"1,500",3.15,9.90,29.87,331,31,283,
,896,44,950,26.98,5.15,-2.80,"1,500",5.00,5.25,"1,500",320.00,"16,500",11.65,13.25,"1,500",3.70,12.70,29.38,189,7,563,
,283,20,348,27.00,3.60,-2.20,"3,000",3.50,3.70,"1,500",325.00,"10,500",15.40,17.20,"1,500",5.50,17.20,33.65,22,6,50,
,467,5,448,27.52,2.55,-1.50,"4,500",2.40,2.60,"3,000",330.00,"3,000",19.35,21.00,"1,500",5.35,20.65,33.03,75,17,132,
,194,33,134,27.85,1.75,-1.05,"1,500",1.65,1.80,"1,500",335.00,"1,500",23.35,25.40,"4,500",-0.50,18.30,-,1,-1,28,
,549,102,303,28.64,1.25,-0.80,"3,000",1.25,1.30,"21,000",340.00,"6,000",27.95,30.05,"9,000",5.30,28.70,32.87,6,-,36,
,73,15,55,29.48,0.90,-0.45,"3,000",0.80,0.95,"4,500",345.00,"3,000",32.45,34.55,"6,000",-,29.05,-,-,-,5,
,349,-15,140,30.30,0.65,-0.35,"6,000",0.55,0.70,"7,500",350.00,"6,000",36.95,39.50,"10,500",-0.05,32.15,-,-,-,27,
,65,7,10,31.48,0.50,-0.20,"15,000",0.10,0.50,"7,500",355.00,"3,000",41.65,44.40,"10,500",-,-,-,-,-,-,
,113,10,52,32.02,0.35,-0.20,"4,500",0.30,0.40,"9,000",360.00,"4,500",46.60,49.10,"10,500",-,52.50,-,-,-,11,
,31,7,10,37.91,0.40,0.15,"6,000",0.20,0.35,"10,500",370.00,"10,500",56.55,59.15,"10,500",-,-,-,-,-,-,
,19,-,-,-,0.15,-,"7,500",0.10,0.25,"3,000",375.00,"4,500",61.50,64.00,"10,500",-,58.90,-,-,-,2,
,1,-,-,-,0.20,-,"27,000",0.05,0.30,"6,000",390.00,"4,500",76.40,79.10,"10,500",-,84.25,-,-,-,-,
,152,-,-,-,0.15,-,"81,000",0.10,0.20,"40,500",400.00,-,-,-,-,-,-,-,-,-,-,-
