CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,84.00,-,"9,100",101.45,104.65,"9,100",300.00,"5,200",0.50,0.60,"6,500",-0.15,0.55,65.13,43,-13,323,
,22,-,1,73.96,87.85,1.85,"1,300",82.05,84.60,"1,300",320.00,"6,500",0.95,1.05,"2,600",-0.05,1.00,59.24,222,19,396,
,23,-2,3,73.79,79.10,14.60,"2,600",72.70,75.65,"5,200",330.00,"5,200",1.45,1.50,"3,900",-0.05,1.45,57.25,140,-9,282,
,33,-1,1,85.97,73.55,0.65,"1,300",63.25,66.35,"5,200",340.00,"3,900",2.00,2.15,"3,900",0.10,2.10,55.43,201,-21,491,
,271,-4,29,-,54.20,-8.85,"1,300",54.30,57.00,"23,400",350.00,"1,300",3.00,3.15,"6,500",0.35,3.10,54.15,548,25,"1,064",
,126,4,37,32.76,46.25,-8.25,"2,600",45.90,48.30,"14,300",360.00,"2,600",4.25,4.35,"3,900",0.60,4.30,52.12,601,-16,481,
,204,-10,47,40.24,38.85,-7.60,"2,600",38.00,39.25,"1,300",370.00,"2,600",5.85,6.15,"1,300",0.90,6.00,50.47,"1,039",-80,761,
,427,5,94,40.35,31.15,-6.80,"2,600",30.90,31.50,"2,600",380.00,"5,200",8.55,8.75,"2,600",1.60,8.55,49.79,"1,241",-53,892,
,616,-25,211,40.90,24.50,-6.00,"1,300",24.00,25.65,"3,900",390.00,"1,300",11.80,12.00,"2,600",2.35,11.75,48.93,"1,134",-22,811,
,"1,442",75,"1,441",41.16,18.75,-5.30,"1,300",18.60,19.00,"5,200",400.00,"3,900",15.60,16.15,"1,300",3.35,16.15,49.18,"2,861",275,"1,742",
,"1,798",279,"3,586",41.40,14.00,-4.40,"5,200",13.90,14.10,"3,900",410.00,"1,300",21.25,21.35,"1,300",4.20,21.30,49.19,"2,225",-8,"1,029",
,"2,227",291,"4,152",41.90,10.30,-3.65,"1,300",10.20,10.50,"3,900",420.00,"3,900",26.65,27.80,"1,300",5.20,27.55,49.97,763,26,738,
,"2,831",-6,"3,076",42.42,7.45,-2.65,"2,600",7.20,7.50,"10,400",430.00,"1,300",34.55,35.60,"5,200",5.95,34.60,50.99,257,7,656,
,"1,618",73,"1,646",42.76,5.25,-1.95,"2,600",5.15,5.30,"1,300",440.00,"2,600",41.10,43.85,"14,300",6.85,42.70,53.40,111,16,877,
,"2,107",-36,"2,444",43.57,3.75,-1.45,"7,800",3.65,3.80,"13,000",450.00,"2,600",49.70,51.55,"1,300",7.75,51.15,55.62,32,-2,587,
,"1,094",15,"1,416",44.30,2.65,-1.00,"23,400",2.60,2.75,"7,800",460.00,"9,100",57.85,61.05,"1,300",-,51.00,-,-,-,148,
,727,39,558,45.55,1.95,-0.70,"2,600",1.85,2.00,"5,200",470.00,"7,800",67.20,70.05,"2,600",6.20,66.85,50.70,11,-2,197,
,663,-6,395,46.46,1.40,-0.50,"10,400",1.30,1.45,"6,500",480.00,"2,600",77.30,79.80,"6,500",-,69.60,-,-,-,269,
,455,35,251,47.75,1.05,-0.40,"7,800",1.00,1.15,"5,200",490.00,"2,600",86.15,89.40,"1,300",-,78.10,-,-,-,132,
,"3,096",293,926,50.19,0.90,-0.25,"36,400",0.80,0.90,"13,000",500.00,"3,900",96.05,98.05,"5,200",2.15,90.85,-,3,-1,939,
,360,-6,35,50.88,0.65,-0.25,"1,300",0.65,0.85,"1,300",510.00,"5,200",105.50,108.85,"1,300",-,85.80,-,-,-,47,
,248,-44,91,52.08,0.50,-0.15,"61,100",0.45,0.55,"7,800",520.00,"1,300",115.95,118.00,"5,200",4.00,112.50,-,1,-,96,
,317,-5,17,55.51,0.35,-,"11,700",0.30,0.35,"2,600",540.00,"5,200",135.00,137.70,"5,200",-,141.05,-,-,-,235,
,39,-,18,58.66,0.25,0.10,"18,200",0.15,0.25,"3,900",560.00,-,-,-,-,-,-,-,-,-,-,-
