CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,000",495.55,527.55,"1,000","2,400.00",500,0.35,12.50,"5,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,750",455.70,490.35,"1,000","2,440.00","6,000",0.30,15.15,"7,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,750",415.90,450.55,"1,000","2,480.00","3,500",0.35,15.20,750,-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,"2,500.00",250,1.35,5.80,500,-,3.35,-,-,-,30,
,-,-,-,-,-,-,"1,750",376.15,410.80,"1,000","2,520.00","3,500",0.55,15.20,750,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,750",336.80,370.95,"1,000","2,560.00",250,0.90,15.20,750,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",299.00,320.45,"1,000","2,600.00",500,4.20,4.70,250,-0.40,4.15,29.68,68,-1,73,
,-,-,-,-,-,-,"1,000",262.00,284.45,"1,000","2,640.00","2,500",2.35,11.50,"7,500",-0.05,7.00,29.83,6,2,8,
,-,-,-,-,-,-,750,242.35,265.60,750,"2,660.00","7,500",5.60,8.40,250,0.15,8.40,29.44,13,-5,107,
,2,-,-,-,227.95,-,750,222.80,247.65,750,"2,680.00","7,500",7.15,11.40,"5,000",0.65,10.40,29.32,12,1,23,
,1,-,-,-,210.00,-,750,205.30,228.20,"1,000","2,700.00",750,11.15,13.55,"5,000",-1.15,11.15,28.03,94,7,186,
,-,-,-,-,-,-,750,188.35,212.55,"1,000","2,720.00","7,500",10.75,16.75,"5,000",-1.45,13.55,27.79,43,17,53,
,-,-,-,-,-,-,750,162.90,203.10,"1,000","2,740.00",250,7.00,-,-,-,31.00,-,-,-,7,
,-,-,-,-,-,-,750,141.95,193.40,"1,000","2,760.00","3,000",5.10,38.15,750,-,-,-,-,-,-,
,1,-,-,-,250.00,-,"1,000",140.00,161.00,"1,000","2,780.00",250,19.90,29.05,"5,000",1.55,24.45,27.51,34,4,26,
,25,4,5,11.03,122.40,-59.60,750,124.85,145.75,"1,000","2,800.00",250,24.00,34.00,250,-3.80,28.00,26.84,164,-25,252,
,-,-,-,-,-,-,750,103.15,147.55,"1,000","2,820.00",750,18.95,52.05,750,-,52.75,-,-,-,9,
,7,2,7,18.22,100.45,-23.20,250,97.15,118.80,250,"2,840.00",500,27.05,55.30,750,9.40,47.90,29.96,8,3,4,
,58,-,-,-,126.95,0.50,750,83.85,109.95,750,"2,860.00",250,40.80,52.50,250,-5.45,48.55,27.33,31,-1,64,
,15,-2,18,22.61,85.10,0.25,250,81.30,86.70,250,"2,880.00",250,46.55,66.75,250,1.30,62.35,29.45,4,-,36,
,686,159,562,22.52,73.55,-0.50,250,68.30,75.05,250,"2,900.00",250,62.20,69.85,250,-4.90,65.00,27.14,302,71,272,
,49,5,84,22.36,62.80,-2.60,250,57.60,65.45,250,"2,920.00","1,000",65.00,86.80,250,-0.20,56.30,-,-,-,11,
,89,-5,126,22.28,53.30,-2.75,250,47.65,56.25,250,"2,940.00",250,78.50,93.45,500,6.20,97.25,31.45,22,-10,61,
,75,-11,63,23.02,47.00,-1.80,250,43.90,47.35,250,"2,960.00",250,89.45,108.25,750,7.85,110.75,32.26,19,-3,35,
,40,-2,6,20.64,33.40,-8.30,250,24.25,50.95,250,"2,980.00",500,89.45,125.45,750,-,138.00,-,-,-,2,
,352,-12,406,23.00,33.05,-2.60,250,32.05,33.90,250,"3,000.00",750,114.40,134.50,750,-,93.10,-,-,-,62,
,13,-,-,-,28.75,-1.35,250,16.35,37.20,250,"3,020.00",750,121.60,157.30,750,-0.05,111.25,-,-,-,3,
,59,18,66,22.72,21.90,-3.45,250,21.20,28.30,"5,000","3,040.00",500,141.80,165.45,750,-,164.00,-,-,-,1,
,20,4,11,23.13,18.60,-3.40,"7,500",8.40,24.05,250,"3,060.00","1,000",157.80,184.55,750,-,-,-,-,-,-,
,30,-4,57,22.60,14.10,-3.75,250,13.85,19.35,"5,000","3,080.00",500,176.55,197.25,"1,000",-,163.95,-,-,-,2,
,298,9,233,23.23,12.25,-2.50,250,10.35,13.95,250,"3,100.00","1,000",193.65,210.90,250,36.65,220.75,38.37,4,-,46,
,38,3,45,23.26,9.80,-4.70,"7,500",8.50,13.00,"5,000","3,120.00","1,000",211.00,232.90,"1,000",-,182.25,-,-,-,3,
,-,-,-,-,-,-,"7,500",3.05,16.60,"7,500","3,140.00","1,000",226.10,258.45,750,-,-,-,-,-,-,
,43,1,13,23.65,6.50,-2.25,"7,500",6.15,10.45,"5,000","3,160.00","1,000",247.95,269.60,"1,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,500",2.30,12.20,"7,500","3,180.00","1,000",265.20,294.90,750,-,280.50,-,-,-,1,
,291,13,207,24.37,4.55,-1.70,500,4.30,4.75,250,"3,200.00","1,000",285.45,307.40,750,-,252.00,-,-,-,60,
,-,-,-,-,-,-,250,1.40,14.65,"7,500","3,240.00","1,000",322.60,355.80,"1,750",-,-,-,-,-,-,
,47,-10,10,24.82,1.80,-2.85,250,1.50,4.70,"2,500","3,280.00","1,750",360.80,386.45,"1,250",-,507.00,-,-,-,4,
,205,-6,11,27.36,2.50,-2.15,250,1.95,3.00,250,"3,300.00","1,750",377.55,407.50,"1,750",-,400.00,-,-,-,89,
,-,-,-,-,-,-,250,0.40,9.95,"2,500","3,320.00","1,000",401.25,430.65,"1,750",-,-,-,-,-,-,
,-,-,-,-,-,-,250,0.40,9.90,"7,500","3,360.00","1,000",441.05,470.40,"1,750",-,-,-,-,-,-,
,4,-,2,38.41,6.00,4.05,250,0.60,5.35,"7,500","3,400.00","1,000",481.10,505.65,750,-,-,-,-,-,-,
,-,-,-,-,-,-,250,0.20,9.95,"2,500","3,440.00","1,000",520.50,550.10,"1,750",-,-,-,-,-,-,
