CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,375,726.65,759.15,500,"2,900.00","2,500",1.65,8.40,250,-0.70,4.40,51.11,52,3,51,
,-,-,-,-,-,-,375,625.70,661.55,500,"3,000.00",125,2.15,9.40,125,-0.85,6.30,47.74,319,160,208,
,-,-,-,-,-,-,500,536.95,566.70,375,"3,100.00",125,7.10,24.30,"6,250",-4.65,8.95,44.23,278,106,172,
,6,-,-,-,423.85,-,375,486.55,517.90,500,"3,150.00","6,250",3.25,23.90,"6,250",-7.70,11.30,43.01,21,-1,79,
,10,-,-,-,389.15,-,500,443.95,471.50,125,"3,200.00",125,13.00,17.90,250,-8.10,15.65,42.83,222,63,232,
,-,-,-,-,-,-,500,385.15,435.30,375,"3,250.00","6,250",9.20,-,-,-4.70,20.30,42.06,78,25,53,
,9,-,-,-,304.35,-,500,353.65,383.35,250,"3,300.00",375,25.00,28.95,125,-11.00,27.00,41.75,387,69,376,
,16,-,-,-,263.15,-,500,301.45,365.25,375,"3,350.00",-,-,63.20,375,-14.45,35.30,41.42,497,14,98,
,165,-16,39,39.90,301.00,31.60,625,271.70,302.35,500,"3,400.00",125,45.00,55.00,125,-14.15,47.55,41.90,721,3,347,
,33,-1,19,33.94,248.10,40.90,500,235.85,288.95,500,"3,450.00",500,40.30,85.20,"1,250",-21.00,58.05,40.84,543,-35,170,
,202,-33,282,35.60,217.00,12.35,125,203.75,230.25,875,"3,500.00",125,65.30,75.00,"1,375",-22.15,73.90,40.90,969,182,669,
,119,-1,241,35.77,185.00,8.45,125,171.65,203.60,125,"3,550.00",125,81.15,104.90,125,-22.80,94.15,41.48,514,48,282,
,607,-86,"1,470",36.48,158.00,7.65,125,156.00,161.00,125,"3,600.00",750,112.10,119.55,125,-24.35,116.35,41.78,"1,289",296,626,
,427,255,"1,816",36.54,132.05,4.35,125,132.00,134.45,250,"3,650.00",500,127.60,151.00,375,-28.45,140.70,41.89,"1,557",348,498,
,"1,601",21,"2,764",37.97,113.95,6.75,125,110.15,114.00,125,"3,700.00",125,155.00,183.55,375,-30.30,166.20,41.56,147,17,213,
,214,103,835,37.55,92.35,3.40,125,81.20,93.30,125,"3,750.00",125,188.15,211.25,500,-53.45,195.95,41.69,658,320,321,
,"1,309",-9,"3,558",37.44,74.65,1.85,750,74.50,77.00,250,"3,800.00",125,220.45,236.00,125,-32.30,231.90,42.94,55,25,111,
,108,16,474,38.00,61.65,2.70,125,41.80,71.90,125,"3,850.00",375,242.80,286.05,625,-34.90,268.40,43.72,1,1,5,
,512,120,"2,068",37.94,49.00,1.40,125,32.25,49.10,125,"3,900.00",500,276.45,323.10,125,-55.15,313.90,46.86,2,2,12,
,151,63,245,37.87,38.45,-1.25,500,25.20,50.00,125,"3,950.00",500,322.95,364.80,375,-,382.75,-,-,-,1,
,921,239,"1,842",37.65,29.50,-1.35,125,28.00,32.00,250,"4,000.00",125,372.40,408.00,125,-8.45,394.85,48.56,35,-1,54,
,83,33,258,38.19,23.80,-0.95,125,9.15,24.70,250,"4,050.00",875,405.90,443.45,875,-,-,-,-,-,-,
,176,12,536,38.75,19.20,0.55,500,6.70,20.25,125,"4,100.00",500,458.15,493.35,"1,250",23.05,520.60,65.52,1,1,3,
,-,-,-,-,-,-,"3,000",5.65,-,-,"4,150.00",375,489.35,543.85,375,-,-,-,-,-,-,
,605,131,"1,607",39.08,11.50,0.35,250,10.45,13.00,250,"4,200.00",500,550.35,588.05,625,-,770.00,-,-,-,4,
