CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,80.00,"8,000",0.10,0.15,"6,48,000",0.05,0.15,51.76,49,-13,239,
,-,-,-,-,-,-,"40,000",17.60,18.50,"24,000",82.00,"2,40,000",0.05,0.20,"1,44,000",-,0.20,-,-,-,3,
,-,-,-,-,-,-,"56,000",15.65,16.85,"24,000",84.00,"1,52,000",0.05,0.30,"2,40,000",-,-,-,-,-,-,
-,-,-,-,-,-,-,-,-,-,-,85.00,"2,32,000",0.15,0.20,"7,36,000",-,0.15,39.88,217,8,499,
,-,-,-,-,-,-,"56,000",13.70,14.90,"56,000",86.00,"88,000",0.15,0.65,"16,000",-,0.25,-,-,-,44,
,-,-,-,-,-,-,"40,000",12.80,13.60,"56,000",87.00,"24,000",0.20,0.35,"24,000",-0.05,0.25,39.21,10,-2,108,
,-,-,-,-,-,-,"56,000",11.95,12.65,"56,000",88.00,"72,000",0.25,0.35,"24,000",-0.05,0.30,38.30,55,-6,237,
,-,-,-,-,-,-,"40,000",11.00,11.70,"56,000",89.00,"1,04,000",0.30,0.40,"24,000",-0.05,0.35,37.13,18,-3,39,
,150,2,13,27.57,10.35,-0.55,"8,000",10.20,10.60,"24,000",90.00,"1,44,000",0.45,0.50,"1,52,000",-0.05,0.50,38.08,697,-159,"1,049",
,-,-,-,-,-,-,"56,000",9.25,9.90,"56,000",91.00,"8,000",0.55,0.65,"24,000",-0.05,0.55,36.28,56,28,124,
,10,-,-,-,10.25,-,"40,000",8.30,9.05,"32,000",92.00,"8,000",0.65,0.75,"24,000",-0.05,0.70,36.18,47,-15,152,
,10,-,-,-,8.55,-,"40,000",7.45,8.15,"32,000",93.00,"8,000",0.80,0.90,"8,000",-,0.85,35.59,28,-3,182,
,10,-,-,-,8.10,-,"56,000",6.65,7.35,"32,000",94.00,"24,000",1.00,1.10,"24,000",0.05,1.05,35.34,73,24,90,
,343,-5,125,32.67,6.35,-0.50,"8,000",6.10,6.45,"8,000",95.00,"16,000",1.30,1.35,"32,000",0.10,1.35,35.94,910,63,"1,006",
,138,23,98,32.87,5.65,-0.45,"8,000",5.35,5.80,"8,000",96.00,"48,000",1.50,1.65,"24,000",0.05,1.55,34.73,297,13,249,
,542,5,40,31.33,4.85,-0.50,"24,000",4.85,5.00,"8,000",97.00,"16,000",1.80,1.95,"16,000",0.15,1.90,34.90,144,18,496,
,322,8,285,33.30,4.40,-0.30,"8,000",4.30,4.40,"16,000",98.00,"16,000",2.25,2.35,"24,000",0.15,2.30,35.09,633,-7,323,
,319,12,608,32.44,3.75,-0.35,"24,000",3.70,3.85,"24,000",99.00,"16,000",2.60,2.75,"16,000",0.20,2.70,34.77,673,10,320,
,"2,629",622,"2,904",33.19,3.30,-0.25,"64,000",3.25,3.30,"32,000",100.00,"16,000",3.15,3.20,"32,000",0.25,3.20,35.02,"1,494",144,"1,388",
,517,40,769,32.35,2.75,-0.30,"56,000",2.70,2.85,"32,000",101.00,"8,000",3.60,3.70,"8,000",0.25,3.65,34.24,724,-18,277,
,785,40,"1,009",33.10,2.40,-0.20,"24,000",2.35,2.40,"48,000",102.00,"8,000",4.25,4.30,"32,000",0.25,4.20,34.01,292,5,571,
,353,10,489,32.27,1.95,-0.25,"24,000",1.95,2.05,"24,000",103.00,"8,000",4.85,4.95,"8,000",0.45,5.00,35.99,161,1,99,
,308,57,541,33.13,1.70,-0.15,"24,000",1.65,1.70,"40,000",104.00,"8,000",5.50,5.70,"8,000",0.60,5.75,37.05,65,12,68,
,"2,037",134,"1,676",32.97,1.40,-0.15,"56,000",1.40,1.45,"48,000",105.00,"8,000",6.20,6.50,"8,000",0.50,6.40,36.58,96,15,373,
,248,28,276,33.57,1.20,-0.10,"24,000",1.15,1.20,"24,000",106.00,"32,000",6.85,7.45,"24,000",-,8.30,-,-,-,122,
,251,22,167,33.07,0.95,-0.10,"80,000",0.90,1.05,"16,000",107.00,"56,000",7.60,8.30,"32,000",-,8.90,-,-,-,11,
,238,-14,102,34.28,0.85,-0.05,"24,000",0.80,0.85,"48,000",108.00,"32,000",8.50,9.10,"32,000",-,9.90,-,-,-,32,
,192,25,82,34.41,0.70,-0.05,"16,000",0.65,0.75,"24,000",109.00,"32,000",9.30,10.10,"40,000",-,13.30,-,-,-,1,
,"2,482",12,"1,311",34.10,0.55,-0.10,"3,52,000",0.55,0.60,"5,44,000",110.00,"8,000",10.30,10.70,"8,000",0.65,10.60,40.62,37,20,"1,016",
,171,6,23,34.30,0.45,-0.10,"2,24,000",0.40,0.50,"1,04,000",111.00,"32,000",11.10,11.75,"32,000",-,10.35,-,-,-,29,
,205,-50,160,35.28,0.40,-0.05,"3,04,000",0.35,0.40,"40,000",112.00,"56,000",11.95,12.70,"40,000",-,13.95,-,-,-,2,
,134,15,28,37.31,0.40,-,"1,92,000",0.30,0.40,"56,000",113.00,-,-,-,-,-,-,-,-,-,-,-
,71,1,1,35.15,0.25,-0.05,"8,000",0.25,0.35,"32,000",114.00,"56,000",13.85,14.60,"8,000",-,8.60,-,-,-,1,
,"1,390",22,169,36.97,0.25,-,"22,48,000",0.20,0.25,"10,16,000",115.00,"32,000",14.80,15.40,"8,000",-,13.55,-,-,-,189,
,61,-21,39,36.99,0.20,-0.05,"4,72,000",0.15,0.25,"3,44,000",116.00,"56,000",15.75,16.50,"24,000",-,18.00,-,-,-,6,
,11,-,-,-,0.20,-,"2,00,000",0.10,0.20,"16,000",117.00,"56,000",16.70,17.15,"32,000",-1.85,17.05,45.59,1,1,21,
,58,-,3,35.58,0.10,-0.05,"5,44,000",0.10,0.15,"32,000",118.00,"32,000",17.70,18.45,"8,000",-,17.40,-,-,-,3,
,801,-9,67,41.34,0.15,-,"25,04,000",0.10,0.15,"3,92,000",120.00,"32,000",19.65,20.10,"32,000",-,19.05,-,-,-,302,
,259,-,4,41.46,0.10,-,"4,64,000",0.05,0.10,"2,16,000",122.00,"32,000",21.60,22.25,"56,000",-,22.00,-,-,-,502,
,107,-1,1,45.03,0.05,-,"2,88,000",0.05,0.10,"2,08,000",128.00,-,-,-,-,-,-,-,-,-,-,-
