CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"12,600",48.90,51.15,"12,600",230.00,"55,800",0.05,0.50,"1,800",-,-,-,-,-,-,
,2,-,-,-,37.05,-,"12,600",38.60,40.95,"7,200",240.00,"23,400",0.20,0.30,"1,800",0.05,0.30,37.73,312,63,814,
,15,-,1,-,29.75,-4.20,"7,200",29.65,31.35,"12,600",250.00,"3,600",0.75,0.95,"9,000",0.10,0.75,36.18,504,39,617,
,33,-,4,-,25.85,-4.25,"7,200",24.90,26.90,"1,800",255.00,"3,600",1.10,1.70,"1,800",0.25,1.20,35.86,199,25,198,
,59,6,34,-,21.45,-3.15,"3,600",21.10,22.30,"14,400",260.00,"3,600",1.65,1.75,"9,000",0.35,1.70,34.54,913,33,660,
,55,2,14,-,17.45,-2.80,"1,800",16.85,17.85,"1,800",265.00,"3,600",2.45,2.75,"3,600",0.50,2.50,33.84,528,46,339,
,158,32,323,-,13.45,-2.70,"7,200",12.45,13.95,"7,200",270.00,"7,200",3.50,3.65,"5,400",0.70,3.55,32.98,"1,543",-14,712,
,185,18,297,16.98,10.00,-2.50,"1,800",10.05,10.95,"5,400",275.00,"1,800",4.95,5.15,"3,600",1.00,5.10,32.78,"1,316",86,700,
,746,196,"1,870",20.09,7.35,-1.95,"1,800",7.35,7.40,"5,400",280.00,"1,800",7.20,7.40,"7,200",1.45,7.30,33.45,"2,368",47,"1,083",
,979,257,"3,232",21.56,5.15,-1.45,"1,800",5.10,5.20,"7,200",285.00,"5,400",9.35,10.20,"1,800",1.90,10.05,34.49,"1,100",-18,430,
,"1,897",432,"6,059",22.63,3.50,-1.10,"3,600",3.50,3.60,"10,800",290.00,"5,400",13.05,14.35,"10,800",2.25,13.35,36.03,809,73,709,
,"1,069",151,"3,248",23.67,2.35,-0.80,"21,600",2.40,2.45,"12,600",295.00,"7,200",16.65,17.90,"1,800",3.35,18.00,41.57,263,32,317,
,"4,082",398,"4,920",25.42,1.70,-0.45,"5,400",1.65,1.70,"7,200",300.00,"1,800",21.10,22.20,"1,800",3.75,22.25,44.75,68,-10,480,
,"1,606",136,"1,502",26.75,1.20,-0.25,"10,800",1.15,1.25,"10,800",305.00,"3,600",25.45,27.25,"7,200",-2.25,20.60,-,5,4,135,
,"2,836",-1,"2,107",26.65,0.70,-0.25,"23,400",0.70,0.75,"18,000",310.00,"5,400",29.90,31.50,"1,800",3.80,31.55,52.71,9,-1,352,
,744,40,530,28.54,0.55,-0.10,"18,000",0.50,0.55,"37,800",315.00,"1,800",34.75,36.30,"12,600",-0.15,30.95,-,3,-,60,
,"1,739",192,925,29.04,0.35,-0.15,"3,87,000",0.35,0.40,"68,400",320.00,"1,800",39.35,41.35,"9,000",-3.05,31.80,-,5,2,638,
,219,-40,196,31.11,0.30,-0.05,"37,800",0.25,0.35,"41,400",325.00,"1,800",44.25,45.95,"1,800",-,38.10,-,-,-,34,
,947,-7,344,31.71,0.20,-0.10,"4,03,200",0.20,0.25,"2,01,600",330.00,"1,800",49.05,51.05,"3,600",0.30,49.90,62.68,2,-2,198,
,385,-13,115,34.31,0.20,-0.05,"1,11,600",0.15,0.20,"16,200",335.00,"7,200",54.05,55.90,"1,800",-,49.70,-,-,-,16,
,381,-16,100,35.30,0.15,-0.05,"1,67,400",0.15,0.20,"1,06,200",340.00,"12,600",58.95,61.00,"12,600",-0.35,41.35,-,-,-,211,
,41,-,-,-,0.15,-,"7,200",0.10,0.40,"5,400",345.00,"12,600",63.95,66.00,"5,400",-,45.20,-,-,-,4,
,504,-,42,37.92,0.10,-,"1,90,800",0.10,0.15,"1,31,400",350.00,"5,400",68.90,70.10,"1,800",11.20,60.35,-,1,1,89,
,124,-1,8,42.24,0.10,-,"86,400",0.05,0.15,"79,200",360.00,"12,600",78.80,80.70,"7,200",-,62.80,-,-,-,15,
,48,-,2,42.83,0.05,-0.10,"54,000",0.05,0.10,"5,400",370.00,"12,600",88.45,90.15,"7,200",0.05,86.10,-,-,-,51,
,38,4,6,57.91,0.10,-,"70,200",0.05,0.15,"9,000",400.00,-,-,-,-,-,-,-,-,-,-,-
