CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,19,-,-,-,328.00,-,325,260.75,269.70,"1,300","1,100.00",325,0.85,2.50,325,-,2.65,-,-,-,125,
,1,-,-,-,206.00,-,"2,275",211.95,221.95,"1,300","1,150.00","9,750",2.65,5.10,"6,500",-0.50,3.30,46.25,12,-4,69,
,3,-,-,-,223.45,-,"2,275",163.35,174.55,"1,300","1,200.00","9,750",5.25,8.35,"6,500",-0.65,5.75,42.46,98,35,130,
,11,-,-,-,202.10,-,"1,625",119.75,134.30,975,"1,250.00",650,10.75,11.75,325,-1.80,10.85,39.75,134,-21,113,
,189,26,48,36.08,90.00,-18.00,"3,250",79.45,96.70,"2,600","1,300.00",650,19.45,25.95,325,-0.65,22.75,39.83,385,-26,480,
,114,19,61,33.44,54.90,-18.85,325,50.00,59.55,325,"1,350.00",325,39.40,42.00,"1,950",1.10,41.80,40.07,457,52,188,
,571,149,721,35.07,33.50,-16.75,325,33.00,33.80,"3,575","1,400.00",325,67.80,70.40,325,4.40,69.65,41.28,216,-1,311,
,491,-41,257,37.03,20.15,-12.05,325,19.20,19.90,325,"1,450.00",975,92.80,111.05,"2,275",2.75,100.40,39.16,10,4,132,
,"1,017",34,850,38.04,11.25,-8.40,975,11.00,11.70,650,"1,500.00",650,143.80,155.00,650,14.10,139.10,38.34,4,-2,201,
,244,14,219,38.69,5.90,-5.75,"2,275",5.00,6.40,325,"1,550.00",650,187.90,196.45,325,13.85,190.10,48.57,10,-2,51,
,738,-95,934,40.01,3.25,-3.60,650,3.10,3.45,975,"1,600.00","2,600",232.75,243.30,"2,275",-0.05,182.75,-,-,-,38,
,225,-17,160,40.51,1.60,-2.70,975,1.80,4.20,650,"1,650.00","1,300",281.30,292.20,975,-,-,-,-,-,-,
,262,9,116,47.53,2.00,-1.05,650,1.50,1.95,325,"1,700.00","1,300",331.60,341.65,"1,625",-,359.95,-,-,-,1,
,121,5,26,50.31,1.50,-0.15,325,1.35,2.00,975,"1,750.00","1,300",381.10,391.35,975,-,496.00,-,-,-,1,
