CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,242.00,-,407,243.85,298.60,"1,221",880.00,814,1.00,2.10,814,-0.20,1.00,52.24,4,-,2,
-,-,-,-,-,-,-,-,-,-,-,900.00,"1,221",1.15,1.60,814,-0.45,1.40,50.95,130,2,76,
,2,-,-,-,189.25,-,"1,628",203.30,226.35,"1,221",920.00,"4,070",0.90,2.35,407,-0.20,2.10,50.38,136,-12,56,
-,-,-,-,-,-,-,-,-,-,-,940.00,407,0.85,1.65,407,-1.05,1.90,45.17,393,-6,108,
,1,-,-,-,131.50,-,"1,628",165.25,188.50,"1,221",960.00,814,2.65,2.75,407,-1.15,2.75,44.16,"1,291",70,101,
,2,1,10,60.81,165.35,24.25,"1,628",146.30,164.95,"1,221",980.00,407,3.70,6.25,407,-1.85,3.85,42.95,"1,716",37,140,
,36,-2,17,30.88,134.15,-8.05,407,127.50,142.40,"1,221","1,000.00",407,5.10,6.90,814,-2.25,5.15,41.32,"3,761",35,628,
,302,302,312,23.39,113.50,-217.60,"1,628",110.95,117.20,407,"1,020.00",407,5.80,8.10,407,-3.20,7.10,40.10,"1,371",203,278,
,9,-,3,28.43,96.55,4.40,"1,221",88.55,103.45,"1,221","1,040.00",407,9.90,12.25,407,-3.55,10.30,39.78,"1,994",55,241,
,106,12,41,29.30,80.00,-6.25,407,78.50,89.90,"1,221","1,060.00",407,11.60,19.05,407,-3.80,14.60,39.54,"2,310",54,259,
,186,8,172,31.34,66.15,-13.05,"1,221",60.40,74.60,"1,221","1,080.00",407,18.10,20.50,407,-4.25,19.60,38.75,"2,391",275,511,
,602,88,"3,147",31.82,53.00,-13.25,407,52.60,54.85,407,"1,100.00","2,035",25.00,26.50,407,-4.10,26.95,39.05,"4,525",229,667,
,431,206,"2,838",33.51,43.00,-12.20,407,41.55,42.90,814,"1,120.00",407,33.75,36.00,814,-3.30,36.45,39.95,"1,868",92,215,
,974,474,"6,173",33.49,33.05,-11.65,407,33.00,33.90,407,"1,140.00",407,44.25,46.50,407,-2.80,46.50,39.93,"1,488",124,177,
,525,354,"3,949",33.26,24.60,-11.55,407,24.60,25.80,814,"1,160.00",407,56.15,62.90,"1,628",-1.80,58.60,40.49,379,19,56,
,397,151,"2,405",34.69,19.40,-9.65,407,19.40,20.00,407,"1,180.00","2,442",68.20,76.30,"1,221",-1.65,71.10,40.14,92,11,22,
,"2,349","1,367","12,963",35.13,14.50,-8.25,407,14.45,15.05,407,"1,200.00","1,221",79.00,89.90,407,1.00,87.20,42.26,127,-22,170,
,501,322,"1,752",35.74,10.85,-7.20,407,9.50,11.10,814,"1,220.00","1,221",75.20,109.50,"2,035",-,129.85,-,-,-,1,
,472,261,"1,737",36.54,8.20,-5.85,407,8.00,8.45,"2,035","1,240.00",407,116.85,123.55,407,5.45,125.45,51.12,58,11,33,
,337,182,774,39.23,7.30,-3.75,407,5.15,9.00,407,"1,260.00","1,221",114.70,144.55,"1,221",-,178.00,-,-,-,2,
,122,98,543,38.80,5.00,-3.60,407,4.60,5.15,407,"1,280.00","1,221",135.10,163.10,"1,221",-,-,-,-,-,-,
,"1,243",316,"2,490",39.93,3.95,-2.80,407,3.90,4.05,407,"1,300.00",814,172.10,181.05,407,-5.60,173.05,47.15,27,3,88,
,46,15,234,40.63,3.00,-2.90,407,2.90,3.20,814,"1,320.00","1,221",158.95,201.80,"1,221",-,-,-,-,-,-,
,97,63,598,41.92,2.45,-1.80,407,2.45,2.70,407,"1,340.00","1,221",195.05,220.40,"1,221",-,262.00,-,-,-,1,
,120,37,182,44.07,2.25,-1.10,407,1.90,2.25,407,"1,360.00","1,221",180.70,239.35,"1,628",-,282.00,-,-,-,1,
,2,-,-,-,2.45,-,407,0.60,-,-,"1,380.00",-,-,-,-,-,-,-,-,-,-,-
,307,129,410,46.15,1.50,-0.90,814,1.40,1.65,407,"1,400.00","1,221",251.95,278.35,407,-,260.00,-,-,-,74,
,23,-,1,40.22,0.40,-1.60,"1,628",0.65,2.10,407,"1,420.00",-,-,-,-,-,-,-,-,-,-,-
,1,-,-,-,0.65,-,407,0.40,5.75,407,"1,440.00","1,221",298.90,322.50,"2,849",-,369.50,-,-,-,1,
,2,1,1,55.87,1.50,1.30,"1,221",0.35,1.75,"1,628","1,480.00","1,221",336.30,358.20,"1,221",-,399.00,-,-,-,1,
,7,-,-,-,1.90,-,814,0.25,1.80,407,"1,640.00",-,-,-,-,-,-,-,-,-,-,-
