CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,700.00,850,0.35,1.20,"2,550",0.35,1.15,53.74,3,-,3,
,-,-,-,-,-,-,"4,250",164.20,174.55,"2,550",720.00,850,1.00,1.40,"2,550",-0.55,1.00,47.27,22,-8,23,
,-,-,-,-,-,-,"3,400",144.20,155.10,"5,950",740.00,850,1.00,2.50,"2,550",0.20,1.45,45.06,104,30,99,
,-,-,-,-,-,-,"5,950",124.15,136.25,"2,550",760.00,"3,400",1.00,2.95,850,-0.40,1.75,41.24,75,28,34,
-,-,-,-,-,-,-,-,-,-,-,770.00,850,0.85,6.30,"3,400",0.30,2.80,42.75,19,8,9,
,-,-,-,-,-,-,"5,950",104.15,116.75,"3,400",780.00,"3,400",0.85,2.85,850,1.25,2.75,39.65,51,12,29,
,-,-,-,-,-,-,"4,250",96.65,107.35,"2,550",790.00,850,2.95,3.40,850,-0.10,3.20,38.17,96,29,228,
,2,2,2,-,84.25,-110.05,850,88.00,96.15,850,800.00,850,3.85,4.20,850,-0.25,3.85,36.99,418,53,201,
,11,9,17,-,77.80,-5.45,850,79.00,86.25,850,810.00,850,5.00,5.25,850,0.40,4.95,36.54,86,41,71,
,10,10,13,-,71.35,-105.45,850,70.25,77.40,850,820.00,"25,500",2.95,6.60,850,0.55,6.30,36.08,92,39,71,
,15,11,19,33.35,69.35,-7.75,"1,700",60.75,69.60,850,830.00,850,7.10,8.80,850,1.20,8.00,35.72,198,-,78,
,14,8,23,19.73,54.60,-16.60,850,52.65,62.60,850,840.00,"2,550",9.55,14.75,850,1.55,9.55,34.56,319,31,67,
,28,21,34,23.68,48.00,-10.55,"3,400",45.60,53.90,850,850.00,850,11.55,13.10,850,1.65,12.40,34.86,519,-3,148,
,35,11,68,29.68,44.55,-16.55,"1,700",40.45,49.00,850,860.00,"1,700",10.95,19.40,"8,500",2.65,15.05,34.20,391,25,71,
,54,26,88,29.63,37.95,-15.70,850,33.50,41.95,850,870.00,"1,700",14.25,20.20,850,3.40,19.00,34.61,788,33,100,
,166,117,577,28.61,31.15,-12.75,"1,700",27.55,33.30,850,880.00,850,22.45,24.80,850,2.40,21.65,32.78,"1,347",97,194,
,422,358,"1,152",28.20,25.45,-15.10,850,25.20,31.40,850,890.00,850,27.45,29.85,850,3.50,26.95,33.52,664,95,208,
,953,343,"2,118",28.51,21.00,-9.95,850,19.15,24.00,"3,400",900.00,850,32.15,36.80,"2,550",4.50,32.25,33.60,848,-13,275,
,161,5,583,28.84,17.20,-8.80,850,13.10,19.70,850,910.00,"1,700",32.65,46.45,"2,550",5.40,36.95,32.30,81,-9,55,
,400,2,"1,074",28.87,13.75,-8.45,850,13.00,14.00,850,920.00,"1,700",41.40,49.30,850,4.00,43.35,32.37,176,-6,148,
,531,46,549,27.87,10.10,-8.35,850,6.10,12.50,850,930.00,"8,500",44.75,55.65,850,7.75,53.70,36.93,21,-2,56,
,107,-18,396,29.16,8.60,-6.75,850,5.15,12.00,"6,800",940.00,"1,700",53.30,65.85,"5,950",5.15,58.65,33.99,29,2,19,
,203,-43,"1,026",29.55,6.85,-5.50,850,6.80,7.10,850,950.00,850,65.15,72.30,850,-6.75,65.20,32.30,4,-2,11,
,87,43,174,30.35,5.65,-4.90,850,1.95,9.55,"25,500",960.00,"1,700",71.20,81.10,850,-,62.15,-,-,-,8,
,19,-17,74,30.98,4.60,-3.95,850,4.15,4.65,850,970.00,"1,700",82.70,90.70,"3,400",21.25,91.25,47.95,6,-,7,
,92,42,168,31.73,3.80,-3.65,850,3.40,3.85,850,980.00,850,90.60,99.05,850,15.10,93.30,38.04,6,2,19,
,104,60,120,31.93,2.95,-2.55,850,2.65,3.00,850,990.00,850,100.70,107.60,"1,700",13.95,109.75,51.96,7,-,3,
,435,103,477,32.52,2.40,-2.40,850,2.25,2.70,"2,550","1,000.00",850,110.00,117.30,850,-,107.40,-,-,-,11,
,18,-,-,-,6.30,-,"6,800",1.20,4.70,850,"1,010.00","2,550",117.30,130.40,"5,950",-,113.00,-,-,-,4,
,40,-,-,-,3.30,-,"6,800",1.20,5.25,"25,500","1,020.00","3,400",127.35,140.80,"2,550",-,123.05,-,-,-,5,
,13,1,10,34.39,1.00,-2.05,850,0.80,1.55,850,"1,040.00","5,950",146.45,157.75,"11,900",-,-,-,-,-,-,
,95,-6,128,34.80,0.80,-1.35,"4,250",0.75,0.95,850,"1,050.00","2,550",155.50,165.70,850,-,164.90,-,-,-,5,
,26,-,-,-,1.90,-,"1,700",0.40,4.05,"25,500","1,060.00","3,400",166.05,179.55,"5,950",-,149.65,-,-,-,-,
,3,-,-,-,1.45,-,"1,700",0.30,4.05,"25,500","1,080.00","2,550",186.15,199.45,"5,950",-,-,-,-,-,-,
,2,-,1,36.69,0.35,-2.55,"1,700",0.30,3.40,850,"1,090.00",-,-,-,-,-,-,-,-,-,-,-
,21,-8,11,39.43,0.45,-0.60,850,0.45,1.40,"4,250","1,100.00",-,-,-,-,-,-,-,-,-,-,-
