CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"4,000",100.90,105.10,"4,000",320.00,"2,000",0.25,0.80,"1,000",-,-,-,-,-,-,
,44,-,-,-,87.20,0.80,"4,000",82.00,85.15,"4,000",340.00,"3,000",1.05,1.15,"6,000",0.10,1.10,58.06,795,-39,649,
,4,2,3,-,75.40,-2.10,"1,000",72.50,75.55,"1,000",350.00,"2,000",1.50,1.60,"4,000",0.15,1.55,56.03,547,93,229,
,23,-,6,-,66.50,-14.80,"4,000",63.00,66.00,"7,000",360.00,"3,000",2.10,2.20,"1,000",0.25,2.20,54.23,665,21,529,
,62,36,57,28.73,57.40,-8.95,"4,000",54.15,56.55,"4,000",370.00,"1,000",2.90,3.20,"3,000",0.40,3.05,52.24,668,144,397,
,184,30,70,-,47.20,-14.95,"3,000",45.45,47.60,"1,000",380.00,"4,000",4.50,4.60,"1,000",0.90,4.55,51.75,"1,748",189,861,
,136,15,58,28.91,38.55,-14.05,"1,000",37.50,39.55,"2,000",390.00,"2,000",6.30,6.50,"1,000",1.30,6.30,50.52,"1,933",189,646,
,493,-48,290,35.90,31.85,-12.20,"1,000",31.00,31.95,"1,000",400.00,"10,000",9.00,9.25,"2,000",2.30,9.05,50.36,"6,655",699,"2,079",
,421,19,339,35.66,24.60,-11.95,"1,000",24.05,25.55,"1,000",410.00,"1,000",12.25,12.85,"1,000",3.55,12.55,50.04,"4,154",217,"1,007",
,"1,013",314,"2,974",37.21,19.20,-10.40,"6,000",19.00,19.30,"5,000",420.00,"3,000",16.60,16.90,"2,000",4.60,16.60,49.96,"6,619",94,"1,420",
,"1,807",695,"7,110",38.34,14.60,-8.75,"1,000",14.15,14.60,"2,000",430.00,"1,000",21.75,22.35,"1,000",6.50,22.20,50.92,"7,606",275,"1,312",
,"3,553","1,333","12,809",39.12,10.60,-7.40,"11,000",10.50,10.70,"1,000",440.00,"1,000",27.40,28.40,"1,000",8.00,28.40,52.50,"4,011",125,"1,542",
,"4,161","1,283","12,224",39.72,7.75,-5.95,"7,000",7.70,7.85,"2,000",450.00,"2,000",34.45,36.20,"1,000",8.45,34.40,51.34,"1,379",143,997,
,"2,872","1,059","7,565",40.39,5.55,-4.65,"4,000",5.40,5.60,"10,000",460.00,"5,20,000",43.10,44.40,"1,000",10.75,43.25,56.22,416,-30,421,
,"2,067",571,"5,171",41.31,4.00,-3.50,"2,000",3.90,4.10,"3,000",470.00,"1,000",50.30,52.35,"2,000",11.50,50.95,56.81,133,52,354,
,"2,273",657,"6,226",42.34,2.90,-2.65,"3,000",2.85,2.95,"4,000",480.00,"1,000",59.10,61.45,"2,000",12.35,59.85,59.93,103,2,512,
,"1,240",229,"2,825",43.34,2.10,-2.00,"5,000",2.00,2.15,"3,000",490.00,"1,000",67.95,71.30,"7,000",12.20,67.30,57.02,20,4,199,
,"6,220","1,292","6,586",44.83,1.60,-1.55,"5,000",1.55,1.65,"7,000",500.00,"2,000",77.85,79.80,"1,000",13.20,78.50,67.06,143,19,915,
,878,213,"1,605",45.22,1.10,-1.20,"1,000",1.00,1.15,"3,000",510.00,"1,000",86.05,89.65,"1,000",10.50,81.30,-,29,4,51,
,"1,113",149,"1,152",46.66,0.85,-0.90,"4,000",0.75,0.85,"4,000",520.00,"1,000",96.30,99.40,"1,000",11.60,94.55,59.65,19,-1,406,
,532,-4,632,47.26,0.60,-0.70,"3,000",0.60,0.65,"19,000",530.00,"3,000",104.90,109.60,"7,000",-,94.00,-,-,-,249,
,468,20,414,49.86,0.55,-0.50,"3,000",0.50,0.60,"3,000",540.00,"3,000",114.70,119.20,"2,000",-,128.75,-,-,-,161,
,"1,457",180,"1,069",51.41,0.45,-0.45,"8,000",0.45,0.50,"10,000",550.00,"1,000",125.30,129.15,"1,000",10.05,123.65,66.73,26,5,719,
,163,-3,162,53.50,0.40,-0.35,"1,000",0.35,0.40,"1,000",560.00,"1,000",135.55,138.90,"1,000",-27.80,123.20,-,10,3,134,
,165,10,31,55.35,0.35,-0.30,"8,000",0.35,0.40,"6,000",570.00,"4,000",144.25,149.35,"3,000",-,164.20,-,-,-,102,
,295,10,69,55.57,0.25,-0.25,"11,000",0.25,0.40,"8,000",580.00,"1,000",154.90,158.00,"2,000",13.30,153.30,75.74,16,-,181,
,51,-,4,59.62,0.30,-0.10,"19,000",0.20,0.40,"10,000",590.00,"1,000",164.85,169.10,"1,000",-33.10,152.45,-,2,-,19,
,563,-44,96,59.12,0.20,-0.25,"37,000",0.20,0.35,"6,000",600.00,"1,000",175.15,177.00,"1,000",9.60,172.60,76.20,18,-1,320,
,67,-2,3,63.30,0.25,-0.10,"3,000",0.20,0.35,"1,000",610.00,"4,000",185.05,188.85,"1,000",-,169.00,-,-,-,56,
,201,-,26,63.99,0.20,-0.10,"13,000",0.15,0.30,"4,000",620.00,"7,000",194.90,198.90,"1,000",-6.40,182.10,-,7,-,168,
