CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,-,-,-,250.35,-,"3,500",261.75,271.20,"1,500","1,020.00","1,12,500",0.40,0.45,"5,000",-0.10,0.40,42.27,162,-87,376,
,-,-,-,-,-,-,"3,500",242.25,251.30,"1,500","1,040.00","15,500",0.40,0.50,"2,000",-0.10,0.45,39.77,79,-29,479,
,1,-,-,-,165.00,-,"2,000",221.80,231.35,"1,500","1,060.00","27,500",0.35,0.45,"7,500",-0.10,0.40,36.10,47,-36,486,
,-,-,-,-,-,-,"1,500",202.15,211.70,"2,000","1,080.00",500,0.50,0.55,"7,500",-0.10,0.45,33.59,36,-5,613,
-,-,-,-,-,-,-,-,-,-,-,"1,090.00","1,000",0.45,0.50,"1,000",-0.05,0.50,32.54,3,-,121,
,218,-,18,-,183.00,-5.00,"4,500",186.00,189.55,"2,000","1,100.00","1,500",0.70,0.75,"35,000",-0.05,0.70,32.58,483,-20,"2,326",
-,-,-,-,-,-,-,-,-,-,-,"1,110.00","1,000",0.80,0.90,"1,500",-0.10,0.80,31.65,44,36,380,
,1,-,-,-,170.00,-,"1,500",162.20,172.50,"1,500","1,120.00","4,500",0.85,0.90,"2,500",-0.10,0.85,30.33,190,-6,983,
,-,-,-,-,-,-,"1,500",152.65,162.25,"1,500","1,130.00",500,0.95,1.05,"1,000",-,1.05,29.75,227,42,548,
,-,-,-,-,-,-,"1,500",142.50,152.75,"1,500","1,140.00","1,500",1.05,1.20,500,-0.20,1.05,28.09,328,62,837,
,195,-,3,-,129.00,-6.00,"2,000",137.40,142.80,"6,500","1,150.00","2,000",1.30,1.35,"1,000",-0.10,1.35,27.68,715,-40,"1,896",
,649,-1,1,-,128.70,2.10,"1,000",127.05,131.20,"1,000","1,160.00","1,500",1.50,1.55,"2,000",-0.20,1.50,26.51,321,20,"1,628",
,25,-,-,-,101.10,-,"3,500",116.50,122.70,"3,500","1,170.00","1,500",1.80,1.85,"1,000",-0.25,1.85,25.86,418,43,933,
,132,-,6,-,106.75,-8.60,"2,500",108.55,111.35,"1,000","1,180.00","4,000",2.15,2.25,"3,500",-0.45,2.15,24.88,789,37,"1,894",
,39,-1,2,-,91.35,-8.50,"1,000",98.80,101.55,500,"1,190.00","1,500",2.65,2.70,"2,000",-0.45,2.65,24.20,474,56,957,
,"2,625",-87,261,18.33,91.00,2.85,500,90.40,91.00,500,"1,200.00","1,500",3.30,3.40,"1,000",-0.50,3.40,23.78,"2,639",-65,"7,551",
,283,1,39,-,79.55,-3.45,500,80.70,82.90,500,"1,210.00","2,500",3.95,4.05,"1,500",-0.70,4.00,22.80,905,16,"1,044",
,720,-20,102,18.19,72.55,2.10,"1,000",71.60,73.65,500,"1,220.00",500,4.85,4.95,"3,000",-0.90,4.85,21.99,"1,543",-14,"2,160",
,804,-8,156,18.24,63.85,2.00,500,63.30,63.90,500,"1,230.00","1,000",6.00,6.10,500,-1.10,6.00,21.32,"1,495",45,"1,575",
,"1,757",-108,515,18.20,55.50,1.95,500,54.85,55.45,500,"1,240.00","1,500",7.40,7.60,500,-1.20,7.55,20.79,"2,968",29,"2,936",
,"5,213",-92,"1,245",17.85,47.35,1.70,"5,000",47.00,47.35,"13,500","1,250.00","18,500",9.30,9.50,"1,000",-1.55,9.35,20.15,"3,073",161,"5,290",
,"3,905",-470,"3,643",17.13,39.30,1.15,500,39.10,39.30,500,"1,260.00","11,500",11.50,11.75,500,-1.80,11.55,19.50,"3,782",-46,"2,992",
,"6,535",508,"5,368",16.64,32.00,0.70,500,31.85,32.15,500,"1,270.00","1,500",14.20,14.40,"1,000",-2.25,14.20,18.83,"4,828",60,"2,083",
,"10,619",717,"14,314",16.28,25.50,0.30,"2,000",25.35,25.70,"5,500","1,280.00","1,000",17.85,18.00,"1,000",-2.35,18.00,18.65,"8,536",51,"3,730",
,"3,251",493,"7,562",16.37,20.30,0.20,"1,000",20.25,20.35,"1,000","1,290.00",500,22.10,22.55,"1,000",-2.75,22.30,18.33,"2,772",229,"1,313",
,"20,959",299,"18,284",16.32,15.70,0.05,500,15.60,15.70,"3,000","1,300.00",500,27.50,27.80,"1,000",-2.95,27.40,18.10,"3,262",-63,"5,081",
,"2,212",113,"3,413",16.26,11.85,-0.10,500,11.85,11.95,"1,000","1,310.00",500,32.85,34.70,500,-3.05,33.75,18.34,720,-24,386,
,"4,843",27,"5,022",16.50,9.05,-0.05,"1,500",8.90,9.05,"2,000","1,320.00",500,40.10,41.80,500,-3.40,40.55,18.44,363,4,"1,002",
