CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,249.95,-,"1,125",266.30,278.90,"1,500","1,200.00","2,250",0.45,1.10,"3,750",-,0.65,-,-,-,112,
,-,-,-,-,-,-,"2,625",247.50,263.05,"1,500","1,220.00","1,125",0.15,6.20,"15,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,125",226.05,242.90,"1,500","1,240.00","1,125",0.25,6.20,"15,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,125",207.85,223.25,"1,500","1,260.00","3,000",0.35,6.25,"1,500",-,0.60,-,-,-,9,
,10,-,-,-,171.85,-,"1,500",188.40,200.15,"1,500","1,280.00",750,0.35,3.15,"4,125",-0.05,1.05,30.72,25,-7,194,
,4,-,-,-,172.00,-,"1,125",168.50,178.30,"1,500","1,300.00",375,1.05,2.40,750,-0.20,1.20,28.50,134,-44,402,
,6,-,-,-,137.65,-,"1,125",148.20,159.20,"1,500","1,320.00",375,1.15,1.80,375,-0.50,1.55,26.84,21,-2,133,
,3,-,-,-,131.00,-,"2,625",128.80,139.85,"1,500","1,340.00",750,1.55,2.75,375,-0.55,2.40,26.12,75,19,192,
,48,-,-,-,123.25,0.20,"1,125",111.15,121.25,"1,500","1,360.00",750,3.50,3.85,375,-0.70,3.60,25.28,136,-24,289,
,66,4,14,17.20,95.50,-8.30,"1,875",93.25,102.85,"1,125","1,380.00",375,5.00,8.95,"15,000",-1.00,5.30,24.37,310,42,353,
,304,-2,35,22.54,81.20,-3.40,750,75.05,83.05,375,"1,400.00",375,5.05,9.30,375,-1.30,7.90,23.66,650,34,649,
,96,6,50,19.88,62.75,-5.25,"1,875",59.60,68.20,375,"1,420.00",375,11.05,16.85,"1,500",-1.05,12.25,23.57,355,9,370,
,581,-11,150,21.03,49.60,-2.30,750,47.55,52.20,375,"1,440.00",375,16.55,20.00,750,-1.60,17.20,22.72,426,3,671,
,"1,867",28,902,22.67,39.50,-0.35,"1,125",35.95,39.65,375,"1,460.00",375,24.00,24.50,"5,250",-1.65,24.45,22.37,"1,179",51,815,
,575,43,"1,162",21.67,27.90,-1.45,375,27.45,28.00,375,"1,480.00",375,33.00,36.15,375,-0.65,34.75,22.81,416,-26,262,
,"1,566",62,"1,343",21.25,19.15,-1.50,375,19.05,21.30,750,"1,500.00",375,44.45,49.00,375,-0.35,45.90,22.44,369,46,444,
,"1,735",-37,"1,059",21.14,12.80,-1.35,375,12.15,13.00,750,"1,520.00",375,55.00,60.80,375,0.15,59.80,22.77,44,9,46,
,"1,012",10,748,21.50,8.65,-0.85,375,8.35,8.70,375,"1,540.00",750,70.65,79.25,"2,625",-3.65,70.95,18.77,8,1,31,
,"1,467",4,579,21.95,5.80,-0.70,375,4.90,5.90,"1,125","1,560.00","1,125",88.55,97.20,"1,500",0.65,94.15,25.93,4,1,18,
,272,-7,251,22.80,4.10,-0.60,375,3.90,4.15,"6,375","1,580.00","2,250",105.40,116.25,"2,625",2.50,111.30,26.25,1,-,11,
,"2,184",-134,630,24.26,3.25,-0.25,375,3.20,3.30,375,"1,600.00",750,125.85,132.30,375,1.10,123.80,-,4,-,187,
,257,24,113,24.97,2.30,-0.25,"1,125",2.35,2.50,375,"1,620.00",750,144.15,154.75,"2,625",-,161.75,-,-,-,10,
,123,-4,30,26.01,1.75,-0.25,375,1.80,1.95,375,"1,640.00","1,500",163.10,172.25,375,-,159.90,-,-,-,5,
,117,2,7,28.04,1.65,-0.25,750,1.40,1.60,375,"1,660.00",-,-,-,-,-,-,-,-,-,-,-
,358,-,15,28.85,1.25,-,"1,500",1.00,1.30,750,"1,680.00","1,500",202.10,213.50,"1,500",-,230.05,-,-,-,3,
-,-,-,-,-,-,-,-,-,-,-,"1,720.00","3,750",239.45,253.20,"1,500",-,295.00,-,-,-,1,
,91,1,15,33.67,0.65,-0.10,"2,250",0.70,1.00,"3,000","1,760.00","1,500",280.35,290.95,"1,500",-,276.55,-,-,-,8,
