CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,600.00,"33,750",0.20,0.25,"53,250",-0.05,0.25,42.45,145,8,"1,034",
-,-,-,-,-,-,-,-,-,-,-,620.00,"15,000",0.30,0.40,"54,750",-0.10,0.40,39.66,430,66,665,
-,-,-,-,-,-,-,-,-,-,-,630.00,"2,250",0.55,0.65,"3,750",-0.10,0.60,39.29,934,244,423,
,3,3,3,69.74,127.00,-85.60,"1,500",117.15,120.60,"3,000",640.00,"3,000",0.75,0.80,"17,250",-0.15,0.75,37.81,892,10,494,
-,-,-,-,-,-,-,-,-,-,-,650.00,"5,250",1.00,1.05,"6,750",-0.15,1.05,37.10,"2,242",238,"1,403",
,-,-,-,-,-,-,"5,250",96.60,100.35,"5,250",660.00,"5,250",1.35,1.45,"12,000",-0.10,1.35,35.81,"2,549",517,"1,253",
,-,-,-,-,-,-,"3,750",86.95,89.75,"3,750",670.00,"2,250",1.90,1.95,"2,250",-0.05,1.85,35.02,"3,558",410,969,
,146,3,73,32.89,80.00,-2.65,750,78.65,80.45,"1,500",680.00,"3,750",2.65,2.75,"12,000",0.15,2.70,34.87,"6,786","1,451","3,295",
,60,33,62,32.40,70.95,-11.75,750,69.60,71.70,750,690.00,"3,750",3.60,3.75,"1,500",0.25,3.70,34.32,"6,546",896,"1,628",
,629,52,"1,521",31.91,62.20,-11.85,"1,500",61.80,62.35,"1,500",700.00,"4,500",4.80,5.00,"11,250",0.45,4.95,33.65,"26,095","3,859","9,021",
,121,25,95,31.59,53.90,-11.80,"1,500",52.30,54.25,"1,500",710.00,750,6.35,6.50,"3,750",0.50,6.40,32.67,"13,702",692,"1,655",
,387,48,485,30.87,45.85,-10.90,"3,750",44.90,45.80,750,720.00,750,8.35,8.45,"2,250",0.65,8.40,32.01,"20,047",558,"3,675",
,440,116,617,30.32,38.40,-10.90,750,37.55,38.50,750,730.00,750,10.60,10.70,750,0.75,10.60,30.87,"16,426","1,126","2,537",
,"1,724","1,117","4,525",29.56,31.40,-10.55,"3,750",31.00,31.50,"2,250",740.00,750,13.70,14.20,"4,500",1.35,13.75,30.37,"22,469","1,881","4,034",
,"5,426","3,193","22,659",29.44,25.50,-9.75,"3,000",25.40,25.60,"7,500",750.00,750,17.80,18.00,"9,000",2.35,17.95,30.22,"36,670","2,055","7,889",
,"11,638","8,933","52,300",29.34,20.30,-8.70,750,20.30,20.40,"9,000",760.00,750,22.55,22.80,750,3.35,22.75,30.32,"35,799","4,104","7,776",
,"15,366","8,891","63,045",29.25,15.85,-7.70,"3,000",15.80,16.00,"27,000",770.00,750,27.85,29.60,"3,750",4.25,28.10,29.98,"17,985","1,703","5,106",
,"15,612","6,542","48,977",29.15,12.25,-6.50,"12,750",12.20,12.35,750,780.00,750,34.25,35.15,750,5.25,34.15,29.63,"4,796",311,"3,466",
,"7,468","4,032","27,637",29.09,9.25,-5.20,750,9.05,9.25,"1,500",790.00,"1,500",41.05,42.00,750,6.25,40.80,29.14,"1,315",143,"1,201",
,"23,507","11,501","72,392",29.22,6.95,-4.10,"3,000",6.90,7.00,"67,500",800.00,750,48.80,49.00,"1,500",7.90,49.00,30.28,"1,428",135,"4,588",
,"3,796","1,488","20,502",29.36,5.15,-3.15,"8,250",5.10,5.25,"6,750",810.00,"3,750",56.95,58.10,750,10.50,59.00,34.15,251,77,324,
,"7,957","2,250","27,797",29.71,3.85,-2.35,"5,250",3.85,3.90,"21,750",820.00,"16,500",65.25,67.50,750,9.00,65.35,30.08,153,-17,"1,423",
,"4,671","1,027","14,607",30.47,3.00,-1.70,750,2.95,3.00,"6,000",830.00,"3,750",74.30,75.70,750,13.60,77.85,39.02,93,13,572,
,"4,524","1,661","12,538",31.24,2.35,-1.20,"78,000",2.20,2.35,"2,250",840.00,750,83.35,84.90,750,12.95,86.50,39.28,71,-24,"1,658",
,"7,721","3,183","15,116",32.40,1.95,-0.75,"31,500",1.75,1.85,"3,750",850.00,750,92.95,94.00,750,11.40,93.65,34.31,88,7,"1,246",
,"2,906","1,384","5,742",32.23,1.35,-0.70,"3,000",1.35,1.40,"6,000",860.00,"1,500",102.55,104.70,"3,750",14.10,102.10,30.28,19,-,347,
,"1,152",407,"2,738",32.59,1.00,-0.55,"12,750",1.00,1.05,"3,000",870.00,750,111.90,113.80,750,6.10,106.85,-,9,1,317,
,"1,072",57,"2,200",33.39,0.80,-0.40,"6,750",0.80,0.85,"23,250",880.00,750,121.35,124.10,"3,750",-,110.00,-,-,-,229,
,382,44,762,33.80,0.60,-0.45,"32,250",0.55,0.65,"2,250",890.00,750,130.70,133.25,"1,500",-,115.35,-,-,-,10,
,"3,712",697,"3,884",35.74,0.60,-0.25,"12,750",0.55,0.60,"10,500",900.00,750,141.35,142.40,"1,500",12.90,142.65,43.31,95,19,"1,976",
,969,149,448,36.54,0.35,-0.15,"6,750",0.30,0.35,"15,750",920.00,"3,000",159.40,163.15,750,-,143.45,-,-,-,20,
,638,-53,189,40.36,0.20,-0.10,"1,05,750",0.15,0.25,"29,250",960.00,"3,000",199.15,202.40,"1,500",-,189.00,-,-,-,17,
