CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"22,500.00",200,2.15,-,-,-,20.00,-,-,-,32,
,-,-,-,-,-,-,175,"4,178.60","4,470.80",100,"23,500.00",200,2.15,-,-,-,-,-,-,-,-,
,2,-,-,-,"1,699.00",-,75,"3,700.30","3,965.20",175,"24,000.00","1,000",20.80,-,-,-,-,-,-,-,-,
,44,-,-,-,"2,497.50",-,75,"3,246.05","3,448.20",100,"24,500.00",25,44.10,64.20,25,6.25,55.90,35.76,20,-3,201,
,-,-,-,-,-,-,75,"2,959.85","3,240.90",100,"24,750.00","1,250",31.05,-,-,-,-,-,-,-,-,
,14,-,-,-,"2,383.85",-,75,"2,773.35","2,985.30",100,"25,000.00",25,70.50,87.80,25,1.10,72.85,33.41,99,5,249,
,2,-,-,-,"2,349.30",-,125,"2,488.40","2,843.60",100,"25,250.00",250,50.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,125,"2,252.15","2,569.95",75,"25,500.00",250,65.45,-,-,-,200.00,-,-,-,12,
,1,-,-,-,"1,477.05",-,75,"2,030.90","2,345.85",100,"25,750.00",125,91.80,-,-,-,169.35,-,-,-,10,
,116,-,-,-,"2,042.75",-,25,"1,896.50","2,073.20",100,"26,000.00",25,155.05,193.60,500,-3.90,155.05,30.48,172,1,331,
,7,-,-,-,"1,518.70",-,75,"1,557.40","1,907.60",100,"26,250.00","1,000",109.70,-,-,-0.35,318.60,-,-,-,15,
,48,-,-,-,"1,577.40",-,100,"1,446.00","1,650.90",100,"26,500.00",25,230.05,281.65,500,20.65,245.00,30.10,64,-28,143,
,23,-,-,-,"1,800.00",-,75,"1,137.40","1,517.00",100,"26,750.00",100,196.40,-,-,-,465.00,-,-,-,19,
,122,-9,21,14.44,"1,090.00",-480.95,75,"1,070.90","1,239.55",25,"27,000.00",25,350.10,379.90,25,-0.50,351.15,28.84,"1,966",78,285,
,31,-,1,24.08,"1,093.65",-371.35,75,886.05,"1,163.05",100,"27,250.00",25,368.45,529.80,500,58.80,457.85,29.85,47,1,25,
,43,9,28,21.48,868.15,-271.95,25,763.55,986.15,250,"27,500.00",25,485.35,644.05,500,27.35,540.00,29.32,81,-,66,
,11,2,22,22.45,744.10,-439.65,25,722.05,828.60,400,"27,750.00",50,601.10,754.60,450,28.90,628.90,28.62,244,-73,40,
,219,84,431,21.99,600.00,-292.10,25,550.05,614.70,25,"28,000.00",100,707.15,819.45,50,71.15,791.00,30.21,675,130,215,
,4,4,13,21.76,478.75,-146.25,750,451.20,564.85,25,"28,250.00",50,879.45,"1,059.00",25,281.45,"1,112.50",37.30,28,9,14,
,229,14,244,24.02,438.10,-209.55,25,370.75,448.00,25,"28,500.00",25,"1,051.10","1,136.90",25,142.55,"1,119.45",32.16,13,-2,19,
,-,-,-,-,-,-,75,216.00,528.05,175,"28,750.00",100,"1,113.30",-,-,-,-,-,-,-,-,
,255,15,311,24.37,287.25,-170.45,50,280.00,300.00,25,"29,000.00",50,"1,415.20","1,582.85",75,2.70,"1,415.80",-,-,-,34,
,-,-,-,-,-,-,100,98.30,381.65,100,"29,250.00",100,"1,499.15","1,902.95",175,-,"2,531.35",-,-,-,4,
,137,20,39,25.89,204.50,-124.95,25,182.45,204.00,25,"29,500.00",100,"1,816.80","1,976.40",75,-,"1,756.85",-,-,-,2,
,6,2,15,25.67,156.35,5.25,50,38.60,310.60,100,"29,750.00",125,"1,955.40","2,320.05",175,-,"2,276.25",-,-,-,2,
,514,-4,616,26.46,132.85,-87.30,25,131.05,144.45,25,"30,000.00",100,"2,252.95","2,428.75",75,-92.45,"2,350.05",40.01,2,-1,10,
,-,-,-,-,-,-,100,5.05,244.55,100,"30,250.00",100,"2,397.75","2,759.50",100,-,-,-,-,-,-,
,104,9,35,27.27,88.00,-63.50,750,74.55,95.00,25,"30,500.00",100,"2,705.10","2,877.80",75,-,"2,998.30",-,-,-,4,
,2,2,2,28.15,76.75,-97.15,"1,000",2.35,200.45,100,"30,750.00",100,"2,889.50","3,220.60",75,"-1,295.00","2,900.65",36.77,10,6,6,
,179,-,313,28.28,60.15,-43.40,25,60.20,67.00,25,"31,000.00",100,"3,179.25","3,358.70",75,-,-,-,-,-,-,
,-,-,-,-,-,-,50,18.45,164.25,175,"31,250.00",100,"3,400.50","3,680.25",100,-,-,-,-,-,-,
,-,-,-,-,-,-,200,10.15,-,-,"31,500.00",100,"3,617.60","3,856.55",175,-,-,-,-,-,-,
,43,21,39,31.17,34.00,-9.05,75,15.15,34.00,125,"32,000.00",100,"4,147.50","4,313.85",75,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"32,500.00",75,"4,063.40","4,814.90",100,-,-,-,-,-,-,
