CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,430.00,"6,000",0.35,0.60,750,-,0.40,-,-,-,112,
,3,-,-,-,100.00,-,"3,750",117.35,122.70,"2,250",450.00,"1,500",0.95,1.05,"4,500",0.10,0.80,53.55,942,90,445,
,21,-,-,-,120.00,-,"5,250",107.50,112.50,750,460.00,"1,500",1.00,1.10,750,0.05,1.05,51.87,83,38,138,
,-,-,-,-,-,-,"2,250",97.70,103.40,"2,250",470.00,750,1.15,1.30,750,0.05,1.20,48.82,126,21,151,
,13,-,-,-,74.25,4.05,"3,000",88.35,93.05,"1,500",480.00,"1,500",1.50,1.60,"3,750",0.15,1.50,46.61,297,26,358,
,23,-,5,-,74.65,0.35,750,78.75,82.80,"3,000",490.00,"2,250",1.75,2.00,"1,500",0.20,2.00,45.06,269,-8,204,
,122,6,26,26.66,71.00,-10.80,750,70.45,73.25,750,500.00,750,2.55,2.65,750,0.30,2.65,43.47,549,117,"1,040",
,109,-,2,-,57.25,-22.10,"2,250",60.65,64.35,"5,250",510.00,750,2.05,3.55,"1,500",0.20,3.25,40.95,787,-23,234,
,226,-10,22,35.38,54.00,-6.20,750,52.60,54.70,750,520.00,750,4.55,4.65,"3,750",0.65,4.65,40.44,"1,128",130,848,
,132,-17,64,35.50,45.80,-3.85,"1,500",44.75,47.20,750,530.00,"1,500",6.05,6.50,750,0.75,6.30,39.40,"1,199",-1,524,
,458,2,192,35.29,38.10,-4.30,750,36.75,42.10,"3,750",540.00,750,7.05,11.30,750,1.45,8.85,39.32,"1,268",-93,471,
,284,-43,519,36.04,31.55,-2.15,750,29.80,32.65,750,550.00,750,11.40,11.80,750,1.30,11.55,38.21,"2,197",168,819,
,483,132,"1,811",35.57,25.20,-1.90,750,25.15,25.50,750,560.00,750,11.20,15.50,750,-0.50,13.05,33.58,"2,911",166,550,
,797,384,"2,499",37.42,20.90,-0.80,"3,750",19.90,21.00,"2,250",570.00,"19,500",18.70,22.70,750,2.25,20.10,38.11,"1,291",-16,368,
,790,125,"1,495",35.94,15.60,-1.40,750,15.35,15.85,750,580.00,750,24.65,27.30,"1,500",2.75,25.65,38.31,718,-156,339,
,504,-533,"1,693",35.31,11.55,-1.50,750,11.45,12.15,"2,250",590.00,"2,250",30.90,33.95,"1,500",3.15,32.05,38.76,234,-49,143,
,"1,958",-108,"3,104",35.49,8.65,-1.20,"6,000",8.50,8.90,750,600.00,"3,000",37.10,39.70,750,2.95,39.00,39.03,71,4,312,
,430,-28,"1,396",35.73,6.40,-1.05,750,6.35,7.00,750,610.00,"1,500",45.00,49.00,"2,250",3.55,46.85,40.02,12,1,46,
,564,62,"1,180",36.62,4.90,-0.70,"1,500",4.70,4.95,"19,500",620.00,"1,500",53.50,56.60,750,11.60,60.00,52.32,2,1,138,
,324,29,866,37.17,3.65,-0.50,750,3.45,3.75,"2,250",630.00,"3,000",61.00,66.35,"3,000",20.55,74.95,68.23,1,-,22,
,553,199,617,37.69,2.70,-0.35,750,2.55,2.80,"2,250",640.00,"3,750",70.65,74.10,"1,500",7.20,72.45,42.34,43,-,311,
,298,37,645,38.50,2.05,-0.35,750,2.00,2.15,"2,250",650.00,"6,000",79.75,83.80,"1,500",3.95,81.55,43.16,4,-,93,
,175,-18,157,39.24,1.55,-0.30,"1,500",1.55,1.65,"3,000",660.00,"3,000",88.80,92.25,750,13.45,97.80,66.07,12,9,27,
,58,30,83,39.80,1.15,-0.25,750,1.20,1.30,"1,500",670.00,-,-,-,-,-,-,-,-,-,-,-
,234,-9,37,41.56,1.00,-0.15,750,0.90,1.05,750,680.00,-,-,-,-,-,-,-,-,-,-,-
,2,-,-,-,0.70,-,750,0.60,1.00,750,690.00,-,-,-,-,-,-,-,-,-,-,-
,106,8,24,44.18,0.70,-0.05,"1,500",0.60,0.70,"7,500",700.00,"2,250",127.55,133.10,"5,250",-,140.00,-,-,-,2,
,37,3,3,44.28,0.35,-0.15,750,0.30,0.40,750,720.00,-,-,-,-,-,-,-,-,-,-,-
