CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,70.00,"4,725",0.20,0.25,"56,700",-,0.25,79.43,17,11,87,
,-,-,-,-,-,-,"33,075",18.30,19.05,"33,075",75.00,"14,175",0.30,0.50,"14,175",-0.95,0.35,70.10,16,13,16,
,28,5,18,-,14.25,-0.75,"56,700",13.65,14.35,"9,450",80.00,"4,725",0.50,0.70,"4,725",0.20,0.70,66.61,118,73,294,
,-,-,-,-,-,-,"80,325",11.20,12.90,"14,175",82.50,"4,725",0.60,1.85,"47,250",0.25,1.05,66.62,1,-,27,
,43,-,3,-,9.75,-1.95,"33,075",9.45,10.15,"4,725",85.00,"4,725",1.00,1.60,"4,725",0.45,1.50,66.36,90,-13,164,
,74,-,-,-,7.70,-,"23,625",7.65,8.40,"18,900",87.50,"4,725",2.05,2.30,"4,725",0.60,2.10,66.43,67,11,99,
,75,-6,34,-,7.55,-0.35,"33,075",6.00,6.70,"14,175",90.00,"9,450",2.95,3.10,"9,450",0.80,2.95,67.81,192,-22,228,
,39,-1,18,-,5.15,-0.90,"4,725",4.80,5.05,"4,725",92.50,"4,725",4.00,4.10,"9,450",1.10,4.10,70.64,92,-1,96,
,251,63,619,23.33,3.80,-0.85,"18,900",3.70,3.85,"18,900",95.00,"9,450",5.35,5.50,"4,725",1.35,5.45,73.62,445,-16,234,
,108,4,246,30.23,2.95,-0.50,"9,450",2.80,2.95,"4,725",97.50,"14,175",6.65,7.30,"23,625",0.30,6.65,73.17,58,-9,115,
,954,206,"1,068",32.73,2.10,-0.45,"14,175",2.05,2.20,"4,725",100.00,"18,900",8.40,8.95,"4,725",2.00,8.95,83.01,58,6,202,
,175,-2,74,36.23,1.60,-0.35,"18,900",1.50,1.65,"14,175",102.50,"18,900",10.25,11.00,"14,175",-,13.30,-,-,-,20,
,480,-14,256,38.85,1.20,-0.10,"18,900",1.10,1.20,"4,725",105.00,"14,175",12.35,13.05,"14,175",-0.05,12.50,-,-,-,93,
,81,-4,48,40.27,0.85,0.10,"14,175",0.80,0.90,"9,450",107.50,"33,075",14.60,15.15,"4,725",-2.40,14.60,91.91,12,6,7,
,490,-24,134,42.59,0.65,-0.05,"18,900",0.60,0.70,"37,800",110.00,"18,900",16.75,17.50,"33,075",-,17.60,-,-,-,45,
,41,12,22,42.22,0.40,-0.20,"14,175",0.25,0.55,"14,175",112.50,"14,175",19.00,19.85,"33,075",-,14.15,-,-,-,1,
,175,24,80,47.01,0.40,-,"4,725",0.30,0.45,"56,700",115.00,"18,900",21.45,22.20,"33,075",-,18.80,-,-,-,14,
,237,-,48,52.65,0.30,-,"47,250",0.25,0.30,"1,37,025",120.00,"18,900",26.35,27.15,"33,075",-,20.85,-,-,-,15,
,373,2,44,56.21,0.20,-,"2,07,900",0.15,0.20,"28,350",125.00,-,-,-,-,-,-,-,-,-,-,-
,49,-1,7,60.35,0.15,-,"4,15,800",0.10,0.25,"14,175",130.00,-,-,-,-,-,-,-,-,-,-,-
